"background","longitude","latitude","aet","cwd","ppt","tmn","tmx","tmxjja","pptdjf","fvegrec","mam","brd","rep"
"background",-337179.59398,448974.609175,621.543029785156,346.207000732422,2406.85009765625,6.28999996185303,18.3866996765137,25.2229995727539,378.178985595703,7,60,155,16
"background",-329333.553113,448710.379104,539.31298828125,383.363006591797,2658.92993164062,4.40999984741211,18.6233005523682,27.7588996887207,426.484008789062,7,62,134,17
"background",-278525.444257,447218.124489,310.717010498047,433.029998779297,1627.16003417969,2.94000005722046,13.0066995620728,21.8386001586914,258.976989746094,7,61,126,16
"background",-272217.892345,447140.674961,382.796997070312,477.602996826172,1450.60998535156,3.85330009460449,14.5699996948242,23.532600402832,229.615997314453,-9999,61,128,16
"background",-313005.539998,447144.990205,566.763000488281,339.882995605469,2390.65991210938,5.11329984664917,17.3033008575439,26.5587005615234,392.463989257812,7,62,130,16
"background",-312673.457205,447537.161205,578.963012695312,338.576995849609,2414.38989257812,5.65670013427734,17.1200008392334,26.2313995361328,395.954010009766,7,62,130,16
"background",-297673.273438,446778.017087,452.467010498047,452.410003662109,1727.68994140625,4.21000003814697,18.2000007629395,27.8041000366211,275.209991455078,7,63,131,16
"background",-334282.899481,447100.761726,666.992980957031,283.453002929688,2955.30004882812,6.71000003814697,16.9167003631592,24.2047996520996,466.108001708984,7,59,154,16
"background",-269323.333087,446849.277306,394.627014160156,520.802978515625,1371.98999023438,4.51999998092651,15.4366998672485,24.5193996429443,226.235992431641,7,61,129,16
"background",-315477.420941,446869.133201,516.450012207031,424.239990234375,2434.7900390625,5.45329999923706,17.1732997894287,26.3283996582031,399.445007324219,7,62,131,16
"background",-341461.429793,446654.998004,695.559997558594,257.1669921875,2438.61010742188,6.64330005645752,17.8533000946045,24.2633991241455,382.186004638672,7,60,158,16
"background",-330327.584135,446529.139943,614.127014160156,340.5830078125,2889.68994140625,5.83669996261597,17.4832992553711,25.7532005310059,457.653991699219,8,62,133,17
"background",-318234.366107,446207.90433,516.940002441406,359.440002441406,2467.2900390625,5.41330003738403,16.073299407959,24.9706993103027,400.329986572266,8,63,130,16
"background",-343198.532189,446296.359103,717.090026855469,277.799987792969,2396.80004882812,6.4633002281189,18.0699996948242,24.6688003540039,375.917999267578,7,60,160,16
"background",-202549.55122,445758.154709,297.100006103516,673.163024902344,544.869995117188,3.08999991416931,18.0433006286621,28.9127006530762,80.4700012207031,6,61,158,17
"background",-328100.599131,445983.982384,570.210021972656,352.173004150391,2724.4599609375,4.7632999420166,18.1933002471924,27.1201992034912,436.322998046875,8,62,134,17
"background",-234806.792633,445229.63255,321.782989501953,362.910003662109,1301.01000976562,1.90330004692078,9.87329959869385,18.6009006500244,196.236999511719,1,61,128,16
"background",-259162.677904,445419.629347,373.486999511719,510.18701171875,828.793029785156,4.55329990386963,17.3533000946045,26.9643993377686,129.419006347656,7,62,131,16
"background",-186319.460109,445285.494916,261.846984863281,633.539978027344,549.057006835938,1.7367000579834,16.4766998291016,27.3791007995605,76.8901977539062,7,64,164,16
"background",-256037.044477,444946.417933,345.733001708984,530.422973632812,798.710021972656,4.82329988479614,15.2700004577637,24.2597007751465,116.920997619629,7,61,130,16
"background",-240409.592105,445026.734496,334.463012695312,406.429992675781,1290.9599609375,2.72000002861023,11.0066995620728,19.8931999206543,195.755996704102,1,61,130,16
"background",-256141.060058,445076.129523,358.173004150391,518.150024414062,808.3330078125,5.07329988479614,15.0966997146606,23.9703006744385,118.91300201416,7,62,130,16
"background",-320439.199549,444908.844634,499.273010253906,365.316986083984,2615.9599609375,5.51999998092651,15.8599996566772,24.5872001647949,422.425994873047,8,62,129,17
"background",-254365.53896,444912.300547,386.322998046875,504.877014160156,717.776977539062,4.32000017166138,17.1299991607666,26.9486999511719,104.218002319336,7,62,130,16
"background",-275471.375726,444876.942849,359.722991943359,419.079986572266,1612.15002441406,3.45000004768372,13.7067003250122,23.0100002288818,258.385009765625,7,61,127,16
"background",-208505.357606,444528.323668,314.036987304688,629.380004882812,618.47998046875,3.20670008659363,16.6266994476318,27.4169998168945,98.0150985717773,8,62,156,18
"background",-245872.756908,444577.178614,364.329986572266,419.132995605469,1122.88000488281,4.51669979095459,13.1967000961304,22.0352993011475,168.404998779297,7,61,130,16
"background",-183487.373275,444422.995057,289.529998779297,619.119995117188,538.913024902344,1.96000003814697,16.7766990661621,27.6455993652344,75.1959991455078,7,63,156,16
"background",-166517.265377,444216.454751,211.25700378418,641.362976074219,491.867004394531,1.07330000400543,15.4366998672485,26.2576999664307,64.7426986694336,1,60,159,14
"background",-228427.548238,444023.276762,311.153015136719,636.080017089844,680.049987792969,4.28999996185303,15.9632997512817,25.9997997283936,104.162002563477,7,64,143,17
"background",-177951.143359,444088.676386,393.56298828125,486.179992675781,534.099975585938,2.38330006599426,16.7600002288818,27.4435997009277,72.1026992797852,7,62,167,18
"background",-259609.46221,443989.57393,346.403015136719,518.0830078125,913.960021972656,5,16.5032997131348,25.8041000366211,146.072998046875,7,61,130,16
"background",-151126.43258,443602.079736,240.013000488281,599.986999511719,280.179992675781,-0.166700005531311,15.8267002105713,26.4890995025635,35.690601348877,9,55,162,13
"background",-228081.208096,443676.787283,385.486999511719,545.239990234375,696.637023925781,4.10330009460449,16.0433006286621,26.2129993438721,105.233001708984,7,64,143,17
"background",-285139.633025,443572.932003,434.013000488281,438.677001953125,1842.2900390625,4.49329996109009,16.0799999237061,25.7187995910645,307.703002929688,7,62,130,17
"background",-345877.622625,443653.478425,538.840026855469,456.233001708984,1956.18994140625,7.46670007705688,16.6266994476318,20.4878997802734,305.162994384766,7,60,162,16
"background",-174400.346216,443560.873925,248.960006713867,591.913024902344,526.872985839844,0.949999988079071,15.5299997329712,26.4279003143311,69.5801010131836,2,64,153,17
"background",-211483.423132,443599.467238,296.523010253906,635.026977539062,636.380004882812,3.34999990463257,17.1000003814697,27.7973003387451,102.107002258301,7,61,154,18
"background",-283695.620445,442860.434305,401.773010253906,477.636993408203,1806.01000976562,4.3467001914978,15.9933004379272,25.5207004547119,296.597991943359,7,61,129,16
"background",-166389.63123,443049.876376,325.113006591797,539.862976074219,432.622985839844,0.730000019073486,15.8667001724243,26.6506996154785,56.7074012756348,3,58,158,14
"background",-134782.849725,442875.796642,248.712997436523,601.966979980469,290.029998779297,-0.143299996852875,16.1667003631592,26.9606990814209,33.8174018859863,11,55,162,13
"background",-128472.685873,442799.369735,243.710006713867,612.880004882812,285.179992675781,-0.150000005960464,16.3999996185303,27.2963008880615,32.0941009521484,11,56,160,13
"background",-113505.384117,442503.756804,206.399993896484,642.172973632812,293.247009277344,-0.159999996423721,16.2900009155273,27.228099822998,34.0765991210938,11,56,160,13
"background",-258005.672854,442716.436217,326.222991943359,507,931.356994628906,4.97669982910156,15.5832996368408,24.7963008880615,148.718002319336,7,61,130,16
"background",-228415.342183,442625.072552,288.632995605469,609.93701171875,715.786987304688,4.30329990386963,16.2399997711182,26.3808002471924,111.317001342773,7,64,143,17
"background",-340242.932583,442789.713365,665.922973632812,278.457000732422,2240.919921875,6.34999990463257,18.0799999237061,24.3976993560791,355.967987060547,8,60,156,16
"background",-105963.70547,441926.844934,296.549987792969,562.489990234375,347.040008544922,1.15670001506805,15.2367000579834,26.346399307251,37.9166984558105,7,56,159,13
"background",-105679.309793,441904.858364,182.986999511719,676.697021484375,348.81298828125,1.1467000246048,15.2333002090454,26.3472995758057,38.2014007568359,7,56,159,13
"background",-63282.6519608,441980.955775,322.299987792969,459.953002929688,551.380004882812,0.206699997186661,13.7767000198364,24.597900390625,74.6649017333984,1,-9999,-9999,-9999
"background",-93370.8912224,442202.180571,222.026992797852,637.596984863281,361.016998291016,0.293300002813339,15.8566999435425,27.2618999481201,37.6733016967773,7,56,158,13
"background",-303910.513817,441525.845449,463.923004150391,318.170013427734,2459.92993164062,3.99670004844666,14.9232997894287,24.1601009368896,403.710998535156,8,64,125,16
"background",-42739.9494963,441606.294845,247.957000732422,556.650024414062,379.630004882812,0.513300001621246,14.6499996185303,25.6804008483887,50.3193016052246,1,55,168,12
"background",-150833.488292,441564.486587,244.212997436523,594.059997558594,284.683013916016,-0.213300004601479,15.8500003814697,26.5198993682861,36.1091003417969,11,55,162,13
"background",-94813.0793157,441806.853017,217.330001831055,632.557006835938,345.679992675781,0.0266999993473291,16.0666999816895,27.4095993041992,35.6992988586426,3,56,158,13
"background",-340477.783938,441680.198393,686.117004394531,301.010009765625,2206.84008789062,6.53999996185303,18.096700668335,24.1923007965088,350.873992919922,7,60,156,16
"background",-129104.88192,441816.933371,243.906997680664,613.677001953125,285.252990722656,-0.136700004339218,16.4200000762939,27.3321990966797,31.7569999694824,11,56,160,13
"background",-128969.809067,441307.645004,246.160003662109,611.997009277344,285.940002441406,-0.140000000596046,16.4333000183105,27.3616008758545,31.7238006591797,11,57,160,13
"background",-246100.889176,441102.314674,319.472991943359,320.269989013672,1199.68994140625,1.75999999046326,9.89999961853027,18.7479991912842,181.72200012207,1,60,131,16
"background",-92805.9658303,441278.021154,222.470001220703,639.31298828125,362.837005615234,0.353300005197525,15.8699998855591,27.3348007202148,37.6046981811523,3,56,159,13
"background",-128887.995267,441055.213924,245.380004882812,614.257019042969,285.076995849609,-0.119999997317791,16.4599990844727,27.4057998657227,31.5729007720947,11,58,160,13
"background",-64799.7826105,440609.623115,246.013000488281,553.570007324219,520.156982421875,0.293300002813339,14.2166996002197,25.1494007110596,69.2658996582031,1,58,184,12
"background",-13603.2027694,440866.893748,339.153015136719,225.880004882812,1265.05004882812,-2.25999999046326,9.40330028533936,19.8313007354736,172.115005493164,3,68,147,10
"background",-158048.180909,440861.683165,298,557.497009277344,371.019989013672,0.796700000762939,15.7833003997803,26.4855995178223,49.1109008789062,3,59,143,14
"background",-141984.090866,440824.070477,243.567001342773,604.010009765625,283.516998291016,-0.129999995231628,15.9266996383667,26.7574005126953,35.1362991333008,11,57,164,13
"background",-285946.24414,440867.290923,428.320007324219,477.542999267578,1772.47998046875,4.73999977111816,17.3567008972168,27.1900005340576,291.657989501953,7,62,133,17
"background",-45176.2799162,440601.958816,229.470001220703,559.887023925781,510.579986572266,0.860000014305115,13.3633003234863,24.2007007598877,67.9531021118164,3,57,176,12
"background",-3181.90366814,440552.866336,221.253005981445,592.830017089844,468.109985351562,0.636699974536896,14.4467000961304,25.684700012207,62.2809982299805,3,58,139,13
"background",-61607.2060308,440390.819811,265,511.173004150391,569.309997558594,0.286700010299683,13.5832996368408,24.3584003448486,77.9252014160156,1,58,184,12
"background",-48301.8119869,440014.249667,224.817001342773,547.5830078125,477.032989501953,0.620000004768372,14.039999961853,24.8938999176025,64.0110015869141,1,57,184,12
"background",-233481.574873,440022.741339,394.880004882812,570.822998046875,812.559997558594,4.67000007629395,16.2432994842529,26.4080009460449,130.966995239258,7,63,143,17
