"background","longitude","latitude","aet","cwd","ppt","tmn","tmx","fvegrec","mam","brd","rep"
"background",-336574.882033,448558.216652,83.8150024414062,0,212.923004150391,3.64100003242493,14.8357000350952,7,60,156,16
"background",-305567.937302,444974.966295,72.4970016479492,0,167.188995361328,1.85599994659424,15.378999710083,7,63,128,16
"background",-249288.065929,443149.592579,27.6709995269775,0,105.783996582031,-0.425300002098083,8.24730014801025,1,61,128,16
"background",-126440.609361,442776.222204,58.3190002441406,5.80530023574829,25.2490005493164,-1.22930002212524,15.0170001983643,11,57,160,13
"background",-80608.2481849,441989.130122,54.5660018920898,1.24199998378754,43.7957000732422,-1.13499999046326,12.7209997177124,7,56,168,13
"background",-53071.0723718,441230.920807,42.7529983520508,0,38.0063018798828,-1.37329995632172,11.4309997558594,1,58,184,12
"background",-128631.372458,440425.740079,58.2799987792969,6.30530023574829,25.6599998474121,-1.17470002174377,15.081000328064,11,58,160,13
"background",-344398.98058,439508.705322,91.2983016967773,0.725000023841858,157.621002197266,6.32200002670288,14.9553003311157,2,61,177,16
"background",-235390.044603,439766.274146,84.1029968261719,0,48.0629997253418,2.23099994659424,17.112699508667,7,63,143,17
"background",-156269.152492,438501.70299,52.4743003845215,11.8262996673584,30.3806991577148,-0.474000006914139,13.8086996078491,3,60,143,14
"background",-7606.3448399,437695.747301,35.5320014953613,0,81.1139984130859,-1.73870003223419,10.6562995910645,3,60,145,13
"background",-204469.262508,437395.161984,34.9786987304688,52.4819984436035,37.0147018432617,1.99500000476837,17.4493007659912,6,61,159,18
"background",-248974.95216,434295.026737,66.470703125,0,67.4560012817383,1.00829994678497,11.640700340271,7,63,145,17
"background",-137880.683406,434389.062908,-9999,-9999,25.9172992706299,-0.986999988555908,14.7910003662109,11,56,163,13
"background",-70219.9869198,434382.673674,49.5546989440918,1.307000041008,45.8810005187988,-1.30429995059967,12.1682996749878,3,58,177,12
"background",-221416.021997,432377.972049,60.2587013244629,4.09899997711182,49.9053001403809,1.11800003051758,12.052300453186,2,64,141,17
"background",-349699.299884,431902.934615,-9999,-9999,142.067993164062,6.49329996109009,14.4689998626709,8,61,177,16
"background",-337218.230134,432030.983672,90.5100021362305,0,217.444000244141,5.47030019760132,14.0267000198364,7,63,143,17
"background",-158392.260558,431483.199584,55.3316993713379,6.59870004653931,25.7823009490967,-1.4407000541687,14.5263004302979,2,61,154,16
"background",-80129.0226977,431453.082098,60.0400009155273,1.14300000667572,41.5330009460449,-1.02199995517731,13.4856996536255,10,55,172,13
"background",-100237.139807,430382.840661,-9999,-9999,34.0416984558105,-1.07200002670288,13.701000213623,9,56,163,13
"background",-10777.8032612,426913.021602,71.7006988525391,0.818000018596649,40.9123001098633,0.446700006723404,14.6787004470825,11,56,152,14
"background",-123976.26541,426644.976277,57.9809989929199,7.42030000686646,24.5233001708984,-1.15400004386902,15.1027002334595,9,57,164,13
"background",-66311.1733231,425588.723663,49.8320007324219,1.7146999835968,45.1833000183105,-1.10500001907349,12.0410003662109,3,59,177,12
"background",-204277.295452,424843.995324,73.7726974487305,11.2073001861572,34.9912986755371,1.58169996738434,17.6233005523682,11,59,161,17
"background",-277935.342642,424977.95181,88.9219970703125,0,86,2.60630011558533,19.2387008666992,7,65,141,17
"background",-15758.8340645,424440.934029,48.9070014953613,0,64.3223037719727,-0.963299989700317,11.3889999389648,1,68,146,10
"background",-185815.825114,421749.173978,38.4076995849609,0,52.2016983032227,-1.36800003051758,10.3690004348755,1,69,145,16
"background",-275895.303165,422127.147432,82.3000030517578,2.3882999420166,87.5936965942383,2.83500003814697,19.1469993591309,7,65,141,17
"background",-164145.794123,421324.424686,40.6949996948242,21.8607006072998,19.5042991638184,-1.50629997253418,14.6350002288818,7,64,158,14
"background",-143566.178894,420201.428265,58.9556999206543,3.60730004310608,24.6516990661621,-1,14.2093000411987,3,62,158,14
"background",-221223.309485,418817.397526,83.6942977905273,0,34.2952995300293,2.26729989051819,16.1180000305176,7,63,145,17
"background",-176600.901029,417132.919591,58.9879989624023,0.790000021457672,32.7327003479004,-0.0772999972105026,11.8423004150391,7,68,148,16
"background",-207726.744342,416129.296253,70.2596969604492,12.043999671936,34.0247001647949,1.12829995155334,17.7343006134033,2,59,163,17
"background",-71365.8340663,415658.768814,48.0167007446289,7.12970018386841,41.5750007629395,-0.791299998760223,12.350700378418,7,59,173,13
"background",-108812.924407,415323.828007,50.9257011413574,12.2546997070312,28.0713005065918,-1.20770001411438,14.5837001800537,3,55,171,13
"background",-280935.50429,414597.953091,82.7979965209961,0,105.463996887207,2.27629995346069,17.3516998291016,7,65,140,17
"background",-248830.700665,414633.514726,80.5333023071289,0,41.5470008850098,2.63499999046326,16.5522994995117,7,63,142,17
"background",-79123.0184644,412646.641102,47.6699981689453,6.7003002166748,43.3310012817383,-0.938300013542175,12.4526996612549,2,59,175,13
"background",-88690.7267212,412539.816478,49.9173011779785,10.2987003326416,38.8717002868652,-0.972299993038177,13.2316999435425,2,57,173,13
"background",-114848.832161,411433.079914,27.149299621582,37.2529983520508,25.8712997436523,-1.057000041008,14.5629997253418,3,61,162,14
"background",-179034.778311,410961.043765,57.2252998352051,2.76270008087158,36.9140014648438,0.208299994468689,11.4542999267578,7,69,149,16
"background",-275624.761319,410428.664867,73.548698425293,0.49669998884201,112.927001953125,1.94270002841949,15.5950002670288,7,65,142,17
"background",-245194.455185,407586.002307,82.2677001953125,3.98429989814758,36.310001373291,2.27970004081726,16.1686992645264,7,63,140,17
"background",-288436.618523,405933.787908,80.3516998291016,5.02069997787476,97.8399963378906,2.97699999809265,19.4633007049561,7,66,141,17
"background",-143056.758615,405177.625066,61.351001739502,0.598699986934662,34.2669982910156,0.554700016975403,12.0806999206543,1,65,149,13
"background",-92584.346027,405300.732663,61.6199989318848,0.591000020503998,38.5542984008789,-0.745999991893768,13.3762998580933,3,54,171,13
"background",-21578.6379254,403946.19113,43.7830009460449,0,83.2382965087891,-1.34599995613098,11.5017004013062,3,66,148,10
"background",-163011.455194,403092.283438,59.2952995300293,1.26629996299744,37.2610015869141,-0.944700002670288,13.4903001785278,3,65,149,15
"background",-226682.705229,400536.979184,79.9577026367188,0.215000003576279,40.0983009338379,1.69470000267029,15.4040002822876,8,62,127,17
"background",-287123.413785,398501.910039,71.4879989624023,0.205699995160103,116.325996398926,2.29999995231628,15.484299659729,7,67,143,17
"background",-125015.16864,398248.852211,11.5329999923706,0,84.9327011108398,-4.15929985046387,8.11999988555908,5,62,151,11
"background",-225936.525205,398163.583132,76.5746994018555,1.09899997711182,40.3476982116699,2.21770000457764,14.3020000457764,6,62,126,17
"background",-218364.947381,397736.360771,82.2993011474609,0.210299998521805,46.3940010070801,2.01230001449585,14.7356996536255,6,62,134,17
"background",-170276.319874,397027.001709,56.9247016906738,0,59.2307014465332,0.275000005960464,11.4707002639771,7,68,138,14
"background",-224967.508016,396104.406052,75.1746978759766,1.10300004482269,39.7103004455566,1.65400004386902,14.9209995269775,7,62,124,17
"background",-31707.6680641,395577.642552,54.956298828125,9.38599967956543,48.6230010986328,-0.460700005292892,13.3420000076294,11,64,145,11
"background",-159656.667668,395281.209644,63.1669998168945,0,50.910701751709,0.328000009059906,12.2327003479004,7,63,134,12
"background",-129142.304696,395278.188611,9.85429954528809,0,88.4467010498047,-4.09299993515015,7.81930017471313,1,62,149,11
"background",-184762.365772,394820.090188,63.0252990722656,6.93270015716553,45.3190002441406,0.531700015068054,13.6309995651245,3,64,174,18
"background",-77300.3268837,393854.93584,63.5629997253418,0.708700001239777,40.4860000610352,-0.260300010442734,12.7506999969482,1,57,185,13
"background",-199431.157037,393643.828711,78.1449966430664,4.53229999542236,65.0582962036133,1.55729997158051,16.6602993011475,7,62,171,18
"background",-182960.982181,391821.027151,67.4406967163086,0,59.6389999389648,0.630999982357025,12.519700050354,1,68,140,14
"background",-121816.37974,391152.574709,23.5979995727539,0,75.4747009277344,-2.59100008010864,9.14700031280518,7,62,155,11
"background",-197013.092736,390655.264329,81.0392990112305,0,69.9789962768555,1.59529995918274,15.9139995574951,3,61,181,18
"background",-50143.0603616,388659.045727,60.274299621582,4.19829988479614,31.2849998474121,-0.662699997425079,13.4422998428345,3,58,164,12
"background",-35369.2795871,389050.96162,63.9292984008789,3.46199989318848,35.8126983642578,-0.6942999958992,14.427300453186,3,56,165,12
"background",-242604.612465,387311.131486,81.793701171875,0.181999996304512,35.7729988098145,1.2717000246048,17.5030002593994,7,63,146,17
"background",-94040.8333662,387495.679925,63.2976989746094,0,40.8297004699707,-0.699000000953674,13.4440002441406,2,53,178,12
"background",-153254.092776,385971.783613,65.1139984130859,0,78.1336975097656,0.511300027370453,11.8283004760742,7,64,135,12
"background",-58169.9610196,385689.065202,59.565299987793,4.6072998046875,30.7252998352051,-1.20669996738434,14.5609998703003,11,57,163,12
"background",-325803.793829,382279.344229,88.9302978515625,0,181.317001342773,3.82430005073547,16.9766998291016,7,59,151,15
"background",-264379.866464,381801.036833,44.5387001037598,0,125.194000244141,-0.334699988365173,10.5353002548218,8,61,123,15
"background",-339847.137195,381217.573969,89.9860000610352,0,139.035003662109,5.15899991989136,14.9119997024536,7,60,159,15
"background",-179425.561125,379664.268623,0,0,142.395004272461,-5.10430002212524,5.27269983291626,1,69,118,14
"background",-77283.0994756,379300.082125,60.0177001953125,9.7903003692627,42.939998626709,-0.119000002741814,14.1682996749878,7,60,182,12
"background",-166176.122298,375100.331588,66.8217010498047,0,100.849998474121,-0.45100000500679,14.16100025177,7,67,137,16
"background",-291524.935488,373606.440058,70.6132965087891,1.74100005626678,164.647994995117,2.38770008087158,15.4987001419067,7,65,140,17
"background",-257686.350637,370238.780132,74.6849975585938,5.61269998550415,79.4437026977539,1.88030004501343,16.0153007507324,7,63,128,16
"background",-302158.620252,366555.72649,98.5940017700195,0,99.0196990966797,5.40530014038086,20.8533000946045,9,66,137,18
"background",-140406.769257,366406.431798,68.7316970825195,5.63129997253418,67.0989990234375,0.671999990940094,13.8179998397827,7,62,149,14
"background",-193060.289387,365931.918023,81.2590026855469,0,83.3649978637695,1.45099997520447,15.3529996871948,1,69,146,14
"background",-230491.447661,365791.900588,62.0270004272461,0,69.7563018798828,1.36099994182587,12.3520002365112,7,60,130,16
"background",-264567.970257,362922.888121,83.2382965087891,0,86.5792999267578,2.79069995880127,15.6377000808716,7,63,128,16
"background",-52973.1333776,361756.139495,54.8382987976074,2.11570000648499,47.5950012207031,-0.771700024604797,12.2912998199463,3,55,170,12
"background",-256645.257757,360972.88719,73.8477020263672,0.815999984741211,89.3880004882812,1.55599999427795,14.4897003173828,7,62,125,15
"background",-136938.425258,360351.585843,75.8432998657227,0,61.2910003662109,0.580299973487854,14.66100025177,7,65,149,14
"background",-101018.546084,359042.750099,63.815299987793,7.04129981994629,40.5396995544434,-0.173299998044968,14.8147001266479,3,59,167,12
"background",-217616.149359,356799.138084,29.5590000152588,0,113.870002746582,-0.866699993610382,9,1,60,132,16
"background",-271149.018986,355458.639565,79.7612991333008,3.29229998588562,68.8413009643555,2.39529991149902,17.7110004425049,7,63,137,16
"background",-211485.159203,354667.322853,24.4953002929688,0,134.688003540039,-1.40199995040894,8.90629959106445,1,61,131,16
"background",-214055.240593,353904.046824,40.374698638916,0,117.311996459961,-0.273299992084503,10.21399974823,7,62,134,16
"background",-36996.8326937,353446.425696,57.6160011291504,4.08099985122681,34.5237007141113,-0.530700027942657,13.1549997329712,3,56,158,12
"background",-341096.631474,350515.679976,91.0086975097656,0,143.873992919922,4.75629997253418,15.3796997070312,7,59,154,15
"background",-254759.125428,349966.422243,52.7190017700195,0,75.3190002441406,0.0776999965310097,11.1669998168945,7,62,126,15
"background",-243933.831094,349966.060342,39.5279998779297,0,103.573997497559,-0.644699990749359,9.97529983520508,8,61,125,15
"background",-137348.738959,348865.258116,83.6677017211914,0,62.024299621582,1.74899995326996,14.4010000228882,8,67,147,16
"background",-259707.087597,347866.476813,81.8052978515625,0,65.8283004760742,1.53299999237061,18.0426998138428,7,63,131,16
"background",-119669.147215,344586.797857,80.5913009643555,0,45.3470001220703,0.654299974441528,16.645299911499,1,60,163,12
"background",-247033.193212,342077.80751,51.4137001037598,0,82.5279998779297,0.108300000429153,11.5753002166748,7,61,122,15
"background",-29711.3625991,341366.060108,39.8306999206543,2.53999996185303,41.407299041748,-1.6933000087738,11.5602998733521,3,55,156,12
"background",-98367.3971593,340652.759662,73.0346984863281,0.941999971866608,42.5073013305664,0.37830001115799,14.8170003890991,9,61,164,12
"background",-190200.812675,338220.608771,74.8683013916016,0,208.983993530273,1.6492999792099,14.253999710083,6,64,151,20
"background",-50464.9653202,334935.758032,34.0032997131348,0,37.4700012207031,-2.33669996261597,10.5902996063232,3,55,159,12
"background",-207162.277056,334851.423029,89.9589996337891,3.7846999168396,171.445007324219,3.38299989700317,15.7729997634888,7,64,138,17
"background",-71762.8902568,333381.663897,46.265998840332,8.99699974060059,38.4117012023926,-0.962000012397766,12.5432996749878,3,59,171,12
"background",-136439.895428,333649.531304,81.2863006591797,0.44870001077652,48.2076988220215,0.49329999089241,17.5779991149902,2,65,150,16
"background",-103302.281638,332580.907401,71.5447006225586,7.52899980545044,42.4957008361816,1.12000000476837,14.1036996841431,6,60,167,12
"background",-106979.603713,332806.67649,75.5783004760742,5.25029993057251,42.0932998657227,0.749700009822845,16.5352993011475,1,60,164,12
"background",-227718.384897,331732.812625,82.4197006225586,2.14930009841919,105.49299621582,2.17969989776611,17.5443000793457,6,59,153,18
"background",-267937.842595,331253.941049,73.7959976196289,0,88.809700012207,1.47000002861023,13.2283000946045,7,61,130,17
"background",-287537.01363,331309.631514,74.36669921875,4.07999992370605,115.101997375488,2.06369996070862,15.7236995697021,7,67,138,17
"background",-109027.075525,331246.796998,66.5127029418945,12.1506996154785,42.7762985229492,0.537699997425079,16.3843002319336,8,59,163,12
"background",-309497.87534,330847.852778,96.818000793457,0,130.378997802734,4.12169981002808,20.1637001037598,7,66,136,18
"background",-136174.713366,328774.380112,80.5530014038086,0.670000016689301,44.0443000793457,0.395700007677078,17.2793006896973,7,65,149,16
"background",-149514.008405,326665.788296,81.3410034179688,0,102.377998352051,1.76530003547668,14.6033000946045,7,66,144,16
"background",-239690.825922,325773.836694,45.2682991027832,0,92.4359970092773,-0.252000004053116,10.6420001983643,7,60,134,16
"background",-275270.904842,325855.470144,34.4016990661621,0,143.686004638672,-1.44130003452301,10.5057001113892,1,61,134,17
