"background","longitude","latitude","aet","cwd","ppt","tmn","tmx","fvegrec","mam","brd","rep"
"background",-287880.502281,447010.859336,4.11499977111816,0,425.680999755859,-0.831700026988983,5.65199995040894,1,61,128,16
"background",-278900.910225,443380.191154,5.87599992752075,0,323.463012695312,-0.707000017166138,7.86199998855591,7,62,131,17
"background",-289561.285505,443145.639855,7.04629993438721,0,362.321990966797,-1.40069997310638,9.30799961090088,7,62,132,17
"background",-162392.978824,441012.282324,0,0,65.8683013916016,-6.70230007171631,4.3636999130249,11,59,153,16
"background",-83062.8061615,438600.549561,0,0,52.5857009887695,-6.33500003814697,3.78999996185303,3,56,168,13
"background",-35003.3335043,438821.017043,-9999,-9999,55.2853012084961,-6.64370012283325,3.93269991874695,9,54,161,12
"background",-203373.72052,437312.334697,1.84399998188019,0,81.1240005493164,-2.79270005226135,7.16270017623901,6,61,158,18
"background",-180.318664361,437509.038253,0,0,59.435001373291,-6.16099977493286,3.74270009994507,3,59,139,13
"background",-293904.021697,436404.179304,8.16600036621094,0,404.772003173828,0.0489999987185001,7.57399988174438,7,63,133,16
"background",-14260.9693083,433750.403547,0,0,140.654998779297,-7.63730001449585,2.40400004386902,3,60,149,12
"background",-164217.793486,433962.524224,0,0,49.6772994995117,-6.81500005722046,4.70069980621338,3,61,162,16
"background",-237302.425846,434087.042499,6.57770013809204,0,179.404006958008,0.0467000007629395,6.72730016708374,7,64,144,17
"background",-301629.504306,432330.566751,4.20170021057129,0,528.919982910156,-0.255299985408783,6.9850001335144,7,63,128,16
"background",-200285.064056,431526.48959,0.779999971389771,0,88.9926986694336,-2.86870002746582,6.7322998046875,8,60,156,17
"background",-134696.963744,430676.496772,0,0,38.193000793457,-6.50400018692017,4.46630001068115,3,62,145,15
"background",-160280.827868,427470.515574,0,0,51.0532989501953,-6.96070003509521,4.62930011749268,11,61,163,16
"background",-23489.8223334,427578.350623,0,0,71.6802978515625,-6.57569980621338,3.96799993515015,7,66,147,10
"background",-81288.5386724,426684.83739,0,0,50.5077018737793,-6.36030006408691,3.60570001602173,3,55,172,13
"background",-74961.4406217,426148.368175,0,0,63.7890014648438,-6.33169984817505,3.98000001907349,7,56,174,12
"background",-93011.6627002,425116.767733,0,0,44.3236999511719,-6.42199993133545,3.74469995498657,2,56,167,13
"background",-284151.697485,424728.993246,6.73769998550415,0,308.070007324219,-0.959699988365173,8.89900016784668,7,65,140,18
"background",-348073.191999,423588.758085,16.7689990997314,0,319.085998535156,4.8092999458313,12.4483003616333,2,61,176,16
"background",-7612.4640711,422762.082805,0,0,69.754997253418,-6.13600015640259,4.27869987487793,3,57,146,14
"background",-14787.462969,421834.483682,0,0,74.4063034057617,-6.65899991989136,3.98600006103516,3,59,152,14
"background",-261346.807287,421781.825406,1.82469999790192,0,301.837005615234,-0.749000012874603,5.54470014572144,1,62,139,15
"background",-28939.0726318,421879.679882,0,0,74.7846984863281,-6.7649998664856,3.91100001335144,1,64,149,10
"background",-109891.101622,420712.584783,0,0,39.1477012634277,-6.41769981384277,4.19829988479614,2,58,148,14
"background",-141036.446407,420604.736852,0,0,54.6986999511719,-5.67229986190796,4.54530000686646,7,63,159,14
"background",-36301.9967981,419971.039122,-9999,-9999,63.1673011779785,-6.49429988861084,4.17070007324219,9,54,163,12
"background",-219630.451722,419324.584182,0.702000021934509,0,102.559997558594,-3.02729988098145,6.80270004272461,5,62,142,17
"background",-215948.168124,419117.77985,0.714999973773956,0,90.3759994506836,-3.31929993629456,7.10169982910156,2,61,140,17
"background",-12748.4195424,419137.523117,0,0,64.5967025756836,-6.10869979858398,4.39669990539551,9,56,153,14
"background",-200532.657026,417558.787915,0.97299998998642,0,96.4773025512695,-2.99169993400574,6.69430017471313,2,60,158,17
"background",-1964.30566162,417119.895189,0,0,55.2797012329102,-7.12629985809326,3.76270008087158,3,59,140,13
"background",-84267.0521382,417278.983767,0,0,50.7472991943359,-6.49329996109009,3.769700050354,7,56,173,13
"background",-316275.336775,416150.776161,8.01000022888184,0,597.968017578125,0.489300012588501,7.14300012588501,7,65,130,16
"background",-202456.747427,415589.333974,0.669000029563904,0,86.1137008666992,-3.3636999130249,6.71869993209839,2,60,160,17
"background",-142501.702258,415892.260258,0,0,54.6946983337402,-4.9193000793457,4.63170003890991,7,65,162,14
"background",-318139.938646,414543.178973,11.8312997817993,0,495.035003662109,1.02530002593994,8.90769958496094,7,65,130,16
"background",-142695.90503,414185.364441,0,0,56.6992988586426,-4.64499998092651,4.64870023727417,3,66,165,14
"background",-109566.327106,413933.509243,0,0,39.2056999206543,-6.42670011520386,4.20800018310547,3,59,157,14
"background",-244898.858738,413724.531966,1.57469999790192,0,162.705001831055,-1.13670003414154,4.97569990158081,7,64,140,17
"background",-186081.570098,413604.286977,0,0,116.266998291016,-5.8636999130249,1.77499997615814,1,68,146,16
"background",-328613.526774,413568.219124,11.0996999740601,0,551.723999023438,1.85599994659424,8.74870014190674,7,63,136,16
"background",-119931.773135,411916.002142,0,0,41.0822982788086,-6.2923002243042,4.42070007324219,3,62,161,14
"background",-197729.253745,411262.137584,0.657999992370605,0,87.8393020629883,-3.37069988250732,6.80329990386963,11,61,161,17
"background",-266610.440515,409242.247869,0.326700001955032,0,474.934997558594,-2.51629996299744,3.05229997634888,1,62,132,15
"background",-271.161795823,408333.421681,0,0,49.7130012512207,-7.39230012893677,3.69569993019104,7,58,140,13
"background",-95386.3910994,408001.217319,0,0,50.4113006591797,-6.14699983596802,4.43930006027222,3,57,174,13
"background",-282729.814502,406423.09819,5.66270017623901,0,327.550994873047,-0.348699986934662,9.13969993591309,7,65,142,17
"background",-299677.163246,405039.866921,6.65430021286011,0,384.076995849609,-0.84799998998642,8.76669979095459,7,64,135,16
"background",-302665.157629,405183.088081,8.03429985046387,0,386.790985107422,-0.731299996376038,8.85900020599365,7,63,134,16
