"background","longitude","latitude","aet","cwd","ppt","tmn","tmx","fvegrec","mam","brd","rep"
"background",-151045.165023,441698.922345,2.63470005989075,0,27.4157009124756,-3.42630004882812,7.11100006103516,11,55,161,13
"background",-169459.189101,441538.759248,1.75469994544983,0,44.9856986999512,-4.24170017242432,6.51870012283325,3,58,157,14
"background",-228666.35332,439036.422893,8.91300010681152,0,102.351997375488,-1.16100001335144,7.47569990158081,7,65,145,17
"background",-119663.673673,435226.975019,1.85829997062683,0,27.923999786377,-4.94600009918213,7.63870000839233,11,57,160,13
"background",-228384.941478,434996.933211,13.980299949646,0,95.4803009033203,-0.746999979019165,8.91870021820068,6,65,145,17
"background",-148258.789688,435000.898346,2.48469996452332,0,27.4412994384766,-4.03800010681152,7.30600023269653,11,56,159,13
"background",-213515.391783,434645.571444,15.6726999282837,0,47.2037010192871,-1.46630001068115,10.9666996002197,8,64,135,18
"background",-20411.9546214,433095.493674,0,0,103.403999328613,-7.98000001907349,2.55130004882812,1,65,146,10
"background",-67225.536787,431858.4965,1.21930003166199,0,60.3196983337402,-5.37430000305176,5.70429992675781,3,58,179,12
"background",-258787.312458,431361.965025,16.7103004455566,0,122.458999633789,-0.0970000028610229,10.5066995620728,7,63,143,17
"background",-345004.07564,431514.551822,29.194299697876,0,240.953002929688,5.16300010681152,13.197699546814,7,61,178,16
"background",-153359.299308,430360.860048,2.53399991989136,0,56.9866981506348,-2.83730006217957,5.64900016784668,7,61,143,14
"background",-78332.8908439,429052.222291,1.09469997882843,0.0293000005185604,41.7830009460449,-5.61499977111816,5.89499998092651,3,55,172,13
"background",-68031.2052343,428212.488224,1.17429995536804,0,57.4866981506348,-5.45270013809204,5.75029993057251,3,58,179,12
"background",-153814.025182,427880.742511,1.91330003738403,0,51.423698425293,-3.75130009651184,6.5132999420166,7,62,151,14
"background",-182807.844804,426660.343715,0,0,65.8503036499023,-5.25470018386841,3.8636999130249,1,66,145,16
"background",-35376.762817,424627.659576,-9999,-9999,41.0373001098633,-5.2020001411438,6.40269994735718,9,54,162,12
"background",-162103.834685,423642.229928,1.79770004749298,0,32.4049987792969,-5.00869989395142,7.57829999923706,3,58,160,14
"background",-177536.197048,422885.962468,0.45100000500679,0.0463000014424324,65.9599990844727,-4.80429983139038,4.65100002288818,1,66,145,16
"background",-286592.221737,421770.835926,21.7656993865967,0,256.792999267578,0.36370000243187,11.4917001724243,7,65,140,18
"background",-65940.2682829,419972.643887,1.2063000202179,0,49.8112983703613,-5.32299995422363,6.09870004653931,3,58,175,13
"background",-207992.644473,419338.595727,14.1389999389648,0,40.9243011474609,-2.01029992103577,11.0062999725342,11,59,163,17
"background",-109815.285585,418949.554047,2.32470011711121,0,29.2600002288818,-4.87799978256226,7.31300020217896,2,58,151,14
"background",-3465.95780257,418382.057694,0.971000015735626,0.234999999403954,41.6986999511719,-6.03830003738403,5.51399993896484,3,59,140,13
"background",-268997.515702,416147.880384,13.024299621582,0,281.085998535156,-0.0463000014424324,9.53800010681152,7,63,139,15
"background",-189667.126134,415221.139251,3.85330009460449,0,56.6300010681152,-2.07399988174438,7.59569978713989,1,67,143,16
"background",-228065.028395,414650.356998,6.50530004501343,0,77.9887008666992,-0.744300007820129,6.88399982452393,7,62,132,17
"background",-292897.36049,414446.056524,20.7887001037598,0,236.776000976562,-0.121299996972084,11.7772998809814,7,65,140,18
"background",-270750.104723,413431.235982,4.25269985198975,0,342.106994628906,-1.03369998931885,6.30070018768311,1,63,138,15
"background",-283456.211752,413044.521825,20.7486991882324,0,230.511001586914,0.189999997615814,11.4390001296997,7,65,140,17
"background",-153930.584011,412602.794663,2.41669988632202,0,46.9453010559082,-4.01230001449585,6.97529983520508,3,63,157,15
"background",-238463.856513,412151.270742,11.6827001571655,0,76.5373001098633,-1.64629995822906,9.17870044708252,7,61,136,17
"background",-335264.373398,411083.674006,27.9832992553711,0,373.203002929688,4.02099990844727,10.5159997940063,8,60,152,16
"background",-663.083504186,410880.483508,0,0,36.0880012512207,-6.87330007553101,4.52729988098145,3,58,140,13
"background",-341825.85147,410871.291705,26.67799949646,0,313.136993408203,3.40700006484985,12.5799999237061,7,60,158,16
"background",-170912.308494,409347.209168,1.92700004577637,0,65.3079986572266,-2.96129989624023,6.22429990768433,1,67,145,15
"background",-188431.754057,409535.618741,2.77900004386902,0,46.7686996459961,-1.77499997615814,6.40530014038086,7,68,148,16
"background",-44282.4763791,409487.375591,1.32799994945526,0,47.331298828125,-5.20529985427856,6.02129983901978,2,57,170,13
"background",-285797.312218,406178.158064,17.8623008728027,0,220.707992553711,-0.352299988269806,12.1716995239258,7,66,143,17
"background",-329454.642764,405792.092368,23.1030006408691,0,398.006011962891,2.26370000839233,9.9822998046875,7,61,151,16
"background",-79053.6492259,404700.34204,1.19700002670288,0,44.6176986694336,-5.43069982528687,6.23129987716675,2,58,176,13
"background",-37339.0006694,403007.503497,1.37300002574921,0,44.4653015136719,-5.1100001335144,6.24230003356934,3,58,166,13
"background",-99620.0668147,402300.997425,1.77530002593994,0,35.8186988830566,-5.07670021057129,7.17000007629395,3,55,171,13
"background",-179285.177302,401326.363288,1.22200000286102,0,66.5336990356445,-2.58030009269714,4.85970020294189,7,68,147,14
"background",-250810.08258,401473.763225,12.8463001251221,0,99.4172973632812,-1.11699998378754,8.78470039367676,7,62,142,17
"background",-158820.92834,400163.431683,2.27600002288818,0,93.6827011108398,-3.56629991531372,6.75500011444092,1,63,149,15
"background",-245512.489277,399386.039309,13.3653001785278,0,87.8489990234375,-1.65129995346069,10.0190000534058,7,63,147,17
"background",-164869.215316,398599.425603,1.78929996490479,0,110.138000488281,-3.13199996948242,6.40929985046387,1,67,136,15
"background",-163451.366174,398555.636779,2.27830004692078,0,106.036003112793,-3.26670002937317,6.55299997329712,1,66,132,15
"background",-320673.277309,396713.694522,23.6856994628906,0,347.102996826172,0.550000011920929,12.5602998733521,7,65,134,16
"background",-318173.409602,396388.718947,19.2187004089355,0,347.002990722656,0.035300001502037,12.7733001708984,7,64,133,16
"background",-63743.5859177,395457.318022,1.35669994354248,0,35.8849983215332,-4.78369998931885,6.28700017929077,7,58,174,13
"background",-151031.335583,394817.944352,1.07099997997284,0,146.716995239258,-4.0282998085022,4.83430004119873,7,63,133,12
"background",-2121.12775643,394246.081579,2.73399996757507,0,31.7119998931885,-4.6887001991272,6.91300010681152,3,57,145,14
