"background","longitude","latitude","aet","cwd","ppt","tmn","tmx","fvegrec","mam","brd","rep"
"background",-326299.770153,447539.025893,58.6352996826172,107.758003234863,15.5476999282837,11.423999786377,27.948299407959,8,62,133,17
"background",-267374.108456,447066.279392,9.86200046539307,156.554992675781,9.29100036621094,11.8859996795654,25.354700088501,-9999,61,129,16
"background",-203819.950128,445306.475237,11.9042997360229,171.585998535156,11.9042997360229,11.2987003326416,30.6947002410889,2,62,157,18
"background",-226745.674549,440958.420168,15.7023000717163,154.86799621582,15.7023000717163,12.1513004302979,25.5776996612549,1,64,144,17
"background",-185538.111532,440687.106041,18.1100006103516,164.947006225586,12.4693002700806,11.3753004074097,31.7112998962402,1,64,169,17
"background",-23170.0438333,440070.1645,24.0622997283936,135.350997924805,20.4433002471924,9.15729999542236,25.3596992492676,7,64,146,11
"background",-42065.6963615,439532.395037,7.67829990386963,164.645004272461,7.67829990386963,9.480299949646,27.4769992828369,7,55,167,12
"background",-316656.747598,438124.672034,13.4687004089355,152.595001220703,6.19469976425171,9.74230003356934,30.7896995544434,7,64,132,16
"background",-265422.814685,431767.389958,6.56529998779297,172.52099609375,6.56529998779297,12.6542997360229,31.1700000762939,7,63,142,17
"background",-329960.328598,430223.423485,44.6730003356934,112.973999023438,9.05529975891113,12.1443004608154,25.7807006835938,7,64,134,17
"background",-300190.414337,430202.41853,48.6467018127441,97.3867034912109,20.5277004241943,11.46399974823,23.8253002166748,5,63,128,16
"background",-184912.059186,428883.307828,129.569000244141,36.0042991638184,17.2063007354736,9.46730041503906,25.1676998138428,1,66,147,16
"background",-170049.427416,426052.795455,9.85299968719482,165.156997680664,9.85299968719482,7.39370012283325,28.7303009033203,2,63,164,16
"background",-346938.249236,424633.194685,10.81130027771,140.251998901367,9.38199996948242,10.8940000534058,18.8346996307373,7,61,177,16
"background",-297778.806518,422006.774821,31.0487003326416,126.86799621582,17.362699508667,12.190299987793,27.2189998626709,8,63,133,16
"background",-339825.716192,421483.617744,14.3190002441406,149.087997436523,9.4350004196167,11.2639999389648,26.020299911499,8,60,157,16
"background",-247676.426958,420765.498449,11.6129999160767,165.037002563477,11.6129999160767,13.1217002868652,32.0623016357422,7,64,143,17
"background",-41021.0366585,419380.816057,6.83370018005371,174.339996337891,6.83370018005371,9.69900035858154,29.6872997283936,5,55,162,12
"background",-255629.264357,417667.483988,18.0132999420166,129.350006103516,12.0132999420166,10.2836999893188,22.2812995910645,5,61,138,15
"background",-307.566845762,417595.085446,3.72300004959106,168.309997558594,3.72300004959106,9.44900035858154,27.5090007781982,3,59,140,13
"background",-198353.993863,417299.691844,26.8290004730225,158.511001586914,26.8290004730225,11.944299697876,31.3426990509033,11,61,156,17
"background",-72811.8842928,416328.459458,6.71000003814697,171,6.56230020523071,10.0473003387451,28.2327003479004,3,59,173,13
"background",-114849.679182,410708.392414,7.55870008468628,168.977996826172,7.55870008468628,8.21969985961914,29.2917003631592,3,61,162,14
"background",-186332.938156,410787.880193,30.3087005615234,133.804992675781,23.6392993927002,10.5136995315552,25.1469993591309,1,69,147,16
"background",-297324.976933,410281.599258,22.6312999725342,136.889007568359,18.0457000732422,13.2239999771118,28.137300491333,7,64,138,16
"background",-94972.818619,409358.780594,6.84170007705688,171.845001220703,6.84170007705688,9.67129993438721,29.2996997833252,3,57,174,13
"background",-226501.84861,408982.938003,14.6843004226685,162.658996582031,14.6843004226685,13.1173000335693,29.9167003631592,7,62,131,17
"background",-108614.093122,408985.429485,7.74730014801025,168.473007202148,7.74730014801025,7.96700000762939,29.3747005462646,2,59,158,14
"background",-54915.9310351,408826.14853,5.50570011138916,176.074005126953,5.50570011138916,10.1579999923706,29.0872993469238,3,58,173,13
"background",-178411.093355,408367.558828,22.0543003082275,150.639007568359,22.0543003082275,11.2229995727539,26.9290008544922,7,69,147,16
"background",-42230.1566894,408713.823768,7.3572998046875,173.735992431641,7.3572998046875,10.2489995956421,29.0463008880615,7,58,167,13
"background",-298252.306343,408210.153613,14.3242998123169,142.662002563477,12.2370004653931,12.6226997375488,30.4057006835938,8,64,138,16
"background",-89201.1597485,406528.172943,6.66970014572144,173.236999511719,6.66970014572144,10.3129997253418,29.173999786377,3,56,172,13
"background",-319691.494725,405996.579194,30.8617000579834,118.77799987793,18.8439998626709,12.7643003463745,28.2346992492676,7,64,133,16
"background",-75948.4446671,404892.767557,6.38070011138916,174.335998535156,6.38070011138916,10.4906997680664,29.0030002593994,3,58,176,13
"background",-193408.012421,403057.499812,15.6323003768921,165.177993774414,15.6323003768921,10.7919998168945,31.2907009124756,7,62,157,17
"background",-206388.706166,402210.879805,18.1497001647949,166.276992797852,18.1497001647949,11.9409999847412,32.1397018432617,3,59,168,18
"background",-294587.734652,400268.131892,7.07299995422363,157.386993408203,7.07299995422363,11.4173002243042,33.8936996459961,7,64,142,18
"background",-297614.250828,400039.141098,8.01700019836426,147.99299621582,8.01700019836426,11.3963003158569,33.0147018432617,6,65,141,18
"background",-102562.212756,399167.087088,6.61829996109009,171.024993896484,6.61829996109009,8.94229984283447,29.5897006988525,1,59,159,14
"background",-151996.612049,399116.600068,40.6362991333008,111.029998779297,13.3149995803833,8.95899963378906,24.4892997741699,1,64,136,13
"background",-264091.314067,398609.192751,18.9183006286621,135.677993774414,9.12430000305176,11.0986995697021,25.6273002624512,7,61,124,15
"background",-205273.347771,397432.581605,13.0046997070312,170.794998168945,13.0046997070312,12.03600025177,32.2050018310547,7,59,170,18
"background",-309643.78425,397436.930099,71.5873031616211,83.4826965332031,27.0610008239746,13.2493000030518,27.237699508667,7,64,131,16
"background",-225891.440135,395475.68771,11.8407001495361,154.555999755859,11.8407001495361,12.6262998580933,28.0879993438721,7,62,124,17
"background",-65907.246021,395645.837014,5.29129981994629,179.018997192383,5.29129981994629,10.7329998016357,29.6907005310059,7,57,174,13
