"background","longitude","latitude","aet","cwd","ppt","tmn","tmx","fvegrec","mam","brd","rep"
"background",-336574.882033,448558.216652,47.9856986999512,0,319.537994384766,2.52870011329651,13.0780000686646,7,60,156,16
"background",-305567.937302,444974.966295,36.6043014526367,0,291.632995605469,0.676999986171722,11.9607000350952,7,63,128,16
"background",-249288.065929,443149.592579,8.21870040893555,0,155.029006958008,-1.71370005607605,6.32770013809204,1,61,128,16
"background",-126440.609361,442776.222204,23.8700008392334,0,28.5886993408203,-3.08030009269714,11.3583002090454,11,57,160,13
"background",-80608.2481849,441989.130122,15.1603002548218,0,45.5402984619141,-3.2409999370575,9.34029960632324,7,56,168,13
"background",-53071.0723718,441230.920807,9.27869987487793,0,48.3717002868652,-3.43670010566711,8.61900043487549,1,58,184,12
"background",-128631.372458,440425.740079,24.0333003997803,0.0122999995946884,28.5270004272461,-3.08829998970032,11.4460000991821,11,58,160,13
"background",-344398.98058,439508.705322,58.3470001220703,0,255.070007324219,5.44469976425171,14.2320003509521,2,61,177,16
"background",-235390.044603,439766.274146,41.0792999267578,0,77.2647018432617,0.204300001263618,13.3280000686646,7,63,143,17
"background",-156269.152492,438501.70299,22.7553005218506,0,36.0423011779785,-2.24300003051758,10.371000289917,3,60,143,14
"background",-7606.3448399,437695.747301,4.50570011138916,0,93.5643005371094,-4.08869981765747,7.26030015945435,3,60,145,13
"background",-204469.262508,437395.161984,32.073299407959,12.16100025177,40.2307014465332,-0.0697000026702881,13.8852996826172,6,61,159,18
"background",-248974.95216,434295.026737,26.5669994354248,0,87.7057037353516,-0.372999995946884,8.52130031585693,7,63,145,17
"background",-137880.683406,434389.062908,-9999,-9999,27.2912998199463,-2.74830007553101,11.1192998886108,11,56,163,13
"background",-70219.9869198,434382.673674,12.9930000305176,0,52.648998260498,-3.37069988250732,9.10099983215332,3,58,177,12
"background",-221416.021997,432377.972049,25.4710006713867,0,72.088996887207,-0.260699987411499,9.14200019836426,2,64,141,17
"background",-349699.299884,431902.934615,-9999,-9999,228.848999023438,5.71099996566772,13.6372995376587,8,61,177,16
"background",-337218.230134,432030.983672,57.0042991638184,0,329.050994873047,4.56269979476929,12.3170003890991,7,63,143,17
"background",-158392.260558,431483.199584,22.3027000427246,0.202000007033348,31.3889999389648,-3.07100009918213,11.1662998199463,2,61,154,16
"background",-80129.0226977,431453.082098,16.5590000152588,0,39.7803001403809,-3.1489999294281,9.77600002288818,10,55,172,13
"background",-100237.139807,430382.840661,-9999,-9999,36.2080001831055,-3.04730010032654,10.3163003921509,9,56,163,13
"background",-10777.8032612,426913.021602,29.6833000183105,0,49.2846984863281,-1.73070001602173,11.048999786377,11,56,152,14
"background",-123976.26541,426644.976277,24.2826995849609,0.0826999992132187,28.121000289917,-3.06369996070862,11.516300201416,9,57,164,13
"background",-66311.1733231,425588.723663,13.2159996032715,0,53.4519996643066,-3.24530005455017,9.07229995727539,3,59,177,12
"background",-204277.295452,424843.995324,39.9113006591797,0.661700010299683,24.262300491333,-0.643999993801117,13.9336996078491,11,59,161,17
"background",-277935.342642,424977.95181,49.3300018310547,0,167.220993041992,1.09800004959106,15.9162998199463,7,65,141,17
"background",-15758.8340645,424440.934029,7.25330018997192,0,75.6839981079102,-3.5220000743866,8.01729965209961,1,68,146,10
"background",-185815.825114,421749.173978,7.21869993209839,0,77.9623031616211,-2.98200011253357,7.22329998016357,1,69,145,16
"background",-275895.303165,422127.147432,45.1269989013672,0,173.518997192383,1.23500001430511,15.746000289917,7,65,141,17
"background",-164145.794123,421324.424686,23.1966991424561,0.303999990224838,28.3980007171631,-3.105299949646,11.6503000259399,7,64,158,14
"background",-143566.178894,420201.428265,22.3582992553711,0,33.0303001403809,-2.78299999237061,10.8633003234863,3,62,158,14
"background",-221223.309485,418817.397526,40.8633003234863,0,53.1207008361816,0.331000000238419,12.6709995269775,7,63,145,17
"background",-176600.901029,417132.919591,18.7369995117188,0,57.4387016296387,-1.7833000421524,8.77330017089844,7,68,148,16
"background",-207726.744342,416129.296253,39.5317001342773,0.00300000002607703,35.6422996520996,-1.14499998092651,14.3090000152588,2,59,163,17
"background",-71365.8340663,415658.768814,16.5457000732422,0,50.1020011901855,-3.05900001525879,9.4237003326416,7,59,173,13
"background",-108812.924407,415323.828007,22.4990005493164,0.415300011634827,31.4372997283936,-2.97399997711182,11.072699546814,3,55,171,13
"background",-280935.50429,414597.953091,44.0293006896973,0,195.641998291016,0.902999997138977,13.4196996688843,7,65,140,17
"background",-248830.700665,414633.514726,37.6172981262207,0,69.1050033569336,1.00469994544983,12.1253004074097,7,63,142,17
"background",-79123.0184644,412646.641102,15.3032999038696,0,50.2593002319336,-3.10800004005432,9.36200046539307,2,59,175,13
"background",-88690.7267212,412539.816478,16.7740001678467,0,42.0317001342773,-3.10130000114441,10.0107002258301,2,57,173,13
"background",-114848.832161,411433.079914,22.1450004577637,1.29429996013641,34.3320007324219,-2.8510000705719,11.1212997436523,3,61,162,14
"background",-179034.778311,410961.043765,17.1303005218506,0,60.0612983703613,-1.54999995231628,8.60299968719482,7,69,149,16
"background",-275624.761319,410428.664867,37.0112991333008,0,230.139007568359,0.657999992370605,11.8929996490479,7,65,142,17
"background",-245194.455185,407586.002307,43.4597015380859,0,58.3437004089355,0.629299998283386,12.3819999694824,7,63,140,17
"background",-288436.618523,405933.787908,46.2433013916016,0,184.235992431641,1.49370002746582,15.6059999465942,7,66,141,17
"background",-143056.758615,405177.625066,20.3022994995117,0,58.2237014770508,-1.07430005073547,8.9680004119873,1,65,149,13
"background",-92584.346027,405300.732663,17.3810005187988,0,46.6450004577637,-2.83400011062622,10.0032997131348,3,54,171,13
"background",-21578.6379254,403946.19113,6.87370014190674,0,98.2817001342773,-3.96269989013672,8.03929996490479,3,66,148,10
"background",-163011.455194,403092.283438,22.1156997680664,0,49.2729988098145,-2.5346999168396,10.5059995651245,3,65,149,15
