"background","longitude","latitude","aet","cwd","ppt","tmn","tmx","fvegrec","mam","brd","rep"
"background",-336574.882033,448558.216652,125.694999694824,0.252000004053116,126.374000549316,6.45469999313354,18.354700088501,7,60,156,16
"background",-305567.937302,444974.966295,124.134002685547,0,93.4073028564453,4.7677001953125,19.8339996337891,7,63,128,16
"background",-249288.065929,443149.592579,96.838996887207,2.72399997711182,76.2300033569336,3.01729989051819,12.6280002593994,1,61,128,16
"background",-126440.609361,442776.222204,74.8820037841797,51.5326995849609,27.7626991271973,2.59899997711182,19.8043003082275,11,57,160,13
"background",-80608.2481849,441989.130122,75.3212966918945,46.1637001037598,45.4202995300293,2.49300003051758,17.92799949646,7,56,168,13
"background",-53071.0723718,441230.920807,98.4349975585938,12.9980001449585,44.0932998657227,2.10069990158081,16.5153007507324,1,58,184,12
"background",-128631.372458,440425.740079,73.3860015869141,53.5536994934082,28.0599994659424,2.67400002479553,19.8412990570068,11,58,160,13
"background",-344398.98058,439508.705322,106.274002075195,23.7259998321533,93.1910018920898,8.1363000869751,17.1473007202148,2,61,177,16
"background",-235390.044603,439766.274146,109.699996948242,23.8759994506836,39.7980003356934,5.13929986953735,21.6809997558594,7,63,143,17
"background",-156269.152492,438501.70299,33.7239990234375,91.8467025756836,26.7280006408691,2.94700002670288,18.3729991912842,3,60,143,14
"background",-7606.3448399,437695.747301,92.6583023071289,13.8712997436523,62.2482986450195,1.769700050354,15.5719995498657,3,60,145,13
"background",-204469.262508,437395.161984,32.2519989013672,109.166000366211,31.9540004730225,5.04570007324219,22.1672992706299,6,61,159,18
"background",-248974.95216,434295.026737,116.787002563477,7.61670017242432,46.432300567627,4.24830007553101,16.2362995147705,7,63,145,17
"background",-137880.683406,434389.062908,-9999,-9999,27.2059993743896,2.39170002937317,19.3787002563477,11,56,163,13
"background",-70219.9869198,434382.673674,72.5037002563477,45.4653015136719,45.948299407959,2.22370004653931,17.3190002441406,3,58,177,12
"background",-221416.021997,432377.972049,59.8207015991211,59.9852981567383,38.6580009460449,4.44999980926514,16.8090000152588,2,64,141,17
"background",-349699.299884,431902.934615,-9999,-9999,88.2342987060547,8.12670040130615,15.93869972229,8,61,177,16
"background",-337218.230134,432030.983672,128.623001098633,0,122.263000488281,7.85470008850098,17.6266994476318,7,63,143,17
"background",-158392.260558,431483.199584,40.4449996948242,78.7212982177734,29.2259998321533,1.80770003795624,18.7059993743896,2,61,154,16
"background",-80129.0226977,431453.082098,81.2186965942383,44.0657005310059,47.4970016479492,2.72000002861023,18.7567005157471,10,55,172,13
"background",-100237.139807,430382.840661,-9999,-9999,37.9373016357422,2.57399988174438,18.8349990844727,9,56,163,13
"background",-10777.8032612,426913.021602,117.400001525879,15.7049999237061,36.0890007019043,3.99469995498657,19.6026992797852,11,56,152,14
"background",-123976.26541,426644.976277,67.1019973754883,60.0359992980957,25.854700088501,2.61899995803833,19.7609996795654,9,57,164,13
"background",-66311.1733231,425588.723663,70.4410018920898,49.1069984436035,45.6057014465332,2.4103000164032,17.2863006591797,3,59,177,12
"background",-204277.295452,424843.995324,50.7332992553711,91.4192962646484,31.1296997070312,5.23169994354248,22.2513008117676,11,59,161,17
"background",-277935.342642,424977.95181,120.949996948242,15.7733001708984,46.6980018615723,5.30329990386963,23.9463005065918,7,65,141,17
"background",-15758.8340645,424440.934029,100.781997680664,16.4300003051758,56.6113014221191,2.54130005836487,16.4039993286133,1,68,146,10
"background",-185815.825114,421749.173978,102.228996276855,0.953000009059906,65.8386993408203,1.69169998168945,14.7159996032715,1,69,145,16
"background",-275895.303165,422127.147432,79.1756973266602,52.1609992980957,48.0987014770508,5.43800020217896,23.8169994354248,7,65,141,17
"background",-164145.794123,421324.424686,29.1336994171143,92.5530014038086,30.2080001831055,1.9536999464035,18.6667003631592,7,64,158,14
"background",-143566.178894,420201.428265,57.809700012207,65.3759994506836,31.1487007141113,2.51300001144409,18.8419990539551,3,62,158,14
"background",-221223.309485,418817.397526,123.177001953125,13.1533002853394,32.5896987915039,5.36630010604858,21.112699508667,7,63,145,17
"background",-176600.901029,417132.919591,98.515998840332,21.2800006866455,59.9933013916016,3.04530000686646,16.5610008239746,7,68,148,16
"background",-207726.744342,416129.296253,45.3089981079102,96.2133026123047,30.1686992645264,4.96299982070923,22.3957004547119,2,59,163,17
"background",-71365.8340663,415658.768814,56.0289993286133,67.3513031005859,42.6080017089844,2.92770004272461,17.567699432373,7,59,173,13
"background",-108812.924407,415323.828007,34.2952995300293,90.2360000610352,30.815299987793,2.45169997215271,19.5286998748779,3,55,171,13
"background",-280935.50429,414597.953091,119.654998779297,13.0806999206543,62.4383010864258,5.20100021362305,22.1933002471924,7,65,140,17
"background",-248830.700665,414633.514726,103.331001281738,27.725700378418,35.9440002441406,5.79199981689453,21.5797004699707,7,63,142,17
"background",-79123.0184644,412646.641102,56.7667007446289,66.0106964111328,43.4103012084961,2.81769990921021,17.7882995605469,2,59,175,13
"background",-88690.7267212,412539.816478,48.2282981872559,77.4412994384766,42.5859985351562,2.94099998474121,18.5317001342773,2,57,173,13
"background",-114848.832161,411433.079914,25.3549995422363,100.51000213623,26.6842994689941,2.57270002365112,19.3927001953125,3,61,162,14
"background",-179034.778311,410961.043765,87.6039962768555,33.6030006408691,64.5402984619141,3.6136999130249,15.9316997528076,7,69,149,16
"background",-275624.761319,410428.664867,105.83699798584,20.5286998748779,70.5270004272461,5.23769998550415,20.4673004150391,7,65,142,17
"background",-245194.455185,407586.002307,53.2560005187988,84.5039978027344,28.7950000762939,5.5496997833252,21.1889991760254,7,63,140,17
"background",-288436.618523,405933.787908,81.8223037719727,48.6142997741699,66.2060012817383,5.82399988174438,24.180700302124,7,66,141,17
"background",-143056.758615,405177.625066,88.100700378418,38.8087005615234,56.9809989929199,4.17729997634888,17.4839992523193,1,65,149,13
"background",-92584.346027,405300.732663,93.7703018188477,32.8027000427246,39.5027008056641,3.02099990844727,18.516300201416,3,54,171,13
"background",-21578.6379254,403946.19113,95.1829986572266,17.6949996948242,78.4172973632812,2.20530009269714,16.5827007293701,3,66,148,10
"background",-163011.455194,403092.283438,70.3956985473633,50.6296997070312,46.8837013244629,2.44799995422363,18.2686996459961,3,65,149,15
"background",-226682.705229,400536.979184,79.7779998779297,55.2952995300293,32.5419998168945,4.94269990921021,20.4743003845215,8,62,127,17
"background",-287123.413785,398501.910039,108.856002807617,12.9202995300293,89.220703125,5.93230009078979,20.3822994232178,7,67,143,17
"background",-125015.16864,398248.852211,79.8479995727539,1.05529999732971,60.0882987976074,-0.676999986171722,13.7329998016357,5,62,151,11
"background",-225936.525205,398163.583132,67.8556976318359,62.6977005004883,31.2520008087158,5.74030017852783,19.4087009429932,6,62,126,17
"background",-218364.947381,397736.360771,88.1502990722656,48.1096992492676,39.0283012390137,5.43900012969971,19.8493003845215,6,62,134,17
"background",-170276.319874,397027.001709,103.912002563477,20.0167007446289,74.8870010375977,3.93400001525879,16.5093002319336,7,68,138,14
"background",-224967.508016,396104.406052,68.4800033569336,62.7492980957031,31.3302993774414,5.02370023727417,20.0027008056641,7,62,124,17
"background",-31707.6680641,395577.642552,60.6557006835938,67.3087005615234,54.0709991455078,3.15100002288818,18.3659992218018,11,64,145,11
"background",-159656.667668,395281.209644,124.047996520996,4.0310001373291,63.9873008728027,3.90100002288818,17.4720001220703,7,63,134,12
"background",-129142.304696,395278.188611,79.1169967651367,0,63.4542999267578,-0.635699987411499,13.3863000869751,1,62,149,11
"background",-184762.365772,394820.090188,63.3297004699707,66.7789993286133,53.024299621582,3.69400000572205,18.382999420166,3,64,174,18
"background",-77300.3268837,393854.93584,82.3050003051758,47.8266983032227,40.7573013305664,3.43930006027222,17.9277000427246,1,57,185,13
"background",-199431.157037,393643.828711,63.6629981994629,76.9987030029297,42.0847015380859,5.09929990768433,21.6599998474121,7,62,171,18
"background",-182960.982181,391821.027151,112.712997436523,17.8239994049072,58.8143005371094,3.98370003700256,17.3020000457764,1,68,140,14
"background",-121816.37974,391152.574709,99.5516967773438,0,54.4842987060547,0.954999983310699,14.6696996688843,7,62,155,11
"background",-197013.092736,390655.264329,138.203002929688,0,42.0730018615723,4.74830007553101,20.8929996490479,3,61,181,18
"background",-50143.0603616,388659.045727,77.3150024414062,53.2566986083984,36.3847007751465,2.9909999370575,18.7752990722656,3,58,164,12
"background",-35369.2795871,389050.96162,100.598999023438,29.8267002105713,40.4887008666992,2.83500003814697,19.4249992370605,3,56,165,12
"background",-242604.612465,387311.131486,74.8172988891602,62.065299987793,25.4640007019043,4.44029998779297,22.3740005493164,7,63,146,17
"background",-94040.8333662,387495.679925,106.182998657227,20.762300491333,42.3720016479492,2.94700002670288,18.4909992218018,2,53,178,12
"background",-153254.092776,385971.783613,106.042999267578,26.8173007965088,59.9527015686035,4.20730018615723,17.0673007965088,7,64,135,12
"background",-58169.9610196,385689.065202,92.7099990844727,33.976001739502,34.3306999206543,2.36529994010925,19.9447002410889,11,57,163,12
"background",-325803.793829,382279.344229,123.649002075195,3.28399991989136,106.080001831055,6.33729982376099,20.0869998931885,7,59,151,15
"background",-264379.866464,381801.036833,94.177001953125,10.1877002716064,49.7797012329102,2.90300011634827,15.5193004608154,8,61,123,15
"background",-339847.137195,381217.573969,123.24299621582,0,81.7553024291992,6.90030002593994,16.6403007507324,7,60,159,15
"background",-179425.561125,379664.268623,39.3199996948242,0,84.6272964477539,-1.45500004291534,9.09200000762939,1,69,118,14
"background",-77283.0994756,379300.082125,51.2750015258789,82.5800018310547,40.4832992553711,3.59829998016357,19.3062992095947,7,60,182,12
"background",-166176.122298,375100.331588,126.186996459961,0,74.0479965209961,2.88529992103577,19.2446994781494,7,67,137,16
"background",-291524.935488,373606.440058,82.0106964111328,38.1327018737793,83.5589981079102,5.99469995498657,20.431999206543,7,65,140,17
"background",-257686.350637,370238.780132,66.1837005615234,60.850700378418,46.8336982727051,5.19029998779297,20.8876991271973,7,63,128,16
"background",-302158.620252,366555.72649,129.421005249023,5.47930002212524,63.0196990966797,7.84969997406006,24.99169921875,9,66,137,18
"background",-140406.769257,366406.431798,66.9093017578125,68.7890014648438,42.1442985534668,4.24730014801025,19.0527000427246,7,62,149,14
"background",-193060.289387,365931.918023,134.744003295898,4.70329999923706,60.2249984741211,5.09329986572266,20.4396991729736,1,69,146,14
"background",-230491.447661,365791.900588,90.1107025146484,24.4202995300293,56.532299041748,4.69829988479614,16.8969993591309,7,60,130,16
"background",-264567.970257,362922.888121,109.952003479004,20.5543003082275,53.1110000610352,6.44869995117188,20.8043003082275,7,63,128,16
"background",-52973.1333776,361756.139495,72.5660018920898,52.3172988891602,46.9486999511719,2.87599992752075,17.2443008422852,3,55,170,12
"background",-256645.257757,360972.88719,87.7657012939453,38.601001739502,51.2703018188477,5.24700021743774,19.5030002593994,7,62,125,15
"background",-136938.425258,360351.585843,135.52099609375,0,37.9822998046875,4.04099988937378,19.8700008392334,7,65,149,14
"background",-101018.546084,359042.750099,52.1226997375488,80.1439971923828,37.2910003662109,3.21799993515015,19.6833000183105,3,59,167,12
"background",-217616.149359,356799.138084,87.8440017700195,5.11469984054565,76.181999206543,2.56430006027222,14.2946996688843,1,60,132,16
"background",-271149.018986,355458.639565,69.5382995605469,59.5616989135742,47.184700012207,5.62830018997192,22.6720008850098,7,63,137,16
"background",-211485.159203,354667.322853,92.7362976074219,0,86.9879989624023,2.30430006980896,13.8676996231079,1,61,131,16
"background",-214055.240593,353904.046824,99.1772994995117,5.12370014190674,76.7387008666992,3.54570007324219,15.5473003387451,7,62,134,16
"background",-36996.8326937,353446.425696,62.8306999206543,64.0046997070312,41.0110015869141,2.88429999351501,18.2033004760742,3,56,158,12
"background",-341096.631474,350515.679976,119.265998840332,3.88070011138916,85.6679992675781,7.13229990005493,17.2252998352051,7,59,154,15
"background",-254759.125428,349966.422243,104.467002868652,7.84730005264282,55.576301574707,3.54299998283386,15.9779996871948,7,62,126,15
"background",-243933.831094,349966.060342,92.0102996826172,11.4996995925903,56.5546989440918,3.0789999961853,15.0882997512817,8,61,125,15
"background",-137348.738959,348865.258116,139.583999633789,0,40.6427001953125,5.33099985122681,19.4342994689941,8,67,147,16
"background",-259707.087597,347866.476813,131.897994995117,0.35699999332428,47.6203002929688,4.57499980926514,22.8449993133545,7,63,131,16
"background",-119669.147215,344586.797857,132.054000854492,9.45370006561279,37.5340003967285,4.08199977874756,21.7630004882812,1,60,163,12
"background",-247033.193212,342077.80751,105.629997253418,3.32599997520447,58.682300567627,3.88730001449585,16.7390003204346,7,61,122,15
"background",-29711.3625991,341366.060108,71.5326995849609,41.3742980957031,53.0377006530762,1.73430001735687,16.6233005523682,3,55,156,12
