"background","longitude","latitude","aet","cwd","ppt","tmn","tmx","fvegrec","mam","brd","rep"
"background",-326299.770153,447539.025893,58.2812995910645,4.1887001991272,214.977005004883,6.17600011825562,18.5146999359131,8,62,133,17
"background",-267374.108456,447066.279392,47.2859992980957,10.5532999038696,90.4789962768555,5.86730003356934,16.0160007476807,-9999,61,129,16
"background",-203819.950128,445306.475237,29.1986999511719,32.7560005187988,31.1182994842529,3.01929998397827,19.8453006744385,2,62,157,18
"background",-226745.674549,440958.420168,37.4716987609863,19.2796993255615,48.3956985473633,5.3713002204895,15.4167003631592,1,64,144,17
"background",-185538.111532,440687.106041,28.2823009490967,27.1800003051758,32.5900001525879,2.06800007820129,20.2952995300293,1,64,169,17
"background",-23170.0438333,440070.1645,25.0590000152588,14.0663003921509,40.9583015441895,0.52700001001358,13.4567003250122,7,64,146,11
"background",-42065.6963615,439532.395037,21.5433006286621,27.3817005157471,27.3637008666992,0.534699976444244,15.6416997909546,7,55,167,12
"background",-316656.747598,438124.672034,49.4669990539551,8.68299961090088,122.807998657227,3.91429996490479,19.4873008728027,7,64,132,16
"background",-265422.814685,431767.389958,51.8302993774414,18.8463001251221,83.6616973876953,5.29729986190796,20.2877006530762,7,63,142,17
"background",-329960.328598,430223.423485,52.4552993774414,6.54470014572144,166.919998168945,8.55200004577637,18.8146991729736,7,64,134,17
"background",-300190.414337,430202.41853,46.0792999267578,3.34730005264282,244.912994384766,5.25099992752075,14.5396995544434,5,63,128,16
"background",-184912.059186,428883.307828,32.6133003234863,22.0580005645752,44.6172981262207,2.3643000125885,15.0310001373291,1,66,147,16
"background",-170049.427416,426052.795455,15.9499998092651,29.6587009429932,21.1830005645752,-1.30869996547699,18.1443004608154,2,63,164,16
"background",-346938.249236,424633.194685,50.4980010986328,8.99530029296875,108.490997314453,8.45899963378906,17.3490009307861,7,61,177,16
"background",-297778.806518,422006.774821,56.5172996520996,6.09600019454956,243.514999389648,5.84800004959106,16.9379997253418,8,63,133,16
"background",-339825.716192,421483.617744,52.6870002746582,6.80299997329712,143.011001586914,7.02029991149902,20.5842990875244,8,60,157,16
"background",-247676.426958,420765.498449,34.8059997558594,23.7626991271973,41.148998260498,4.57999992370605,20.7660007476807,7,64,143,17
"background",-41021.0366585,419380.816057,20.8502998352051,30.0617008209229,25.3129997253418,-0.0377000011503696,17.6303005218506,5,55,162,12
"background",-255629.264357,417667.483988,36.3479995727539,15.0240001678467,59.6526985168457,3.64499998092651,12.3437004089355,5,61,138,15
"background",-307.566845762,417595.085446,18.6937007904053,26.5436992645264,24.2723007202148,0.116999998688698,15.0227003097534,3,59,140,13
"background",-198353.993863,417299.691844,28.4633007049561,34.0633010864258,29.9412994384766,3.07769989967346,19.9500007629395,11,61,156,17
