Month,background,longitude,latitude
December,background,-287880.5023,447010.8593
December,background,-278900.9102,443380.1912
December,background,-289561.2855,443145.6399
December,background,-162392.9788,441012.2823
December,background,-83062.80616,438600.5496
December,background,-35003.3335,438821.017
December,background,-203373.7205,437312.3347
December,background,-180.3186644,437509.0383
December,background,-293904.0217,436404.1793
December,background,-14260.96931,433750.4035
December,background,-164217.7935,433962.5242
December,background,-237302.4258,434087.0425
December,background,-301629.5043,432330.5668
December,background,-200285.0641,431526.4896
December,background,-134696.9637,430676.4968
December,background,-160280.8279,427470.5156
December,background,-23489.82233,427578.3506
December,background,-81288.53867,426684.8374
December,background,-74961.44062,426148.3682
December,background,-93011.6627,425116.7677
December,background,-284151.6975,424728.9932
December,background,-348073.192,423588.7581
December,background,-7612.464071,422762.0828
December,background,-14787.46297,421834.4837
December,background,-261346.8073,421781.8254
December,background,-28939.07263,421879.6799
December,background,-109891.1016,420712.5848
December,background,-141036.4464,420604.7369
December,background,-36301.9968,419971.0391
December,background,-219630.4517,419324.5842
December,background,-215948.1681,419117.7799
December,background,-12748.41954,419137.5231
December,background,-200532.657,417558.7879
December,background,-1964.305662,417119.8952
December,background,-84267.05214,417278.9838
December,background,-316275.3368,416150.7762
December,background,-202456.7474,415589.334
December,background,-142501.7023,415892.2603
December,background,-318139.9386,414543.179
December,background,-142695.905,414185.3644
December,background,-109566.3271,413933.5092
December,background,-244898.8587,413724.532
December,background,-186081.5701,413604.287
December,background,-328613.5268,413568.2191
December,background,-119931.7731,411916.0021
December,background,-197729.2537,411262.1376
December,background,-266610.4405,409242.2479
December,background,-271.1617958,408333.4217
December,background,-95386.3911,408001.2173
December,background,-282729.8145,406423.0982
December,background,-299677.1632,405039.8669
December,background,-302665.1576,405183.0881
December,background,-209703.0729,404692.1471
December,background,-332416.2041,403181.0801
December,background,-224933.7266,401096.7223
December,background,-246592.4771,401119.3648
December,background,-187759.4119,400918.134
December,background,-331190.861,400156.1383
December,background,-113689.6756,398907.6526
December,background,-175554.3336,397869.3664
December,background,-248325.001,397232.382
December,background,-141580.3356,396329.3151
December,background,-223091.5111,395238.0276
December,background,-220554.3015,394646.2137
December,background,-7801.619295,394398.7053
December,background,-138197.9014,394348.6394
December,background,-116031.8961,394080.5503
December,background,-279234.303,392530.2009
December,background,-196420.9781,390354.9172
December,background,-78993.36813,389096.8645
December,background,-33338.70401,389386.0392
December,background,-27984.44907,388460.8086
December,background,-49817.1946,386131.2471
December,background,-53012.72705,384430.0891
December,background,-165167.9354,383527.9742
December,background,-132757.3256,383265.941
December,background,-6067.43176,381230.8592
December,background,-202666.201,379810.9795
December,background,-166939.5365,379631.2917
December,background,-266025.7274,379189.3156
December,background,-116468.8512,378154.8888
December,background,-36098.34899,378413.5517
December,background,-315387.1045,375975.7517
December,background,-71840.5843,375500.6142
December,background,-134344.2488,374815.6117
December,background,-116471.0098,374472.58
December,background,-259610.9208,373995.2451
December,background,-300736.0575,373111.7467
December,background,-339291.5497,373099.5618
December,background,-262736.3327,372049.4825
December,background,-294832.5118,369835.5874
December,background,-207823.9627,368191.7841
December,background,-17570.8377,368384.1685
December,background,-104842.7782,367770.5961
December,background,-316368.004,365178.4497
December,background,-14268.87609,363935.6194
December,background,-149604.4155,363879.231
December,background,-331452.0618,363575.7002
December,background,-168596.8463,362258.3387
December,background,-266571.792,361238.6434
December,background,-74860.33044,361357.2895
December,background,-176715.2423,361288.9616
December,background,-131970.4592,358158.5477
December,background,-287470.8206,357568.9381
December,background,-254288.8633,357262.4785
December,background,-206487.6168,356517.5505
December,background,-292665.5073,356298.0989
December,background,-339797.6197,354753.8538
December,background,-233314.0816,354134.8193
December,background,-293213.4119,350794.8557
December,background,-41047.8646,350342.2961
December,background,-181190.0909,350531.9774
December,background,-286650.7402,349770.1985
December,background,-16021.85707,349344.1669
December,background,-251061.2426,349371.2076
December,background,-107296.6485,347333.1614
December,background,-267638.8311,340263.3092
December,background,-250431.284,339409.3224
December,background,-146780.1841,337852.5939
December,background,-66772.24856,332718.3902
December,background,-66328.04228,330733.1834
December,background,-126495.2209,330719.7579
December,background,-297404.5061,329622.826
December,background,-237333.1917,329912.3898
December,background,-331738.6089,328082.3412
December,background,-144957.1091,326279.6584
December,background,-6335.459162,325371.1404
December,background,-92127.96723,325041.2844
December,background,-185731.2243,323093.9465
December,background,-212915.9851,322710.0087
December,background,-132269.4949,321903.11
December,background,-287333.9796,319512.0949
December,background,-207536.7538,318094.3069
December,background,-179771.5499,313620.8943
December,background,-204423.6151,313220.2329
December,background,-299174.297,312788.9513
December,background,-165457.6783,312103.5079
December,background,-134089.2839,312190.3227
December,background,-188961.4493,310864.9677
December,background,-79128.52922,310482.1331
December,background,-152223.703,310444.7663
December,background,-241232.7482,310303.4453
December,background,-97716.76109,308959.1961
December,background,-295827.0439,308575.2608
December,background,-314234.8496,307882.4438
December,background,-225249.5363,307139.635
December,background,-125981.0033,303622.4545
December,background,-117424.5374,303504.9841
December,background,-205598.992,302585.2546
December,background,-139502.6092,299670.3726
December,background,-306703.3354,297858.3946
December,background,-31449.47556,298145.5913
December,background,-350102.8097,298314.0507
December,background,-209769.8968,297257.2647
December,background,-117309.7,296855.5025
December,background,-237025.4336,295115.1039
December,background,-10390.14536,295101.1748
December,background,-3243.356751,294985.345
December,background,-191886.8882,294672.1871
December,background,-201644.1492,293592.6132
December,background,-145655.6461,292386.5557
December,background,-354308.848,291518.6066
December,background,-139916.76,287153.8449
December,background,-321648.4825,285930.0615
December,background,-243550.2555,284137.9602
December,background,-27015.40966,282346.7759
December,background,-283764.3325,280137.0818
