"background","longitude","latitude","aet","cwd","ppt","tmn","tmx","fvegrec","mam","brd","rep"
"background",-326299.770153,447539.025893,43.7686996459961,62.7280006408691,60.1953010559082,9.60999965667725,25.1732997894287,8,62,133,17
"background",-267374.108456,447066.279392,24.9587001800537,78.6746978759766,27.0342998504639,9.88169956207275,22.4750003814697,-9999,61,129,16
"background",-203819.950128,445306.475237,14.9736995697021,97.2529983520508,14.9736995697021,7.28030014038086,26.5506992340088,2,62,157,18
"background",-226745.674549,440958.420168,16.5856990814209,84.6443023681641,16.5856990814209,9.60700035095215,21.75830078125,1,64,144,17
"background",-185538.111532,440687.106041,15.3527002334595,93.5272979736328,15.3527002334595,6.73199987411499,27.2199993133545,1,64,169,17
"background",-23170.0438333,440070.1645,21.4790000915527,70.9049987792969,23.0487003326416,4.82499980926514,20.55299949646,7,64,146,11
"background",-42065.6963615,439532.395037,15.7250003814697,89.5559997558594,15.8660001754761,4.86129999160767,22.5006999969482,7,55,167,12
"background",-316656.747598,438124.672034,26.693000793457,75.2303009033203,30.5209999084473,6.76800012588501,26.7556991577148,7,64,132,16
"background",-265422.814685,431767.389958,18.9517002105713,98.9282989501953,19.1562995910645,9.57369995117188,27.6606998443604,7,63,142,17
"background",-329960.328598,430223.423485,35.5816993713379,65.0550003051758,46.717700958252,11.608699798584,24.0970001220703,7,64,134,17
"background",-300190.414337,430202.41853,40.3172988891602,49.7126998901367,55.3162994384766,9.85900020599365,21.198299407959,5,63,128,16
"background",-184912.059186,428883.307828,20.9549999237061,81.3582992553711,19.4309997558594,6.68930006027222,21.7150001525879,1,66,147,16
"background",-170049.427416,426052.795455,10.8830003738403,91.3492965698242,11.5586996078491,2.63870000839233,24.971700668335,2,63,164,16
"background",-346938.249236,424633.194685,27.653299331665,69.3467025756836,30.6212997436523,9.97200012207031,19.0037002563477,7,61,177,16
"background",-297778.806518,422006.774821,38.5237007141113,66.3996963500977,50.2112998962402,10.3583002090454,24.2796993255615,8,63,133,16
"background",-339825.716192,421483.617744,32.3493003845215,69.2273025512695,37.7342987060547,9.23499965667725,25.4097003936768,8,60,157,16
"background",-247676.426958,420765.498449,16.358699798584,87.4779968261719,16.358699798584,9.16969966888428,27.5883007049561,7,64,143,17
"background",-41021.0366585,419380.816057,13.3283004760742,97.3939971923828,13.3866996765137,4.62629985809326,24.7236995697021,5,55,162,12
"background",-255629.264357,417667.483988,19.4183006286621,74.8983001708984,20.2066993713379,7.89169979095459,19.2919998168945,5,61,138,15
"background",-307.566845762,417595.085446,11.6673002243042,89.9710006713867,12.0159997940063,4.33799982070923,22.4452991485596,3,59,140,13
"background",-198353.993863,417299.691844,14.6239995956421,99.0792999267578,14.6239995956421,7.38670015335083,26.8850002288818,11,61,156,17
