"species","longitude","latitude"
"Ixodes pacificus",-148937.889891545,-46737.8962519984
"Ixodes pacificus",-148937.889891545,-46737.8962519984
"Ixodes pacificus",-162215.532730336,-51905.5485201939
"Ixodes pacificus",-162215.532730336,-51905.5485201939
"Ixodes pacificus",-161904.781861028,-54090.8079870436
"Ixodes pacificus",-190995.509746921,-20174.3397880113
"Ixodes pacificus",-197295.956817071,-18114.9393746168
"Ixodes pacificus",-55981.7640238265,45615.2509023086
"Ixodes pacificus",-150105.439642071,207407.461871457
"Ixodes pacificus",-74905.2084188122,36422.575957946
"Ixodes pacificus",-198447.882203426,-10194.7103163684
"Ixodes pacificus",-197897.728457888,-10699.3064335315
"Ixodes pacificus",-198798.868549884,-9628.11703160359
"Ixodes pacificus",-195112.663235063,-12851.1224480197
"Ixodes pacificus",-197897.728457888,-10699.3064335315
"Ixodes pacificus",-198141.580090167,-10463.3243041476
"Ixodes pacificus",-332206.279336013,239287.403180808
"Ixodes pacificus",-323979.744849358,254026.751394588
"Ixodes pacificus",-323979.744849358,254026.751394588
"Ixodes pacificus",-228810.250284321,85336.7131496673
"Ixodes pacificus",-218963.09950071,93161.2862675292
"Ixodes pacificus",-252819.937781859,162342.419619684
"Ixodes pacificus",-252819.937781859,162342.419619684
"Ixodes pacificus",-238727.539799051,67878.3734258269
"Ixodes pacificus",182119.542858222,-424578.499688916
"Ixodes pacificus",182119.542858222,-424578.499688916
"Ixodes pacificus",182119.542858222,-424578.499688916
"Ixodes pacificus",182119.542858222,-424578.499688916
"Ixodes pacificus",259302.154682304,-421664.055126678
"Ixodes pacificus",49913.50831339,-94071.0566568687
"Ixodes pacificus",-231535.338361652,-5167.37605542829
"Ixodes pacificus",-222182.622139374,-18682.7179273502
"Ixodes pacificus",-217795.159896232,-17259.4919187655
"Ixodes pacificus",-245214.739929413,6307.24034417979
"Ixodes pacificus",-238058.284707141,-4064.63000582671
"Ixodes pacificus",19016.3310095646,-37960.1869090591
"Ixodes pacificus",28436.1263018924,-52107.1330923554
"Ixodes pacificus",28436.1263018924,-52107.1330923554
"Ixodes pacificus",31431.2308711229,-32119.7592852684
"Ixodes pacificus",10010.3926657839,-40321.4468974858
"Ixodes pacificus",30300.8856631796,-52967.6790308533
"Ixodes pacificus",30300.8856631796,-52967.6790308533
"Ixodes pacificus",31083.3834973848,-33254.9686487545
"Ixodes pacificus",6961.61256817757,-52574.9977221824
"Ixodes pacificus",-300204.88243738,123509.308913966
"Ixodes pacificus",-134235.701024953,-197723.346343041
"Ixodes pacificus",-134235.701024953,-197723.346343041
"Ixodes pacificus",-82822.3410939455,107380.004979066
"Ixodes pacificus",288831.909601075,-449726.77907229
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",296771.097294309,-460272.224048607
"Ixodes pacificus",-103199.851483244,71004.827034934
"Ixodes pacificus",-103199.851483244,71004.827034934
"Ixodes pacificus",-103199.851483244,71004.827034934
"Ixodes pacificus",284270.260569088,-431785.948675754
"Ixodes pacificus",246927.510854092,-386972.086935093
"Ixodes pacificus",212331.114665255,-448585.795232052
"Ixodes pacificus",325124.962532231,-553722.780087078
"Ixodes pacificus",325124.962532231,-553722.780087078
"Ixodes pacificus",321337.486613333,-557740.649239193
"Ixodes pacificus",321337.486613333,-557740.649239193
"Ixodes pacificus",321337.486613333,-557740.649239193
"Ixodes pacificus",321337.486613333,-557740.649239193
"Ixodes pacificus",321337.486613333,-557740.649239193
"Ixodes pacificus",-208474.907810457,-92723.6378798503
"Ixodes pacificus",47886.5306785259,-401324.011680805
"Ixodes pacificus",47886.5306785259,-401324.011680805
"Ixodes pacificus",-21759.8233286828,-391995.579530491
"Ixodes pacificus",-129179.88444437,-97995.9272231651
"Ixodes pacificus",-129179.88444437,-97995.9272231651
"Ixodes pacificus",-148281.446702919,-82177.3072337424
"Ixodes pacificus",-181897.779979241,-110329.41491115
"Ixodes pacificus",-181897.779979241,-110329.41491115
"Ixodes pacificus",-182159.580800223,-110516.098715894
"Ixodes pacificus",-182601.137633118,-110506.53807411
"Ixodes pacificus",-182601.137633118,-110506.53807411
"Ixodes pacificus",-182601.137633118,-110506.53807411
"Ixodes pacificus",-169263.406363475,-109670.011721522
"Ixodes pacificus",-169092.358660969,-110977.548840334
"Ixodes pacificus",-202875.988433042,107178.903846407
"Ixodes pacificus",-188765.39782326,293847.283625885
"Ixodes pacificus",-214231.259729071,289733.326999734
"Ixodes pacificus",-189323.508990561,327381.819095742
"Ixodes pacificus",-188691.268171087,319822.159041665
"Ixodes pacificus",-189323.508990561,327381.819095742
"Ixodes pacificus",-189961.075792221,319383.658933136
"Ixodes pacificus",-187694.823591611,321340.983446187
"Ixodes pacificus",-195643.126933512,311912.918409109
"Ixodes pacificus",-222996.852072956,414197.641709357
"Ixodes pacificus",-256867.570378178,406016.597572821
"Ixodes pacificus",-221833.002641598,39907.6787594794
"Ixodes pacificus",-221833.002641598,39907.6787594794
"Ixodes pacificus",-221833.002641598,39907.6787594794
"Ixodes pacificus",-227392.283452533,341958.278484563
"Ixodes pacificus",-248792.091628945,297729.037002807
"Ixodes pacificus",-194488.854841787,92722.5480787111
"Ixodes pacificus",-201375.535701947,102327.815767923
"Ixodes pacificus",-201375.535701947,102327.815767923
"Ixodes pacificus",-201375.535701947,102327.815767923
"Ixodes pacificus",-194488.854841787,92722.5480787111
"Ixodes pacificus",-194488.854841787,92722.5480787111
"Ixodes pacificus",-194488.854841787,92722.5480787111
"Ixodes pacificus",-194488.854841787,92722.5480787111
"Ixodes pacificus",-194488.854841787,92722.5480787111
