"species","longitude","latitude"
"Ixodes pacificus",-197252.278909356,-14007.2042245218
"Ixodes pacificus",-59566.799650975,43050.1646698317
"Ixodes pacificus",-115379.454444659,186898.218268151
"Ixodes pacificus",-78455.2946176772,22637.150041379
"Ixodes pacificus",-78455.2946176772,22637.150041379
"Ixodes pacificus",-24245.9273796909,27252.6658885581
"Ixodes pacificus",-202875.988433042,107178.903846407
"Ixodes pacificus",-197243.934686294,-10540.2443251805
"Ixodes pacificus",-197243.934686294,-10540.2443251805
"Ixodes pacificus",-197243.934686294,-10540.2443251805
"Ixodes pacificus",-198490.204194678,-9906.8089010613
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-198123.223727554,-10467.0972286062
"Ixodes pacificus",-198798.868549884,-9628.11703160359
"Ixodes pacificus",-197606.202016697,-10999.796048251
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-72685.453563838,99324.3932892531
"Ixodes pacificus",-307450.852502631,245898.761918699
"Ixodes pacificus",-320858.298199555,239384.273434646
"Ixodes pacificus",-10531.5063375624,-49747.6671452825
"Ixodes pacificus",-300204.88243738,123509.308913966
"Ixodes pacificus",-133333.106345351,-196848.453136429
"Ixodes pacificus",-125787.538162089,-222744.878746169
"Ixodes pacificus",-131720.962188772,-209875.98941558
"Ixodes pacificus",-219749.171115774,58944.1269890587
"Ixodes pacificus",-257655.978173335,102760.30764951
"Ixodes pacificus",-218344.270207032,61006.2684907708
"Ixodes pacificus",-196822.468725917,31621.3038605577
"Ixodes pacificus",-218366.968351473,61465.0056076124
"Ixodes pacificus",-72495.2622358341,149422.820145631
"Ixodes pacificus",202757.872908669,-492299.469569621
"Ixodes pacificus",-91820.7872436514,100405.268683865
"Ixodes pacificus",-93660.3212101681,114553.582002226
"Ixodes pacificus",-100919.249546151,93175.6313936589
"Ixodes pacificus",-81840.1574818405,121479.36719243
"Ixodes pacificus",-96398.5858908791,86785.304816585
"Ixodes pacificus",-82822.3410939455,107380.004979066
"Ixodes pacificus",-82822.3410939455,107380.004979066
"Ixodes pacificus",-94628.7809907597,89766.0549452184
"Ixodes pacificus",-89911.4991416076,100717.607290731
"Ixodes pacificus",-82414.4560227745,105418.517073961
"Ixodes pacificus",-98023.4986659261,84414.5553418645
"Ixodes pacificus",-92330.0005033584,96720.6073451033
"Ixodes pacificus",-92937.7750250859,108865.52428264
"Ixodes pacificus",-70043.3979540954,132667.616075977
"Ixodes pacificus",-73646.8658383276,129198.318618599
"Ixodes pacificus",-81840.1574818405,121479.36719243
"Ixodes pacificus",-93660.3212101681,114553.582002226
"Ixodes pacificus",-82822.3410939455,107380.004979066
"Ixodes pacificus",-76848.9313398717,217459.499285019
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253024.160286552,-494203.44807151
