"species","longitude","latitude"
"Ixodes pacificus",-148939.870183338,-46849.0440850342
"Ixodes pacificus",-185044.019660722,-30961.0194165003
"Ixodes pacificus",-185044.019660722,-30961.0194165003
"Ixodes pacificus",-180576.241105654,-41377.5457223682
"Ixodes pacificus",-197295.956817071,-18114.9393746168
"Ixodes pacificus",-161392.04593689,-54191.8861872265
"Ixodes pacificus",-160940.359650389,-55448.0846812949
"Ixodes pacificus",-55925.0930524202,45613.7556982427
"Ixodes pacificus",-55925.0930524202,45613.7556982427
"Ixodes pacificus",-160823.316340724,335430.704401165
"Ixodes pacificus",-132410.091329082,279118.282037864
"Ixodes pacificus",-115379.454444659,186898.218268151
"Ixodes pacificus",-128780.26921133,168247.767300929
"Ixodes pacificus",-124569.443245097,168336.748372266
"Ixodes pacificus",-41591.801406638,4176.63448273297
"Ixodes pacificus",-41591.801406638,4176.63448273297
"Ixodes pacificus",-41591.801406638,4176.63448273297
"Ixodes pacificus",-45549.6324943022,39330.4579778598
"Ixodes pacificus",-197185.495577203,-10075.7089178702
"Ixodes pacificus",-197185.495577203,-10075.7089178702
"Ixodes pacificus",-198875.265562182,-10252.3401480997
"Ixodes pacificus",-197585.315510047,-9935.01274179993
"Ixodes pacificus",-198318.115717887,-10462.4557697559
"Ixodes pacificus",-197569.268971286,-10369.0667945175
"Ixodes pacificus",-198066.090908128,-8620.33977073338
"Ixodes pacificus",-197243.934686294,-10540.2443251805
"Ixodes pacificus",-197243.934686294,-10540.2443251805
"Ixodes pacificus",-197185.495577203,-10075.7089178702
"Ixodes pacificus",-197932.860586408,-8667.9892223184
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-73662.0578948181,74400.6630221941
"Ixodes pacificus",-72685.453563838,99324.3932892531
"Ixodes pacificus",-72685.453563838,99324.3932892531
"Ixodes pacificus",-72685.453563838,99324.3932892531
"Ixodes pacificus",-72685.453563838,99324.3932892531
"Ixodes pacificus",-233578.86393177,184651.345880689
"Ixodes pacificus",-309093.833922094,257043.254831246
"Ixodes pacificus",-309093.833922094,257043.254831246
"Ixodes pacificus",-259042.837091956,128558.863045815
"Ixodes pacificus",-243346.909708873,114928.816562178
"Ixodes pacificus",-239904.957244339,117654.96093914
"Ixodes pacificus",165054.125668687,-451922.490604361
"Ixodes pacificus",103483.551324893,-439010.547254307
"Ixodes pacificus",104340.776531239,-441219.094267517
"Ixodes pacificus",-6974.01469783566,-387247.789578418
"Ixodes pacificus",154746.661552458,-519211.163210419
"Ixodes pacificus",154746.661552458,-519211.163210419
"Ixodes pacificus",154746.661552458,-519211.163210419
"Ixodes pacificus",154746.661552458,-519211.163210419
"Ixodes pacificus",152066.244677061,-513235.044111205
"Ixodes pacificus",170837.4238188,-415004.38398107
"Ixodes pacificus",118649.72164374,-434047.550806004
"Ixodes pacificus",38178.6738972288,-77943.0202491255
"Ixodes pacificus",40723.1205220729,-80494.4676804254
"Ixodes pacificus",40723.1205220729,-80494.4676804254
"Ixodes pacificus",37805.3706344606,-77393.343313911
"Ixodes pacificus",37805.3706344606,-77393.343313911
"Ixodes pacificus",-222182.622139374,-18682.7179273502
"Ixodes pacificus",-217795.159896232,-17259.4919187655
"Ixodes pacificus",-217795.159896232,-17259.4919187655
"Ixodes pacificus",-217795.159896232,-17259.4919187655
"Ixodes pacificus",-217795.159896232,-17259.4919187655
"Ixodes pacificus",13935.8091701359,-38959.5915461597
"Ixodes pacificus",13935.8091701359,-38959.5915461597
"Ixodes pacificus",3434.25318829891,-57390.625348316
"Ixodes pacificus",3434.25318829891,-57390.625348316
"Ixodes pacificus",-516.619795163933,-45656.7221485456
"Ixodes pacificus",7060.20709540414,-51260.9429962919
"Ixodes pacificus",52748.754012775,-76494.5345564242
"Ixodes pacificus",53858.1208771663,-76863.2203600314
"Ixodes pacificus",-257655.978173335,102760.30764951
"Ixodes pacificus",-260020.580464671,121113.004289848
"Ixodes pacificus",-218344.270207032,61006.2684907708
"Ixodes pacificus",-196822.468725917,31621.3038605577
"Ixodes pacificus",-218366.968351473,61465.0056076124
"Ixodes pacificus",-218366.968351473,61465.0056076124
"Ixodes pacificus",-225833.644884141,77244.9943295643
"Ixodes pacificus",-225833.644884141,77244.9943295643
"Ixodes pacificus",-102960.959589123,142396.165378137
"Ixodes pacificus",-94569.0929320731,142361.406206774
"Ixodes pacificus",210081.239846724,-494783.51467479
"Ixodes pacificus",227311.526770744,-491405.687819392
"Ixodes pacificus",227311.526770744,-491405.687819392
"Ixodes pacificus",202528.610127482,-492132.636478003
"Ixodes pacificus",202528.610127482,-492132.636478003
"Ixodes pacificus",202528.610127482,-492132.636478003
"Ixodes pacificus",-82538.177845684,106975.884999629
"Ixodes pacificus",-82538.177845684,106975.884999629
"Ixodes pacificus",-87569.1407991025,210994.69080055
"Ixodes pacificus",-76848.9313398717,217459.499285019
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",231413.615844008,-461260.96717975
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253399.373633195,-492445.845245715
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253265.843665214,-494590.222777361
"Ixodes pacificus",253399.373633195,-492445.845245715
"Ixodes pacificus",313556.79018266,-483122.574003941
"Ixodes pacificus",-103199.851483244,71004.827034934
"Ixodes pacificus",-103199.851483244,71004.827034934
"Ixodes pacificus",-103199.851483244,71004.827034934
"Ixodes pacificus",-103199.851483244,71004.827034934
"Ixodes pacificus",-103199.851483244,71004.827034934
"Ixodes pacificus",-84593.3827627086,-179369.192037671
"Ixodes pacificus",-105821.419686525,-169084.03992787
"Ixodes pacificus",271186.507536827,-325789.395190496
"Ixodes pacificus",315321.100109054,-433964.857643296
"Ixodes pacificus",248904.2024945,-505083.643042875
"Ixodes pacificus",-141405.32110592,-39419.5332137421
"Ixodes pacificus",-141405.32110592,-39419.5332137421
"Ixodes pacificus",-141405.32110592,-39419.5332137421
"Ixodes pacificus",-141384.691643871,-39241.9912532051
"Ixodes pacificus",-95362.3549996675,19939.4780916627
"Ixodes pacificus",-131454.402483106,-42628.4018753911
"Ixodes pacificus",-131454.402483106,-42628.4018753911
"Ixodes pacificus",-131454.402483106,-42628.4018753911
"Ixodes pacificus",-131454.402483106,-42628.4018753911
"Ixodes pacificus",-60792.3973432383,-280624.126390985
"Ixodes pacificus",-67548.9221966252,-298411.418023466
"Ixodes pacificus",20294.2001840937,-399761.846846614
"Ixodes pacificus",-169160.057027729,-111161.854218096
"Ixodes pacificus",-169160.057027729,-111161.854218096
"Ixodes pacificus",-169160.057027729,-111161.854218096
"Ixodes pacificus",-188691.268171087,319822.159041665
"Ixodes pacificus",-195919.52781972,311728.903099312
"Ixodes pacificus",-225859.25860571,294945.17606327
"Ixodes pacificus",-225859.25860571,294945.17606327
"Ixodes pacificus",-197629.330418929,308964.742839362
"Ixodes pacificus",-199756.908213869,321479.052594187
"Ixodes pacificus",-199756.908213869,321479.052594187
"Ixodes pacificus",-189491.891648121,325577.126966758
"Ixodes pacificus",-197629.330418929,308964.742839362
"Ixodes pacificus",-197629.330418929,308964.742839362
"Ixodes pacificus",-188911.079173826,320443.604062512
"Ixodes pacificus",-200101.373825312,241451.248462475
"Ixodes pacificus",-189961.075792221,319383.658933136
"Ixodes pacificus",-202512.004687555,384198.630172015
"Ixodes pacificus",-189802.151647903,327312.129892369
"Ixodes pacificus",-189802.151647903,327312.129892369
"Ixodes pacificus",-189323.508990561,327381.819095742
"Ixodes pacificus",-189323.508990561,327381.819095742
"Ixodes pacificus",-195807.332530743,311551.812405459
"Ixodes pacificus",-192289.908228791,274682.450122077
"Ixodes pacificus",-207087.292463494,290662.015586205
"Ixodes pacificus",-192289.908228791,274682.450122077
"Ixodes pacificus",-182514.405417395,56582.4941797866
"Ixodes pacificus",-182514.405417395,56582.4941797866
"Ixodes pacificus",-261895.088144954,62498.3253499726
"Ixodes pacificus",-261895.088144954,62498.3253499726
"Ixodes pacificus",-221853.209574505,39284.3713840549
"Ixodes pacificus",-221853.209574505,39284.3713840549
"Ixodes pacificus",-221853.209574505,39284.3713840549
"Ixodes pacificus",-221853.209574505,39284.3713840549
"Ixodes pacificus",-251601.81314984,44558.6040034113
"Ixodes pacificus",-251601.81314984,44558.6040034113
"Ixodes pacificus",-217136.755901051,34356.4404250355
"Ixodes pacificus",-217136.755901051,34356.4404250355
"Ixodes pacificus",-235479.92075342,303556.992375471
"Ixodes pacificus",-235479.92075342,303556.992375471
"Ixodes pacificus",-237196.777682314,305224.842457206
"Ixodes pacificus",-237196.777682314,305224.842457206
"Ixodes pacificus",-236997.22512555,306797.22482972
"Ixodes pacificus",-236997.22512555,306797.22482972
"Ixodes pacificus",-246262.115673664,299459.286242839
