"species","longitude","latitude"
"Ixodes pacificus",-185784.75625184,-25874.1033316948
"Ixodes pacificus",-188362.216624062,-26616.8830096158
"Ixodes pacificus",-197295.956817071,-18114.9393746168
"Ixodes pacificus",-156700.694561085,-40213.9471882391
"Ixodes pacificus",-150105.439642071,207407.461871457
"Ixodes pacificus",-150105.439642071,207407.461871457
"Ixodes pacificus",-178534.523444675,-23019.1761366609
"Ixodes pacificus",-189848.477743184,-8057.96993377572
"Ixodes pacificus",-189848.477743184,-8057.96993377572
"Ixodes pacificus",-172079.255920352,-18384.8595164698
"Ixodes pacificus",-198318.115717887,-10462.4557697559
"Ixodes pacificus",-197945.228073316,-9926.46037186403
"Ixodes pacificus",-197945.228073316,-9926.46037186403
"Ixodes pacificus",-197945.228073316,-9926.46037186403
"Ixodes pacificus",-197945.228073316,-9926.46037186403
"Ixodes pacificus",-197945.228073316,-9926.46037186403
"Ixodes pacificus",-197945.228073316,-9926.46037186403
"Ixodes pacificus",-198318.115717887,-10462.4557697559
"Ixodes pacificus",-197569.268971286,-10369.0667945175
"Ixodes pacificus",-197185.495577203,-10075.7089178702
"Ixodes pacificus",-198856.809466164,-9479.95056314208
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-42985.8906436487,84071.9140542522
"Ixodes pacificus",-66049.2998103805,103275.352827109
"Ixodes pacificus",-68450.5702587717,101199.821617407
"Ixodes pacificus",-340440.692064893,266844.245619182
"Ixodes pacificus",99768.6922785814,-348935.612543597
"Ixodes pacificus",125388.317652599,-273409.116693967
"Ixodes pacificus",125388.317652599,-273409.116693967
"Ixodes pacificus",-243347.741396525,114929.953181879
"Ixodes pacificus",-258453.330789406,147183.589665456
"Ixodes pacificus",-258453.330789406,147183.589665456
"Ixodes pacificus",-254387.141540803,141383.171993049
"Ixodes pacificus",-218296.290402309,110099.680436176
"Ixodes pacificus",-218296.290402309,110099.680436176
"Ixodes pacificus",-208857.184210274,112909.16942979
"Ixodes pacificus",-208857.184210274,112909.16942979
"Ixodes pacificus",-208857.184210274,112909.16942979
"Ixodes pacificus",-235532.141461795,95794.390330724
"Ixodes pacificus",-235532.141461795,95794.390330724
"Ixodes pacificus",-235532.141461795,95794.390330724
"Ixodes pacificus",-251765.950446266,105932.483990712
"Ixodes pacificus",-239904.957244339,117654.96093914
"Ixodes pacificus",123013.463257091,-423502.36175149
"Ixodes pacificus",123013.463257091,-423502.36175149
"Ixodes pacificus",155298.892919756,-520569.353789729
"Ixodes pacificus",102448.288271097,-406766.055456337
"Ixodes pacificus",102448.288271097,-406766.055456337
"Ixodes pacificus",110787.565473156,-430366.308411307
"Ixodes pacificus",-222182.622139374,-18682.7179273502
"Ixodes pacificus",28436.1263018924,-52107.1330923554
"Ixodes pacificus",-290979.406272736,163876.844108228
"Ixodes pacificus",-310638.662075594,207856.731800841
"Ixodes pacificus",-289472.529431348,160264.944687514
"Ixodes pacificus",-164645.302927988,-191076.442623815
"Ixodes pacificus",-133333.106345351,-196848.453136429
"Ixodes pacificus",-133333.106345351,-196848.453136429
"Ixodes pacificus",-133333.106345351,-196848.453136429
"Ixodes pacificus",-133333.106345351,-196848.453136429
"Ixodes pacificus",-213182.583651463,64932.1802251083
"Ixodes pacificus",-257655.978173335,102760.30764951
"Ixodes pacificus",-257655.978173335,102760.30764951
"Ixodes pacificus",-259952.526202922,123256.958884113
"Ixodes pacificus",-218344.270207032,61006.2684907708
"Ixodes pacificus",-218344.270207032,61006.2684907708
"Ixodes pacificus",-196822.468725917,31621.3038605577
"Ixodes pacificus",-196822.468725917,31621.3038605577
"Ixodes pacificus",-218366.968351473,61465.0056076124
"Ixodes pacificus",-218366.968351473,61465.0056076124
"Ixodes pacificus",-87643.2752351251,139846.905238405
"Ixodes pacificus",-87643.2752351251,139846.905238405
"Ixodes pacificus",-87643.2752351251,139846.905238405
"Ixodes pacificus",227311.526770744,-491405.687819392
"Ixodes pacificus",202528.610127482,-492132.636478003
"Ixodes pacificus",-87630.9941129441,103360.648717233
"Ixodes pacificus",-89748.7414037188,100629.126261639
"Ixodes pacificus",-89748.7414037188,100629.126261639
"Ixodes pacificus",-82822.3410939455,107380.004979066
"Ixodes pacificus",-94628.7809907597,89766.0549452184
"Ixodes pacificus",-98023.4986659261,84414.5553418645
"Ixodes pacificus",-88694.8988756511,211834.633421034
"Ixodes pacificus",-92330.0005033584,96720.6073451033
"Ixodes pacificus",-82414.4560227745,105418.517073961
"Ixodes pacificus",-92937.7750250859,108865.52428264
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253265.843665214,-494590.222777361
"Ixodes pacificus",253265.843665214,-494590.222777361
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253265.843665214,-494590.222777361
"Ixodes pacificus",253265.843665214,-494590.222777361
"Ixodes pacificus",253399.373633195,-492445.845245715
"Ixodes pacificus",253265.843665214,-494590.222777361
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253265.843665214,-494590.222777361
"Ixodes pacificus",-103199.851483244,71004.827034934
"Ixodes pacificus",-103199.851483244,71004.827034934
