"species","longitude","latitude"
"Ixodes pacificus",-197295.956817071,-18114.9393746168
"Ixodes pacificus",-180576.241105654,-41377.5457223682
"Ixodes pacificus",-195112.663235063,-12851.1224480197
"Ixodes pacificus",-198447.882203426,-10194.7103163684
"Ixodes pacificus",-195112.663235063,-12851.1224480197
"Ixodes pacificus",-329592.559352073,432965.955815393
"Ixodes pacificus",-327495.837070793,433895.061503246
"Ixodes pacificus",-334771.580646709,432998.95216433
"Ixodes pacificus",-297691.86545911,376630.258279313
"Ixodes pacificus",-295517.031576946,370627.817096775
"Ixodes pacificus",-81840.1574818405,121479.36719243
"Ixodes pacificus",-81840.1574818405,121479.36719243
"Ixodes pacificus",-221853.209574505,39284.3713840549
"Ixodes pacificus",-302063.059753077,328178.795654089
"Ixodes pacificus",-302063.059753077,328178.795654089
"Ixodes pacificus",-194488.854841787,92722.5480787111
"Ixodes pacificus",-194488.854841787,92722.5480787111
