"species","longitude","latitude"
"Ixodes pacificus",-185044.019660722,-30961.0194165003
"Ixodes pacificus",-185044.019660722,-30961.0194165003
"Ixodes pacificus",-185018.60383703,-31006.0605807821
"Ixodes pacificus",-190427.007627438,-20309.6663465863
"Ixodes pacificus",-190995.509746921,-20174.3397880113
"Ixodes pacificus",-190995.509746921,-20174.3397880113
"Ixodes pacificus",-191264.796363473,-20412.7947083269
"Ixodes pacificus",-185111.540958374,-31226.3869362632
"Ixodes pacificus",-197295.956817071,-18114.9393746168
"Ixodes pacificus",-190427.007627438,-20309.6663465863
"Ixodes pacificus",-166318.130007237,-42518.5948869288
"Ixodes pacificus",-138377.322670681,190047.650653321
"Ixodes pacificus",-150105.439642071,207407.461871457
"Ixodes pacificus",-150105.439642071,207407.461871457
"Ixodes pacificus",-150105.439642071,207407.461871457
"Ixodes pacificus",-124568.718445102,168215.603038653
"Ixodes pacificus",-48632.4579892728,37898.41667961
"Ixodes pacificus",-46258.2782239094,40571.649218855
"Ixodes pacificus",-189867.044897024,-8102.02461123094
"Ixodes pacificus",-197185.495577203,-10075.7089178702
"Ixodes pacificus",-198305.140266405,-9917.89243749948
"Ixodes pacificus",-195112.663235063,-12851.1224480197
"Ixodes pacificus",-197580.097708628,-11158.3172254134
"Ixodes pacificus",-197295.971064687,-11438.6040162891
"Ixodes pacificus",-197295.971064687,-11438.6040162891
"Ixodes pacificus",-198459.672130703,-10136.6059647207
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-197185.495577203,-10075.7089178702
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-61634.5087275381,76802.9645249932
"Ixodes pacificus",-37891.3156156793,84584.8631677204
"Ixodes pacificus",-41760.6712760423,83325.3157274388
"Ixodes pacificus",-307450.852502631,245898.761918699
"Ixodes pacificus",-342786.899710361,265054.153418188
"Ixodes pacificus",-340434.030351259,243021.034027214
"Ixodes pacificus",-312037.015877599,235925.971234189
"Ixodes pacificus",99768.6922785814,-348935.612543597
