"species","longitude","latitude"
"Ixodes pacificus",-122492.728985068,-26154.5462699723
"Ixodes pacificus",-195682.431439368,-12382.9518692414
"Ixodes pacificus",-195112.663235063,-12851.1224480197
"Ixodes pacificus",-195112.663235063,-12851.1224480197
"Ixodes pacificus",-41253.9156409409,83291.6364703421
"Ixodes pacificus",-68450.5702587717,101199.821617407
"Ixodes pacificus",-66765.4264168331,104022.520426256
"Ixodes pacificus",-41972.3187925915,84375.6908175657
"Ixodes pacificus",-41972.3187925915,84375.6908175657
"Ixodes pacificus",-41972.3187925915,84375.6908175657
"Ixodes pacificus",-323075.21238458,234281.093673832
"Ixodes pacificus",-323075.21238458,234281.093673832
"Ixodes pacificus",-342786.899710361,265054.153418188
"Ixodes pacificus",-243347.741396525,114929.953181879
"Ixodes pacificus",-243347.741396525,114929.953181879
"Ixodes pacificus",215512.334595103,-417326.230810398
"Ixodes pacificus",215512.334595103,-417326.230810398
"Ixodes pacificus",33967.4995023025,-70025.1889081234
"Ixodes pacificus",35896.3277186554,-73013.0111493408
"Ixodes pacificus",35896.3277186554,-73013.0111493408
"Ixodes pacificus",36337.0670250337,-74092.7322137295
"Ixodes pacificus",-222182.622139374,-18682.7179273502
"Ixodes pacificus",-223296.349475243,-17386.2967213332
"Ixodes pacificus",-133333.106345351,-196848.453136429
"Ixodes pacificus",-133333.106345351,-196848.453136429
"Ixodes pacificus",-133333.106345351,-196848.453136429
"Ixodes pacificus",-133333.106345351,-196848.453136429
"Ixodes pacificus",-94380.2363864736,142370.336355968
"Ixodes pacificus",-89302.5542648429,28632.2989006056
"Ixodes pacificus",-73435.1631452708,145542.647950903
"Ixodes pacificus",-87772.7718173818,139830.512659045
"Ixodes pacificus",-82822.3410939455,107380.004979066
"Ixodes pacificus",-81840.1574818405,121479.36719243
"Ixodes pacificus",-81840.1574818405,121479.36719243
"Ixodes pacificus",288831.909601075,-449726.77907229
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",-103199.851483244,71004.827034934
"Ixodes pacificus",-103199.851483244,71004.827034934
"Ixodes pacificus",-103199.851483244,71004.827034934
"Ixodes pacificus",-103199.851483244,71004.827034934
"Ixodes pacificus",315423.835478841,-545836.519963078
"Ixodes pacificus",315423.835478841,-545836.519963078
"Ixodes pacificus",-67548.9221966252,-298411.418023466
"Ixodes pacificus",-67548.9221966252,-298411.418023466
"Ixodes pacificus",-21759.8233286828,-391995.579530491
"Ixodes pacificus",-192850.632490958,-106149.854430539
"Ixodes pacificus",-161212.894111437,-102768.300095099
"Ixodes pacificus",-161271.423813828,-115107.598356274
"Ixodes pacificus",-182429.70123082,-113549.90627346
"Ixodes pacificus",-182429.70123082,-113549.90627346
"Ixodes pacificus",-181466.897965396,-111370.457181043
"Ixodes pacificus",-263995.748346758,429996.366292604
"Ixodes pacificus",-221853.209574505,39284.3713840549
"Ixodes pacificus",-221853.209574505,39284.3713840549
"Ixodes pacificus",-251601.81314984,44558.6040034113
"Ixodes pacificus",-264324.309923739,310996.334268451
"Ixodes pacificus",108466.175368746,-166133.093513318
"Ixodes pacificus",108466.175368746,-166133.093513318
"Ixodes pacificus",-35085.6983264251,2299.01017116709
"Ixodes pacificus",-35085.6983264251,2299.01017116709
"Ixodes pacificus",-18957.9658381551,6137.4034174555
"Ixodes pacificus",-24411.3643825292,5750.32776503917
"Ixodes pacificus",-18957.9658381551,6137.4034174555
"Ixodes pacificus",-194488.854841787,92722.5480787111
"Ixodes pacificus",-194488.854841787,92722.5480787111
"Ixodes pacificus",-194488.854841787,92722.5480787111
"Ixodes pacificus",-194488.854841787,92722.5480787111
