"species","longitude","latitude"
"Ixodes pacificus",-56006.8873390251,45626.7598213479
"Ixodes pacificus",-56006.8873390251,45626.7598213479
"Ixodes pacificus",-175867.176341372,-27089.8908462478
"Ixodes pacificus",-88071.9186286326,97774.298845889
"Ixodes pacificus",-90179.8912312648,99942.4663755959
"Ixodes pacificus",-73662.0578948181,74400.6630221941
"Ixodes pacificus",-73662.0578948181,74400.6630221941
"Ixodes pacificus",-40063.2431389146,85199.8298610854
"Ixodes pacificus",-43487.6978134123,85031.5901203877
"Ixodes pacificus",-41997.487705572,84035.6868151785
"Ixodes pacificus",-77551.3131061004,87536.4231116269
"Ixodes pacificus",-307450.852502631,245898.761918699
"Ixodes pacificus",-252819.937781859,162342.419619684
"Ixodes pacificus",-252819.937781859,162342.419619684
"Ixodes pacificus",-254387.141540803,141383.171993049
"Ixodes pacificus",-251901.619932219,161902.630486879
"Ixodes pacificus",-251901.619932219,161902.630486879
"Ixodes pacificus",-218963.09950071,93161.2862675292
"Ixodes pacificus",-233943.096611678,93813.0760562387
"Ixodes pacificus",203460.301642687,-420686.219086003
"Ixodes pacificus",203460.301642687,-420686.219086003
"Ixodes pacificus",203460.301642687,-420686.219086003
"Ixodes pacificus",203460.301642687,-420686.219086003
"Ixodes pacificus",204951.550544053,-418801.332126393
"Ixodes pacificus",204951.550544053,-418801.332126393
"Ixodes pacificus",204951.550544053,-418801.332126393
"Ixodes pacificus",204951.550544053,-418801.332126393
"Ixodes pacificus",212806.836368037,-426012.337522858
"Ixodes pacificus",212806.836368037,-426012.337522858
"Ixodes pacificus",212806.836368037,-426012.337522858
"Ixodes pacificus",212806.836368037,-426012.337522858
"Ixodes pacificus",215088.392082626,-425032.051971622
"Ixodes pacificus",215088.392082626,-425032.051971622
"Ixodes pacificus",215088.392082626,-425032.051971622
"Ixodes pacificus",215088.392082626,-425032.051971622
"Ixodes pacificus",24206.532315782,-72319.0047230134
"Ixodes pacificus",-277961.633717059,202223.62208377
"Ixodes pacificus",-289472.529431348,160264.944687514
"Ixodes pacificus",-131695.105721016,-193280.933142898
"Ixodes pacificus",-131695.105721016,-193280.933142898
"Ixodes pacificus",-257655.978173335,102760.30764951
"Ixodes pacificus",-257655.978173335,102760.30764951
"Ixodes pacificus",-218344.270207032,61006.2684907708
"Ixodes pacificus",-196822.468725917,31621.3038605577
"Ixodes pacificus",-196822.468725917,31621.3038605577
"Ixodes pacificus",-218366.968351473,61465.0056076124
"Ixodes pacificus",202528.610127482,-492132.636478003
"Ixodes pacificus",-91070.7795489354,97729.1879001916
"Ixodes pacificus",-81840.1574818405,121479.36719243
"Ixodes pacificus",-93660.3212101681,114553.582002226
"Ixodes pacificus",-93660.3212101681,114553.582002226
"Ixodes pacificus",279444.565646583,-449542.909321128
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253265.843665214,-494590.222777361
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",253024.160286552,-494203.44807151
"Ixodes pacificus",-103199.851483244,71004.827034934
"Ixodes pacificus",-103199.851483244,71004.827034934
"Ixodes pacificus",-103199.851483244,71004.827034934
"Ixodes pacificus",-133987.877861063,-138485.204281258
"Ixodes pacificus",284444.33655533,-414464.106843832
"Ixodes pacificus",-97886.2981833431,-271994.891577493
"Ixodes pacificus",-97886.2981833431,-271994.891577493
"Ixodes pacificus",-67548.9221966252,-298411.418023466
"Ixodes pacificus",-21759.8233286828,-391995.579530491
"Ixodes pacificus",-21759.8233286828,-391995.579530491
"Ixodes pacificus",-183836.027065126,-106284.814411225
"Ixodes pacificus",-181383.854078403,-107927.887062389
"Ixodes pacificus",-189961.075792221,319383.658933136
"Ixodes pacificus",-71013.8347904193,171771.910533588
"Ixodes pacificus",-231239.015365267,51217.9817742254
"Ixodes pacificus",-261895.088144954,62498.3253499726
"Ixodes pacificus",108366.90683148,-166134.362833301
"Ixodes pacificus",108366.90683148,-166134.362833301
"Ixodes pacificus",108366.90683148,-166134.362833301
"Ixodes pacificus",108366.90683148,-166134.362833301
"Ixodes pacificus",105881.728532274,-166103.5204228
"Ixodes pacificus",105881.728532274,-166103.5204228
"Ixodes pacificus",105881.728532274,-166103.5204228
"Ixodes pacificus",105881.728532274,-166103.5204228
"Ixodes pacificus",-35085.6983264251,2299.01017116709
"Ixodes pacificus",-35085.6983264251,2299.01017116709
"Ixodes pacificus",71178.3669394994,-413303.577916132
"Ixodes pacificus",70437.2776386566,-416595.091748526
"Ixodes pacificus",70437.2776386566,-416595.091748526
"Ixodes pacificus",-201375.535701947,102327.815767923
"Ixodes pacificus",-194488.854841787,92722.5480787111
"Ixodes pacificus",-194488.854841787,92722.5480787111
"Ixodes pacificus",-194488.854841787,92722.5480787111
"Ixodes pacificus",-194488.854841787,92722.5480787111
"Ixodes pacificus",-194488.854841787,92722.5480787111
