"species","longitude","latitude"
"Ixodes pacificus",-122492.728985068,-26154.5462699723
"Ixodes pacificus",-185784.75625184,-25874.1033316948
"Ixodes pacificus",-148937.889891545,-46737.8962519984
"Ixodes pacificus",-148937.889891545,-46737.8962519984
"Ixodes pacificus",-148939.870183338,-46849.0440850342
"Ixodes pacificus",-185044.019660722,-30961.0194165003
"Ixodes pacificus",-185044.019660722,-30961.0194165003
"Ixodes pacificus",-185044.019660722,-30961.0194165003
"Ixodes pacificus",-185044.019660722,-30961.0194165003
"Ixodes pacificus",-185018.60383703,-31006.0605807821
"Ixodes pacificus",-190427.007627438,-20309.6663465863
"Ixodes pacificus",-190995.509746921,-20174.3397880113
"Ixodes pacificus",-190995.509746921,-20174.3397880113
"Ixodes pacificus",-191264.796363473,-20412.7947083269
"Ixodes pacificus",-162215.532730336,-51905.5485201939
"Ixodes pacificus",-162215.532730336,-51905.5485201939
"Ixodes pacificus",-161904.781861028,-54090.8079870436
"Ixodes pacificus",-190995.509746921,-20174.3397880113
"Ixodes pacificus",-185111.540958374,-31226.3869362632
"Ixodes pacificus",-188362.216624062,-26616.8830096158
"Ixodes pacificus",-197295.956817071,-18114.9393746168
"Ixodes pacificus",-156700.694561085,-40213.9471882391
"Ixodes pacificus",-180576.241105654,-41377.5457223682
"Ixodes pacificus",-197295.956817071,-18114.9393746168
"Ixodes pacificus",-197295.956817071,-18114.9393746168
"Ixodes pacificus",-190427.007627438,-20309.6663465863
"Ixodes pacificus",-197295.956817071,-18114.9393746168
"Ixodes pacificus",-197295.956817071,-18114.9393746168
"Ixodes pacificus",-180576.241105654,-41377.5457223682
"Ixodes pacificus",-166318.130007237,-42518.5948869288
"Ixodes pacificus",-197252.278909356,-14007.2042245218
"Ixodes pacificus",-161392.04593689,-54191.8861872265
"Ixodes pacificus",-160940.359650389,-55448.0846812949
"Ixodes pacificus",-55981.7640238265,45615.2509023086
"Ixodes pacificus",-59566.799650975,43050.1646698317
"Ixodes pacificus",-55925.0930524202,45613.7556982427
"Ixodes pacificus",-55925.0930524202,45613.7556982427
"Ixodes pacificus",-56006.8873390251,45626.7598213479
"Ixodes pacificus",-56006.8873390251,45626.7598213479
"Ixodes pacificus",-160823.316340724,335430.704401165
"Ixodes pacificus",-150105.439642071,207407.461871457
"Ixodes pacificus",-132410.091329082,279118.282037864
"Ixodes pacificus",-138377.322670681,190047.650653321
"Ixodes pacificus",-115379.454444659,186898.218268151
"Ixodes pacificus",-115379.454444659,186898.218268151
"Ixodes pacificus",-150105.439642071,207407.461871457
"Ixodes pacificus",-150105.439642071,207407.461871457
"Ixodes pacificus",-150105.439642071,207407.461871457
"Ixodes pacificus",-150105.439642071,207407.461871457
"Ixodes pacificus",-150105.439642071,207407.461871457
"Ixodes pacificus",-128780.26921133,168247.767300929
"Ixodes pacificus",-124569.443245097,168336.748372266
"Ixodes pacificus",-124568.718445102,168215.603038653
"Ixodes pacificus",-48632.4579892728,37898.41667961
"Ixodes pacificus",-78455.2946176772,22637.150041379
"Ixodes pacificus",-78455.2946176772,22637.150041379
"Ixodes pacificus",-41591.801406638,4176.63448273297
"Ixodes pacificus",-74905.2084188122,36422.575957946
"Ixodes pacificus",-41591.801406638,4176.63448273297
"Ixodes pacificus",-41591.801406638,4176.63448273297
"Ixodes pacificus",-45549.6324943022,39330.4579778598
"Ixodes pacificus",-46258.2782239094,40571.649218855
"Ixodes pacificus",-24245.9273796909,27252.6658885581
"Ixodes pacificus",-202875.988433042,107178.903846407
"Ixodes pacificus",-175867.176341372,-27089.8908462478
"Ixodes pacificus",-178534.523444675,-23019.1761366609
"Ixodes pacificus",-189848.477743184,-8057.96993377572
"Ixodes pacificus",-189848.477743184,-8057.96993377572
"Ixodes pacificus",-172079.255920352,-18384.8595164698
"Ixodes pacificus",-189867.044897024,-8102.02461123094
"Ixodes pacificus",-197607.141685993,-11224.3941966509
"Ixodes pacificus",-197243.934686294,-10540.2443251805
"Ixodes pacificus",-197243.934686294,-10540.2443251805
"Ixodes pacificus",-197243.934686294,-10540.2443251805
"Ixodes pacificus",-198318.115717887,-10462.4557697559
"Ixodes pacificus",-197945.228073316,-9926.46037186403
"Ixodes pacificus",-197945.228073316,-9926.46037186403
"Ixodes pacificus",-197945.228073316,-9926.46037186403
"Ixodes pacificus",-197945.228073316,-9926.46037186403
"Ixodes pacificus",-197945.228073316,-9926.46037186403
"Ixodes pacificus",-197945.228073316,-9926.46037186403
"Ixodes pacificus",-198318.115717887,-10462.4557697559
"Ixodes pacificus",-197569.268971286,-10369.0667945175
"Ixodes pacificus",-197185.495577203,-10075.7089178702
"Ixodes pacificus",-197185.495577203,-10075.7089178702
"Ixodes pacificus",-197185.495577203,-10075.7089178702
"Ixodes pacificus",-197185.495577203,-10075.7089178702
"Ixodes pacificus",-198875.265562182,-10252.3401480997
"Ixodes pacificus",-198856.809466164,-9479.95056314208
"Ixodes pacificus",-195682.431439368,-12382.9518692414
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-198490.204194678,-9906.8089010613
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-198123.223727554,-10467.0972286062
"Ixodes pacificus",-198798.868549884,-9628.11703160359
"Ixodes pacificus",-197606.202016697,-10999.796048251
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-198305.140266405,-9917.89243749948
"Ixodes pacificus",-195112.663235063,-12851.1224480197
"Ixodes pacificus",-197580.097708628,-11158.3172254134
"Ixodes pacificus",-197295.971064687,-11438.6040162891
"Ixodes pacificus",-197295.971064687,-11438.6040162891
"Ixodes pacificus",-198459.672130703,-10136.6059647207
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-197185.495577203,-10075.7089178702
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-197585.315510047,-9935.01274179993
"Ixodes pacificus",-198318.115717887,-10462.4557697559
"Ixodes pacificus",-197569.268971286,-10369.0667945175
"Ixodes pacificus",-198066.090908128,-8620.33977073338
"Ixodes pacificus",-197243.934686294,-10540.2443251805
"Ixodes pacificus",-197243.934686294,-10540.2443251805
"Ixodes pacificus",-197185.495577203,-10075.7089178702
"Ixodes pacificus",-197932.860586408,-8667.9892223184
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-199181.564161156,-9140.81201261701
"Ixodes pacificus",-198447.882203426,-10194.7103163684
"Ixodes pacificus",-197897.728457888,-10699.3064335315
"Ixodes pacificus",-198798.868549884,-9628.11703160359
"Ixodes pacificus",-195112.663235063,-12851.1224480197
"Ixodes pacificus",-197897.728457888,-10699.3064335315
"Ixodes pacificus",-198141.580090167,-10463.3243041476
"Ixodes pacificus",-195112.663235063,-12851.1224480197
