"species","longitude","latitude","aet","cwd","ppt","tmn","tmx","fvegrec","mam","brd","rep"
"Ixodes pacificus",-189959.943153,319383.054738,30.2119998931885,0.224999994039536,209.986999511719,4.74170017242432,15.8292999267578,7,61,154,20
"Ixodes pacificus",-188622.149117,266046.142913,25.7049999237061,3.98699998855591,82.1009979248047,4.34700012207031,17.1077003479004,2,44,147,16
"Ixodes pacificus",-307449.708242,245898.158696,28.5002994537354,0.0820000022649765,168.037002563477,4.97599983215332,14.8826999664307,2,52,148,18
"Ixodes pacificus",-277960.49011,202223.022943,26.551700592041,1.42929995059967,140.173004150391,1.94029998779297,15.3606996536255,5,56,148,18
"Ixodes pacificus",-71012.7071392,171771.321383,20.5407009124756,0.10700000077486,198.438003540039,0.222000002861023,13.7379999160767,5,56,118,18
"Ixodes pacificus",-252818.79461,162341.824297,25.0842990875244,1.10669994354248,166.611999511719,0.675300002098083,15.7896995544434,7,55,150,19
"Ixodes pacificus",-252818.79461,162341.824297,25.0842990875244,1.10669994354248,166.611999511719,0.675300002098083,15.7896995544434,7,55,150,19
"Ixodes pacificus",-251900.476816,161902.035232,24.8349990844727,1.06200003623962,167.949005126953,0.62830001115799,15.871000289917,2,55,151,19
"Ixodes pacificus",-251900.476816,161902.035232,24.8349990844727,1.06200003623962,167.949005126953,0.62830001115799,15.871000289917,2,55,151,19
"Ixodes pacificus",-289471.383302,160264.34806,27.9860000610352,0.934300005435944,170.541000366211,1.92429995536804,15.5780000686646,7,54,150,18
"Ixodes pacificus",-258452.186569,147182.995225,32.3629989624023,1.21570003032684,178.733001708984,4.04670000076294,14.3280000686646,7,54,158,19
"Ixodes pacificus",-254385.997409,141382.578142,26.7686996459961,2.15630006790161,142.253997802734,2.16000008583069,15.7117004394531,5,53,157,19
"Ixodes pacificus",-207592.934979,138959.337367,28.6770000457764,8.30329990386963,71.9022979736328,5.23299980163574,17.5983009338379,8,44,144,17
"Ixodes pacificus",-81839.0269747,121478.781721,36.3740005493164,2.31970000267029,150.561996459961,4.27229976654053,15.9336996078491,2,55,140,22
"Ixodes pacificus",-243346.597064,114929.36175,26.7796993255615,4.4342999458313,104.860000610352,2.58570003509521,16.4179992675781,6,49,163,19
"Ixodes pacificus",-93659.1893972,114552.996636,34.4986991882324,3.58570003509521,118.720001220703,5.20800018310547,17.0552997589111,6,47,171,19
"Ixodes pacificus",-93659.1893972,114552.996636,34.4986991882324,3.58570003509521,118.720001220703,5.20800018310547,17.0552997589111,6,47,171,19
"Ixodes pacificus",-88863.3159444,109161.263935,34.4342994689941,2.84730005264282,126.300003051758,4.81869983673096,16.4573001861572,5,47,170,19
"Ixodes pacificus",-237256.986213,108456.290498,29.7509994506836,4.04370021820068,120.428001403809,4.44169998168945,16.3246994018555,8,48,163,19
"Ixodes pacificus",-224150.692546,103886.710575,25.4519996643066,5.36229991912842,86.0643005371094,1.71300005912781,16.867000579834,11,50,172,18
"Ixodes pacificus",-257654.832186,102759.716536,35.5696983337402,2.59299993515015,173.542007446289,6.3769998550415,15.0443000793457,8,52,156,18
"Ixodes pacificus",-257654.832186,102759.716536,35.5696983337402,2.59299993515015,173.542007446289,6.3769998550415,15.0443000793457,8,52,156,18
"Ixodes pacificus",-201374.394261,102327.227034,26.2696990966797,6.43930006027222,70.427001953125,4.17199993133545,17.8356990814209,6,47,146,17
"Ixodes pacificus",-90178.7591383,99941.88235,33.0340003967285,4.42269992828369,107.158996582031,6.30630016326904,16.7266998291016,6,53,142,22
"Ixodes pacificus",-88070.7866328,97773.7150839,33.4443016052246,4.81969976425171,107.853996276855,5.14370012283325,16.3159999847412,2,49,172,19
"Ixodes pacificus",-91069.6472887,97728.604022,34.1189994812012,5.14569997787476,107.968002319336,5.8863000869751,16.6049995422363,6,48,173,19
"Ixodes pacificus",-233941.952152,93812.4866201,31.9272994995117,2.37069988250732,183.501007080078,5.73570013046265,14.0607004165649,7,48,164,19
"Ixodes pacificus",-218961.956232,93160.6975116,30.3299999237061,5.68900012969971,102.726997375488,4.61630010604858,16.7917003631592,6,49,157,19
"Ixodes pacificus",-194487.713568,92721.9603803,30.047700881958,7.90129995346069,74.8462982177734,5.70599985122681,16.6676998138428,2,46,144,17
"Ixodes pacificus",-194487.713568,92721.9603803,30.047700881958,7.90129995346069,74.8462982177734,5.70599985122681,16.6676998138428,2,46,144,17
"Ixodes pacificus",-194487.713568,92721.9603803,30.047700881958,7.90129995346069,74.8462982177734,5.70599985122681,16.6676998138428,2,46,144,17
"Ixodes pacificus",-194487.713568,92721.9603803,30.047700881958,7.90129995346069,74.8462982177734,5.70599985122681,16.6676998138428,2,46,144,17
"Ixodes pacificus",-194487.713568,92721.9603803,30.047700881958,7.90129995346069,74.8462982177734,5.70599985122681,16.6676998138428,2,46,144,17
"Ixodes pacificus",-77550.1816202,87535.8406251,33.4620018005371,4.56300020217896,95.9980010986328,5.85029983520508,17.0792999267578,6,50,169,19
"Ixodes pacificus",-40062.1148977,85199.2490756,35.1747016906738,1.95099997520447,158.317001342773,2.53329992294312,15.3857002258301,7,56,124,17
"Ixodes pacificus",-43486.5692577,85031.0092125,36.2397003173828,2.26370000839233,158.190002441406,2.64429998397827,14.706000328064,7,56,125,17
"Ixodes pacificus",-90578.2858998,84425.3680294,-9999,-9999,86.5353012084961,6.36730003356934,17.1317005157471,9,48,171,19
"Ixodes pacificus",-89860.3215696,84676.4976085,32.5942993164062,4.80229997634888,89.7490005493164,6.22930002212524,17.0690002441406,8,49,169,19
"Ixodes pacificus",-90516.7874155,84729.2687404,33.3473014831543,5.82600021362305,89.2902984619141,6.12069988250732,17.0909996032715,8,49,169,19
"Ixodes pacificus",-90966.8270969,84454.1095212,-9999,-9999,86.6669998168945,6.39230012893677,17.1203002929688,6,48,172,19
"Ixodes pacificus",-90516.7874155,84729.2687404,33.3473014831543,5.82600021362305,89.2902984619141,6.12069988250732,17.0909996032715,8,49,169,19
"Ixodes pacificus",-90966.8270969,84454.1095212,-9999,-9999,86.6669998168945,6.39230012893677,17.1203002929688,6,48,172,19
"Ixodes pacificus",-41996.3592435,84035.106052,32.9603004455566,1.59029996395111,157.785995483398,2.43129992485046,15.6097002029419,6,56,125,17
"Ixodes pacificus",-69424.6537648,81081.7244042,34.0289993286133,3.69429993629456,116.210998535156,4.40729999542236,16.6200008392334,2,54,135,22
"Ixodes pacificus",-73660.9262142,74400.0817988,34.6860008239746,4.10930013656616,109.706001281738,4.44369983673096,17.1937007904053,5,47,170,19
"Ixodes pacificus",-73660.9262142,74400.0817988,34.6860008239746,4.10930013656616,109.706001281738,4.44369983673096,17.1937007904053,5,47,170,19
"Ixodes pacificus",-225969.492805,73834.3904774,34.4737014770508,3.41770005226135,162.75700378418,5.87230014801025,15.4300003051758,7,45,177,18
