"species","longitude","latitude"
"Ixodes pacificus",-162215.532730336,-51905.5485201939
"Ixodes pacificus",-162215.532730336,-51905.5485201939
"Ixodes pacificus",-188828.910472706,-21191.1179356603
"Ixodes pacificus",-192363.346122882,-19620.2521464461
"Ixodes pacificus",-189490.49786829,92794.8119197325
"Ixodes pacificus",-55929.4454167612,45614.8967847722
"Ixodes pacificus",-55929.4454167612,45614.8967847722
"Ixodes pacificus",-55929.4454167612,45614.8967847722
"Ixodes pacificus",-56006.8873390251,45626.7598213479
"Ixodes pacificus",-124401.204565259,168213.042660625
"Ixodes pacificus",-124401.204565259,168213.042660625
"Ixodes pacificus",-124401.204565259,168213.042660625
"Ixodes pacificus",-48386.8847552149,2123.46428091312
"Ixodes pacificus",-48386.8847552149,2123.46428091312
"Ixodes pacificus",-41591.801406638,4176.63448273297
"Ixodes pacificus",-41591.801406638,4176.63448273297
"Ixodes pacificus",-63526.1907966516,32493.6049503204
"Ixodes pacificus",-63526.1907966516,32493.6049503204
"Ixodes pacificus",-63526.1907966516,32493.6049503204
"Ixodes pacificus",-63526.1907966516,32493.6049503204
"Ixodes pacificus",-23768.6073627517,28008.7596355113
"Ixodes pacificus",-198447.882203426,-10194.7103163684
"Ixodes pacificus",-195682.431439368,-12382.9518692414
"Ixodes pacificus",-195112.663235063,-12851.1224480197
"Ixodes pacificus",-197897.728457888,-10699.3064335315
"Ixodes pacificus",-198141.580090167,-10463.3243041476
"Ixodes pacificus",-198798.868549884,-9628.11703160359
"Ixodes pacificus",-195112.663235063,-12851.1224480197
"Ixodes pacificus",-197354.901152899,-11330.4568272587
"Ixodes pacificus",-197897.728457888,-10699.3064335315
"Ixodes pacificus",-198141.580090167,-10463.3243041476
"Ixodes pacificus",-198447.882203426,-10194.7103163684
"Ixodes pacificus",-198798.868549884,-9628.11703160359
"Ixodes pacificus",-198726.671978904,-9216.18251393503
"Ixodes pacificus",-186381.127752862,-4513.5228079115
"Ixodes pacificus",-186381.127752862,-4513.5228079115
"Ixodes pacificus",-77527.5623515103,87662.9181658272
"Ixodes pacificus",-77527.5623515103,87662.9181658272
"Ixodes pacificus",-77527.5623515103,87662.9181658272
"Ixodes pacificus",-77527.5623515103,87662.9181658272
"Ixodes pacificus",-77527.5623515103,87662.9181658272
"Ixodes pacificus",-90575.9104212679,84429.246955703
"Ixodes pacificus",-90575.9104212679,84429.246955703
"Ixodes pacificus",-90967.9598885326,84454.6922930074
"Ixodes pacificus",-90967.9598885326,84454.6922930074
"Ixodes pacificus",-90967.9598885326,84454.6922930074
"Ixodes pacificus",-90967.9598885326,84454.6922930074
"Ixodes pacificus",-90967.9598885326,84454.6922930074
"Ixodes pacificus",-90967.9598885326,84454.6922930074
"Ixodes pacificus",-90628.962740982,84340.9033275181
"Ixodes pacificus",-90628.962740982,84340.9033275181
"Ixodes pacificus",-323614.461500825,229056.985796539
"Ixodes pacificus",-228810.250284321,85336.7131496673
"Ixodes pacificus",-252819.937781859,162342.419619684
"Ixodes pacificus",-252819.937781859,162342.419619684
"Ixodes pacificus",-224543.779969044,102457.106010224
