"species","longitude","latitude"
"Ixodes pacificus",-41311.0206881928,3981.13473708555
"Ixodes pacificus",-41311.0206881928,3981.13473708555
"Ixodes pacificus",-197569.268971286,-10369.0667945175
"Ixodes pacificus",-186384.322843018,-4656.10292459093
"Ixodes pacificus",-195281.237285343,-12579.9625289664
"Ixodes pacificus",-90517.9201564485,84729.8515169392
"Ixodes pacificus",-90967.9598885326,84454.6922930074
"Ixodes pacificus",-90628.962740982,84340.9033275181
"Ixodes pacificus",-90628.962740982,84340.9033275181
"Ixodes pacificus",-90628.962740982,84340.9033275181
"Ixodes pacificus",-90628.962740982,84340.9033275181
"Ixodes pacificus",-90858.8333289026,84802.416885912
"Ixodes pacificus",-90517.9201564485,84729.8515169392
"Ixodes pacificus",-90967.9598885326,84454.6922930074
"Ixodes pacificus",-90967.9598885326,84454.6922930074
"Ixodes pacificus",-218930.233137213,2064.3874508338
"Ixodes pacificus",-218930.233137213,2064.3874508338
"Ixodes pacificus",25183.1812482594,-32541.1552038663
"Ixodes pacificus",-109066.773199168,140948.410844512
"Ixodes pacificus",-109066.773199168,140948.410844512
"Ixodes pacificus",-109066.773199168,140948.410844512
"Ixodes pacificus",-109409.233651305,140236.785624529
"Ixodes pacificus",-106843.94893524,141546.219222147
"Ixodes pacificus",-106843.94893524,141546.219222147
"Ixodes pacificus",-105312.849076576,70950.1829794063
"Ixodes pacificus",-105312.849076576,70950.1829794063
"Ixodes pacificus",-178272.674337758,-111652.12271848
"Ixodes pacificus",-182197.6764572,280566.38351769
"Ixodes pacificus",-189296.886880597,327093.510196297
"Ixodes pacificus",-221853.209574505,39284.3713840549
"Ixodes pacificus",-221853.209574505,39284.3713840549
"Ixodes pacificus",-34885.7331334217,2533.8433580175
"Ixodes pacificus",-34885.7331334217,2533.8433580175
"Ixodes pacificus",-95326.4261335559,157404.224672963
"Ixodes pacificus",-95326.4261335559,157404.224672963
"Ixodes pacificus",-95326.4261335559,157404.224672963
