"species","longitude","latitude"
"Ixodes pacificus",-196989.067249838,-10683.053865707
"Ixodes pacificus",-195854.824010594,-11494.876327686
"Ixodes pacificus",-195112.663235063,-12851.1224480197
"Ixodes pacificus",-195682.431439368,-12382.9518692414
"Ixodes pacificus",-198141.580090167,-10463.3243041476
"Ixodes pacificus",-198141.580090167,-10463.3243041476
"Ixodes pacificus",-198141.580090167,-10463.3243041476
"Ixodes pacificus",-198447.882203426,-10194.7103163684
"Ixodes pacificus",-198447.882203426,-10194.7103163684
"Ixodes pacificus",-197354.901152899,-11330.4568272587
"Ixodes pacificus",-197897.728457888,-10699.3064335315
"Ixodes pacificus",-90967.9598885326,84454.6922930074
"Ixodes pacificus",-217905.493336729,63785.1780668674
"Ixodes pacificus",156757.785829981,-439516.504627664
"Ixodes pacificus",-218939.601104172,1708.77759889979
"Ixodes pacificus",-218939.601104172,1708.77759889979
"Ixodes pacificus",-218930.233137213,2064.3874508338
"Ixodes pacificus",-218930.233137213,2064.3874508338
"Ixodes pacificus",-218930.233137213,2064.3874508338
"Ixodes pacificus",-229866.859638613,-2788.4001445882
"Ixodes pacificus",-219652.010490349,62266.3838165672
"Ixodes pacificus",-219652.010490349,62266.3838165672
"Ixodes pacificus",-219652.010490349,62266.3838165672
"Ixodes pacificus",-208474.907810457,-92723.6378798503
"Ixodes pacificus",-192538.692341692,-74757.5486926683
"Ixodes pacificus",-141931.838907428,-93305.3188479841
"Ixodes pacificus",-222376.198477295,39320.6526354309
