"species","longitude","latitude"
"Ixodes pacificus",-192999.041555956,-16999.1007623272
"Ixodes pacificus",-168245.018291398,-41888.4940552847
"Ixodes pacificus",-184369.052890319,-49867.6470616302
"Ixodes pacificus",-184421.972361086,-49466.1883878843
"Ixodes pacificus",-197123.14366109,-10595.3690548744
"Ixodes pacificus",-129179.88444437,-97995.9272231651
"Ixodes pacificus",-195112.663235063,-12851.1224480197
"Ixodes pacificus",-195682.431439368,-12382.9518692414
"Ixodes pacificus",-197897.728457888,-10699.3064335315
"Ixodes pacificus",-198141.580090167,-10463.3243041476
"Ixodes pacificus",-198141.580090167,-10463.3243041476
"Ixodes pacificus",-198141.580090167,-10463.3243041476
"Ixodes pacificus",-198447.882203426,-10194.7103163684
"Ixodes pacificus",-198798.868549884,-9628.11703160359
"Ixodes pacificus",-195682.431439368,-12382.9518692414
"Ixodes pacificus",-197354.901152899,-11330.4568272587
"Ixodes pacificus",-197897.728457888,-10699.3064335315
"Ixodes pacificus",-198141.580090167,-10463.3243041476
"Ixodes pacificus",-198141.580090167,-10463.3243041476
"Ixodes pacificus",-198447.882203426,-10194.7103163684
"Ixodes pacificus",-197354.901152899,-11330.4568272587
"Ixodes pacificus",-198447.882203426,-10194.7103163684
"Ixodes pacificus",-198798.868549884,-9628.11703160359
"Ixodes pacificus",-198856.86257723,-9482.17326691002
"Ixodes pacificus",-197931.85606427,-8625.75774519797
"Ixodes pacificus",-197932.913455994,-8670.21193164261
"Ixodes pacificus",-90967.9598885326,84454.6922930074
"Ixodes pacificus",-90967.9598885326,84454.6922930074
"Ixodes pacificus",133874.652147689,-438831.392779805
"Ixodes pacificus",132976.31120968,-439865.751384224
"Ixodes pacificus",133874.652147689,-438831.392779805
"Ixodes pacificus",132976.31120968,-439865.751384224
"Ixodes pacificus",-218930.233137213,2064.3874508338
"Ixodes pacificus",-218930.233137213,2064.3874508338
"Ixodes pacificus",-237061.289606906,-9284.92943365406
"Ixodes pacificus",-236178.386642111,-9128.98045756947
"Ixodes pacificus",-218930.233137213,2064.3874508338
"Ixodes pacificus",-218930.233137213,2064.3874508338
"Ixodes pacificus",-245173.493278891,6308.3583079949
"Ixodes pacificus",-187183.338669794,55089.2468842166
"Ixodes pacificus",-219652.010490349,62266.3838165672
"Ixodes pacificus",-219652.010490349,62266.3838165672
"Ixodes pacificus",-219652.010490349,62266.3838165672
"Ixodes pacificus",-219652.010490349,62266.3838165672
"Ixodes pacificus",-103044.894012062,142575.048549412
"Ixodes pacificus",-103044.894012062,142575.048549412
"Ixodes pacificus",-103044.894012062,142575.048549412
"Ixodes pacificus",-104073.330652261,143032.647023084
"Ixodes pacificus",-106774.41682596,141444.838193768
"Ixodes pacificus",-106774.41682596,141444.838193768
"Ixodes pacificus",-81840.1574818405,121479.36719243
"Ixodes pacificus",-82407.8714252509,106074.247142129
"Ixodes pacificus",-196875.365271362,-65316.6516014026
"Ixodes pacificus",-196875.365271362,-65316.6516014026
"Ixodes pacificus",-197400.16735586,-85763.6912763729
"Ixodes pacificus",-129179.88444437,-97995.9272231651
"Ixodes pacificus",-129179.88444437,-97995.9272231651
"Ixodes pacificus",-129179.88444437,-97995.9272231651
"Ixodes pacificus",-129179.88444437,-97995.9272231651
"Ixodes pacificus",-192538.692341692,-74757.5486926683
"Ixodes pacificus",-192538.692341692,-74757.5486926683
"Ixodes pacificus",-141931.838907428,-93305.3188479841
"Ixodes pacificus",-141931.838907428,-93305.3188479841
"Ixodes pacificus",-141931.838907428,-93305.3188479841
"Ixodes pacificus",-184694.445042568,-109012.21024241
"Ixodes pacificus",-184694.53387119,-109012.20829433
"Ixodes pacificus",-184694.53387119,-109012.20829433
"Ixodes pacificus",-184694.53387119,-109012.20829433
"Ixodes pacificus",-231239.015365267,51217.9817742254
"Ixodes pacificus",-261895.088144954,62498.3253499726
"Ixodes pacificus",-221833.002641598,39907.6787594794
"Ixodes pacificus",-221210.273366346,37854.8780750413
"Ixodes pacificus",-222114.406158053,39313.6201889538
"Ixodes pacificus",-222114.406158053,39313.6201889538
"Ixodes pacificus",-222114.406158053,39313.6201889538
"Ixodes pacificus",-222114.406158053,39313.6201889538
"Ixodes pacificus",-222114.406158053,39313.6201889538
"Ixodes pacificus",-222376.198477295,39320.6526354309
"Ixodes pacificus",-302063.059753077,328178.795654089
"Ixodes pacificus",-302063.059753077,328178.795654089
"Ixodes pacificus",-200337.183960564,101557.498910367
"Ixodes pacificus",-115505.854664187,145775.896911721
"Ixodes pacificus",-109022.388485938,140941.038883915
