"species","longitude","latitude"
"Ixodes pacificus",-43627.9471831607,47875.3613078413
"Ixodes pacificus",-55925.0855327361,45614.8672899222
"Ixodes pacificus",-43627.9471831607,47875.3613078413
"Ixodes pacificus",-55925.0855327361,45614.8672899222
"Ixodes pacificus",-124568.718445102,168215.603038653
"Ixodes pacificus",-195112.663235063,-12851.1224480197
"Ixodes pacificus",-197580.097708628,-11158.3172254134
"Ixodes pacificus",-197295.971064687,-11438.6040162891
"Ixodes pacificus",-197295.971064687,-11438.6040162891
"Ixodes pacificus",-198447.882203426,-10194.7103163684
"Ixodes pacificus",-198447.882203426,-10194.7103163684
"Ixodes pacificus",-202725.357377132,-4892.24739813153
"Ixodes pacificus",-186381.127752862,-4513.5228079115
"Ixodes pacificus",-186381.127752862,-4513.5228079115
"Ixodes pacificus",-186381.127752862,-4513.5228079115
"Ixodes pacificus",-195281.237285343,-12579.9625289664
"Ixodes pacificus",-83234.7160098726,89985.1919068699
"Ixodes pacificus",-83234.7160098726,89985.1919068699
"Ixodes pacificus",-77527.5623515103,87662.9181658272
"Ixodes pacificus",-77527.5623515103,87662.9181658272
"Ixodes pacificus",-90579.4186585723,84425.9507830814
"Ixodes pacificus",-90966.2241282366,84454.6731033647
"Ixodes pacificus",-90966.2241282366,84454.6731033647
"Ixodes pacificus",-90967.9598885326,84454.6922930074
"Ixodes pacificus",-90421.1951955777,84448.6656639306
"Ixodes pacificus",-90421.1951955777,84448.6656639306
"Ixodes pacificus",-90628.962740982,84340.9033275181
"Ixodes pacificus",-90967.9598885326,84454.6922930074
"Ixodes pacificus",-90967.9598885326,84454.6922930074
"Ixodes pacificus",-243347.741396525,114929.953181879
"Ixodes pacificus",-243347.741396525,114929.953181879
"Ixodes pacificus",-239837.18186811,108520.750998145
"Ixodes pacificus",-239837.18186811,108520.750998145
"Ixodes pacificus",-239837.18186811,108520.750998145
"Ixodes pacificus",-239837.18186811,108520.750998145
"Ixodes pacificus",-224137.817943653,103873.908469416
"Ixodes pacificus",184590.329506062,-424573.255943162
"Ixodes pacificus",167142.670318111,-395807.94322899
"Ixodes pacificus",158340.201055135,-430210.929798094
"Ixodes pacificus",158340.201055135,-430210.929798094
"Ixodes pacificus",-222334.043762549,-16350.0145951314
"Ixodes pacificus",-229845.938670894,-2793.64923006948
"Ixodes pacificus",-229845.938670894,-2793.64923006948
"Ixodes pacificus",-229845.938670894,-2793.64923006948
"Ixodes pacificus",-229845.938670894,-2793.64923006948
"Ixodes pacificus",-229845.938670894,-2793.64923006948
"Ixodes pacificus",-133333.106345351,-196848.453136429
"Ixodes pacificus",-133333.106345351,-196848.453136429
"Ixodes pacificus",-133333.106345351,-196848.453136429
"Ixodes pacificus",-133333.106345351,-196848.453136429
"Ixodes pacificus",-186942.436031262,55144.9434704632
"Ixodes pacificus",-219516.746846565,62440.7011794504
"Ixodes pacificus",-86099.190267099,103266.633053306
"Ixodes pacificus",-86099.190267099,103266.633053306
"Ixodes pacificus",-86099.190267099,103266.633053306
"Ixodes pacificus",-105312.849076576,70950.1829794063
"Ixodes pacificus",-105312.849076576,70950.1829794063
"Ixodes pacificus",-105312.849076576,70950.1829794063
"Ixodes pacificus",-134059.544451039,-138602.008409377
"Ixodes pacificus",-133898.738363815,-138486.617058245
"Ixodes pacificus",-136866.477704072,-42135.4682190805
"Ixodes pacificus",-201353.365166522,-57990.8365753191
"Ixodes pacificus",-201353.365166522,-57990.8365753191
"Ixodes pacificus",-201353.365166522,-57990.8365753191
"Ixodes pacificus",-201353.365166522,-57990.8365753191
"Ixodes pacificus",-201465.700134201,-58327.060078437
"Ixodes pacificus",-201465.700134201,-58327.060078437
"Ixodes pacificus",-201465.700134201,-58327.060078437
"Ixodes pacificus",-199263.518336761,-66841.3778114212
"Ixodes pacificus",-199263.518336761,-66841.3778114212
"Ixodes pacificus",-199263.518336761,-66841.3778114212
"Ixodes pacificus",-199263.518336761,-66841.3778114212
"Ixodes pacificus",-199263.518336761,-66841.3778114212
"Ixodes pacificus",-220547.913069916,-49291.9578821398
"Ixodes pacificus",-198157.901952921,-65505.6901046424
"Ixodes pacificus",-148281.446702919,-82177.3072337424
"Ixodes pacificus",-148281.446702919,-82177.3072337424
"Ixodes pacificus",-129179.88444437,-97995.9272231651
"Ixodes pacificus",-129179.88444437,-97995.9272231651
"Ixodes pacificus",-129179.88444437,-97995.9272231651
"Ixodes pacificus",-141931.838907428,-93305.3188479841
"Ixodes pacificus",-190503.583867905,-100905.694377442
"Ixodes pacificus",-190503.583867905,-100905.694377442
"Ixodes pacificus",-189296.886880597,327093.510196297
"Ixodes pacificus",-219950.722328111,40223.275772138
"Ixodes pacificus",-221853.209574505,39284.3713840549
"Ixodes pacificus",-221853.209574505,39284.3713840549
"Ixodes pacificus",-221853.209574505,39284.3713840549
"Ixodes pacificus",-221853.209574505,39284.3713840549
"Ixodes pacificus",-35085.6983264251,2299.01017116709
"Ixodes pacificus",-35085.6983264251,2299.01017116709
"Ixodes pacificus",-194488.854841787,92722.5480787111
"Ixodes pacificus",-120732.504534896,135781.77519287
