"species","longitude","latitude"
"Ixodes pacificus",-194169.893814084,-15978.8995068283
"Ixodes pacificus",-194169.893814084,-15978.8995068283
"Ixodes pacificus",-192999.041555956,-16999.1007623272
"Ixodes pacificus",-56006.8873390251,45626.7598213479
"Ixodes pacificus",-56006.8873390251,45626.7598213479
"Ixodes pacificus",-56006.8873390251,45626.7598213479
"Ixodes pacificus",-43650.9229338423,47849.6928405031
"Ixodes pacificus",-124569.594484186,168214.505113896
"Ixodes pacificus",-124569.594484186,168214.505113896
"Ixodes pacificus",-124569.594484186,168214.505113896
"Ixodes pacificus",-124569.594484186,168214.505113896
"Ixodes pacificus",-41591.801406638,4176.63448273297
"Ixodes pacificus",-41591.801406638,4176.63448273297
"Ixodes pacificus",-48344.0911905888,1945.34581969632
"Ixodes pacificus",-48344.0911905888,1945.34581969632
"Ixodes pacificus",-41591.801406638,4176.63448273297
"Ixodes pacificus",-48386.8847552149,2123.46428091312
"Ixodes pacificus",-197123.14366109,-10595.3690548744
"Ixodes pacificus",-195854.824010594,-11494.876327686
"Ixodes pacificus",-195682.431439368,-12382.9518692414
"Ixodes pacificus",-198726.671978904,-9216.18251393503
"Ixodes pacificus",-195112.663235063,-12851.1224480197
"Ixodes pacificus",-195682.431439368,-12382.9518692414
"Ixodes pacificus",-197354.901152899,-11330.4568272587
"Ixodes pacificus",-198447.882203426,-10194.7103163684
"Ixodes pacificus",-198141.580090167,-10463.3243041476
"Ixodes pacificus",-198798.868549884,-9628.11703160359
"Ixodes pacificus",-195682.431439368,-12382.9518692414
"Ixodes pacificus",-197354.901152899,-11330.4568272587
"Ixodes pacificus",-197897.728457888,-10699.3064335315
"Ixodes pacificus",-198141.580090167,-10463.3243041476
"Ixodes pacificus",-198447.882203426,-10194.7103163684
"Ixodes pacificus",-198798.868549884,-9628.11703160359
"Ixodes pacificus",-197725.370215788,-9175.53824513592
"Ixodes pacificus",-198082.407347757,-10523.6679131459
"Ixodes pacificus",-90579.4186585723,84425.9507830814
"Ixodes pacificus",-90579.4186585723,84425.9507830814
"Ixodes pacificus",-48058.990199582,76345.7413357203
"Ixodes pacificus",-90967.9598885326,84454.6922930074
"Ixodes pacificus",-254284.656910452,141388.543554448
"Ixodes pacificus",-254284.656910452,141388.543554448
"Ixodes pacificus",-234423.311117912,108118.093501848
"Ixodes pacificus",-221283.385266679,63911.2410414033
"Ixodes pacificus",33967.4995023025,-70025.1889081234
"Ixodes pacificus",36337.0670250337,-74092.7322137295
"Ixodes pacificus",-218939.601104172,1708.77759889979
"Ixodes pacificus",-218939.601104172,1708.77759889979
"Ixodes pacificus",-218939.601104172,1708.77759889979
"Ixodes pacificus",-218930.233137213,2064.3874508338
"Ixodes pacificus",-218930.233137213,2064.3874508338
"Ixodes pacificus",-218930.233137213,2064.3874508338
"Ixodes pacificus",-218930.233137213,2064.3874508338
"Ixodes pacificus",-218930.233137213,2064.3874508338
"Ixodes pacificus",-218930.233137213,2064.3874508338
"Ixodes pacificus",3434.25318829891,-57390.625348316
"Ixodes pacificus",3434.25318829891,-57390.625348316
"Ixodes pacificus",30785.2099721716,-52699.1129219369
"Ixodes pacificus",-187187.567597616,55094.902191191
"Ixodes pacificus",-94380.2363864736,142370.336355968
"Ixodes pacificus",-89302.5542648429,28632.2989006056
"Ixodes pacificus",-73435.1631452708,145542.647950903
"Ixodes pacificus",-87772.7718173818,139830.512659045
"Ixodes pacificus",-82822.3410939455,107380.004979066
"Ixodes pacificus",-82822.3410939455,107380.004979066
"Ixodes pacificus",-81840.1574818405,121479.36719243
"Ixodes pacificus",-81840.1574818405,121479.36719243
"Ixodes pacificus",-81840.1574818405,121479.36719243
"Ixodes pacificus",-105263.24264114,71464.4681822401
"Ixodes pacificus",-105263.24264114,71464.4681822401
"Ixodes pacificus",-105263.24264114,71464.4681822401
"Ixodes pacificus",-105263.24264114,71464.4681822401
"Ixodes pacificus",-103427.54289461,70874.2828807728
"Ixodes pacificus",-201725.280729406,-58646.9476818158
"Ixodes pacificus",-202485.430468614,-61496.7957121069
"Ixodes pacificus",-192765.700088369,-73997.5688679554
"Ixodes pacificus",-199397.082372241,-67110.1821782114
"Ixodes pacificus",-196699.072238838,-69190.2164393724
"Ixodes pacificus",-196699.072238838,-69190.2164393724
"Ixodes pacificus",-202011.983917719,1635.93509189645
"Ixodes pacificus",-202011.983917719,1635.93509189645
"Ixodes pacificus",-141931.838907428,-93305.3188479841
"Ixodes pacificus",-141931.838907428,-93305.3188479841
"Ixodes pacificus",-141931.838907428,-93305.3188479841
"Ixodes pacificus",-141931.838907428,-93305.3188479841
"Ixodes pacificus",-141931.838907428,-93305.3188479841
