"species","longitude","latitude"
"Ixodes pacificus",-162215.532730336,-51905.5485201939
"Ixodes pacificus",-162215.532730336,-51905.5485201939
"Ixodes pacificus",-194169.893814084,-15978.8995068283
"Ixodes pacificus",-194169.893814084,-15978.8995068283
"Ixodes pacificus",-192999.041555956,-16999.1007623272
"Ixodes pacificus",-192999.041555956,-16999.1007623272
"Ixodes pacificus",-168245.018291398,-41888.4940552847
"Ixodes pacificus",-184369.052890319,-49867.6470616302
"Ixodes pacificus",-184421.972361086,-49466.1883878843
"Ixodes pacificus",-188828.910472706,-21191.1179356603
"Ixodes pacificus",-192363.346122882,-19620.2521464461
"Ixodes pacificus",-189490.49786829,92794.8119197325
"Ixodes pacificus",-43627.9471831607,47875.3613078413
"Ixodes pacificus",-55925.0855327361,45614.8672899222
"Ixodes pacificus",-55929.4454167612,45614.8967847722
"Ixodes pacificus",-55929.4454167612,45614.8967847722
"Ixodes pacificus",-55929.4454167612,45614.8967847722
"Ixodes pacificus",-43627.9471831607,47875.3613078413
"Ixodes pacificus",-55925.0855327361,45614.8672899222
"Ixodes pacificus",-56006.8873390251,45626.7598213479
"Ixodes pacificus",-56006.8873390251,45626.7598213479
"Ixodes pacificus",-56006.8873390251,45626.7598213479
"Ixodes pacificus",-43650.9229338423,47849.6928405031
"Ixodes pacificus",-56006.8873390251,45626.7598213479
"Ixodes pacificus",-124568.718445102,168215.603038653
"Ixodes pacificus",-124569.594484186,168214.505113896
"Ixodes pacificus",-124569.594484186,168214.505113896
"Ixodes pacificus",-124569.594484186,168214.505113896
"Ixodes pacificus",-124569.594484186,168214.505113896
"Ixodes pacificus",-124401.204565259,168213.042660625
"Ixodes pacificus",-124401.204565259,168213.042660625
"Ixodes pacificus",-124401.204565259,168213.042660625
"Ixodes pacificus",-48386.8847552149,2123.46428091312
"Ixodes pacificus",-41591.801406638,4176.63448273297
"Ixodes pacificus",-48386.8847552149,2123.46428091312
"Ixodes pacificus",-41591.801406638,4176.63448273297
"Ixodes pacificus",-41591.801406638,4176.63448273297
"Ixodes pacificus",-48344.0911905888,1945.34581969632
"Ixodes pacificus",-48344.0911905888,1945.34581969632
"Ixodes pacificus",-41591.801406638,4176.63448273297
"Ixodes pacificus",-41591.801406638,4176.63448273297
"Ixodes pacificus",-48386.8847552149,2123.46428091312
"Ixodes pacificus",-63526.1907966516,32493.6049503204
"Ixodes pacificus",-63526.1907966516,32493.6049503204
"Ixodes pacificus",-63526.1907966516,32493.6049503204
"Ixodes pacificus",-41311.0206881928,3981.13473708555
"Ixodes pacificus",-41311.0206881928,3981.13473708555
"Ixodes pacificus",-63526.1907966516,32493.6049503204
"Ixodes pacificus",-23768.6073627517,28008.7596355113
"Ixodes pacificus",-196989.067249838,-10683.053865707
"Ixodes pacificus",-195854.824010594,-11494.876327686
"Ixodes pacificus",-197123.14366109,-10595.3690548744
"Ixodes pacificus",-197123.14366109,-10595.3690548744
"Ixodes pacificus",-129179.88444437,-97995.9272231651
"Ixodes pacificus",-195854.824010594,-11494.876327686
"Ixodes pacificus",-195682.431439368,-12382.9518692414
