"","fvegHW90mask","bird90","mammal90","reptile90","aetjan_90m","cwdjan_90m","pptjan_90m","pptdjf_90m","pptjja_90m","tmnjan_90m","tmxjan_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",15,187,47,17,31.1620006561279,0.0892999991774559,125.318298339844,121.468597412109,2.01780009269714,5.10300016403198,12.9547004699707,24.843599319458,5.4640998840332,-185784.756251838,-25874.1033316934
"2",5,190,47,17,30.3673000335693,0,120.285003662109,118.538803100586,1.82179999351501,5.70669984817505,13.8753004074097,23.2644004821777,6.16520023345947,-188362.21662406,-26616.8830096158
"3",5,192,47,16,31.17799949646,0.0386999994516373,118.552299499512,115.477996826172,1.85909998416901,6.45170021057129,13.9707002639771,22.2527008056641,6.94379997253418,-197295.956817069,-18114.9393746168
"4",15,153,48,22,28.9197006225586,0.162000000476837,74.7910003662109,72.35009765625,1.17190003395081,3.51270008087158,13.6586999893188,29.8691005706787,3.99200010299683,-156700.694561082,-40213.9471882377
"5",7,133,58,17,20.3117008209229,0,202.509994506836,194.489807128906,5.4556999206543,1.08270001411438,11.1890001296997,30.8628997802734,1.19719994068146,-43596.1594156374,47852.8498360794
"6",15,120,56,16,21.8092994689941,0,203.617706298828,197.079299926758,9.18760013580322,0.339700013399124,10.8629999160767,28.539400100708,0.419800013303757,-18842.2022735381,53806.5066959397
"7",2,142,55,21,27.5757007598877,0.144299998879433,169.817306518555,164.4208984375,4.93499994277954,2.82669997215271,12.6490001678467,31.8910007476807,2.99090003967285,-55999.1267565849,45626.7072494151
"8",2,142,55,21,27.5757007598877,0.144299998879433,169.817306518555,164.4208984375,4.93499994277954,2.82669997215271,12.6490001678467,31.8910007476807,2.99090003967285,-56006.8873390229,45626.7598213479
"9",2,170,48,17,23.5009994506836,0.182699993252754,243.626007080078,241.548202514648,8.01459980010986,3.83270001411438,12.5797004699707,31.5818004608154,4.02510023117065,-150105.439642069,207407.461871458
"10",15,166,47,18,27.5419998168945,0.213300004601479,157.64469909668,141.093307495117,3.60689997673035,2.07699990272522,12.8627004623413,33.0152015686035,2.45359992980957,-41591.8014066358,4176.63448273437
"11",15,166,47,18,28.7882995605469,0.282700002193451,145.990005493164,129.08869934082,3.05369997024536,2.35870003700256,13.3222999572754,33.6417999267578,2.77239990234375,-48344.0911905866,1945.34581969911
"12",15,166,47,18,27.317699432373,0.199699997901917,157.244705200195,140.455001831055,3.58010005950928,2.00670003890991,12.9786996841431,33.1100006103516,2.38369989395142,-41311.0505347216,3975.13182568457
"13",15,176,47,17,31.7096996307373,0,136.330001831055,130.801193237305,2.26659989356995,5.74870014190674,12.1726999282837,26.5785999298096,6.09880018234253,-178534.523444673,-23019.1761366595
"14",15,188,46,17,28.430700302124,0,134.827697753906,135.184906005859,2.01189994812012,3.97029995918274,12.6770000457764,27.3076000213623,4.36229991912842,-189848.477743181,-8057.96993377572
"15",5,176,48,20,29.0002994537354,0.0103000001981854,99.810302734375,96.8671035766602,1.41509997844696,3.80329990386963,13.3760004043579,28.9141998291016,4.34240007400513,-172079.25592035,-18384.8595164698
"16",15,191,48,17,28.5900001525879,0,130.305297851562,130.118698120117,2.50469994544983,5.39870023727417,12.9899997711182,24.2800998687744,5.8270001411438,-198318.115717884,-10462.4557697559
"17",8,189,48,17,29.5027008056641,0,129.943298339844,129.718307495117,2.55769991874695,5.29099988937378,12.93630027771,25.5743007659912,5.6956000328064,-197945.228073314,-9926.46037186403
"18",4,189,48,17,30.3299999237061,0,133.559005737305,137.328002929688,2.72709989547729,6.47629976272583,12.4006996154785,25.1030006408691,6.83010005950928,-197569.268971283,-10369.0667945161
"19",15,189,48,17,29.6399993896484,0,132.740997314453,135.623992919922,2.71160006523132,6.33400011062622,12.5023002624512,25.1986999511719,6.67990016937256,-197185.495577201,-10075.7089178674
"20",15,194,48,19,29.5779991149902,0,128.766998291016,127.366096496582,2.36730003356934,5.37169981002808,13.2327003479004,24.051700592041,5.83720016479492,-198856.809466162,-9479.95056314208
"21",4,195,48,18,29.6709995269775,0,128.447006225586,126.894798278809,2.33189988136292,5.32270002365112,13.2919998168945,23.7985992431641,5.7701997756958,-199181.564161154,-9140.81201261561
"22",15,190,48,17,30,0,132.67529296875,136.21110534668,2.74379992485046,6.12169981002808,12.375,25.0223999023438,6.48070001602173,-197354.901152897,-11330.4568272587
"23",15,190,48,17,29.7047004699707,0,131.75129699707,132.285995483398,2.5132999420166,5.59270000457764,12.773699760437,24.9815998077393,5.98680019378662,-197897.728457886,-10699.3064335315
"24",15,191,48,17,28.5359992980957,0,130.272994995117,130.31379699707,2.53999996185303,5.19329977035522,12.9086999893188,24.7807998657227,5.60080003738403,-198141.580090165,-10463.3243041476
"25",15,192,48,18,28.5466995239258,0,129.875701904297,129.157897949219,2.49559998512268,5.27969980239868,13.0753002166748,24.2124004364014,5.73479986190796,-198447.882203424,-10194.710316367
"26",15,194,48,19,29.5779991149902,0,128.766998291016,127.366096496582,2.36730003356934,5.37169981002808,13.2327003479004,24.051700592041,5.83720016479492,-198798.868549881,-9628.11703160359
"27",15,189,48,17,29.9699993133545,0,132.055694580078,134.584396362305,2.67709994316101,5.98969984054565,12.576000213623,25.2493991851807,6.35710000991821,-197456.529512018,-10748.592883666
"28",4,189,48,17,30.0032997131348,0,132.674697875977,134.957595825195,2.6168999671936,6.36129999160767,12.46399974823,25.2066993713379,6.69659996032715,-197338.288098562,-9888.83294325368
"29",7,125,56,17,20.528299331665,0,230.608001708984,225.704299926758,8.03339958190918,0.326999992132187,12.2987003326416,30.6499004364014,0.404799997806549,-42985.8906436465,84071.9140542536
"30",7,133,58,21,23.382999420166,0,229.091003417969,237.049606323242,7.90570020675659,2.62369990348816,11.2272996902466,30.9388008117676,2.46630001068115,-66049.2998103783,103275.35282711
"31",5,134,57,22,24.8439998626709,0,222.59700012207,231.919799804688,7.42129993438721,2.6382999420166,11.6033000946045,30.9659004211426,2.5460000038147,-68450.5702587695,101199.821617409
"32",8,169,50,19,25.2082996368408,0,134.214294433594,132.050094604492,3.30710005760193,3.36330008506775,12.4280004501343,32.6325988769531,3.87660002708435,-89564.8100707849,84818.3532583644
"33",8,169,50,19,24.4617004394531,0,132.345001220703,130.359603881836,3.28620004653931,3.56030011177063,12.354700088501,32.7505989074707,4.05999994277954,-89739.5906394366,84709.0981924948
"34",15,170,50,19,25.375,0,136.613693237305,134.322799682617,3.33829998970032,3.14229989051819,12.4989995956421,32.5050010681152,3.65039992332458,-88952.5138588711,85256.3481060215
"35",9,171,48,19,NA,NA,127.750701904297,125.892997741699,3.26810002326965,3.62800002098083,12.3859996795654,32.782600402832,4.11770009994507,-90575.9104212657,84429.2469557044
"36",8,169,49,19,NA,NA,128.433700561523,126.681396484375,3.271399974823,3.53229999542236,12.4042997360229,32.7162017822266,4.03410005569458,-90807.7854468006,84654.1221285174
"37",15,172,49,19,23.7502994537354,0,150.757293701172,149.423797607422,3.74480009078979,2.48070001602173,12.2693004608154,32.1236991882324,2.91230010986328,-89107.1358814268,96607.2123360871
"38",8,169,49,19,24.5382995605469,0,130.580993652344,128.697296142578,3.27999997138977,3.5699999332428,12.3439998626709,32.7691993713379,4.06529998779297,-90138.1942459895,84769.0350523675
"39",15,169,49,19,25.942699432373,0,127.798698425293,126.001899719238,3.26719999313354,3.480299949646,12.4106998443604,32.7202987670898,3.99009990692139,-90839.1865888578,84954.5998149319
"40",15,169,50,19,24.7162990570068,0,140.880294799805,138.755004882812,3.50169992446899,3.18670010566711,12.6040000915527,32.5638008117676,3.6686999797821,-77525.8167917223,87664.0132823014
"41",8,171,49,19,24.5382995605469,0,130.580993652344,128.697296142578,3.27999997138977,3.5699999332428,12.3439998626709,32.7691993713379,4.06529998779297,-89939.3183677698,84700.1630174113
"42",8,170,48,19,25.3509998321533,0,123.692001342773,122.051200866699,3.2493999004364,3.65930008888245,12.4320001602173,32.8124008178711,4.17119979858398,-91450.3055869588,83071.6501428764
"43",8,169,49,19,25.507999420166,0,131.361999511719,129.523895263672,3.2846999168396,3.42170000076294,12.3882999420166,32.6509017944336,3.92309999465942,-90517.9201564463,84729.8515169406
"44",15,171,49,19,NA,NA,127.503997802734,125.859100341797,3.26519989967346,3.66100001335144,12.3837003707886,32.7643013000488,4.15420007705688,-90967.9598885304,84454.6922930088
"45",2,151,57,15,21.7786998748779,0,251.498001098633,258.196105957031,10.1738004684448,3.50430011749268,11.6470003128052,27.2243995666504,3.62709999084473,-340440.69206489,266844.245619182
"46",15,158,54,27,30.077299118042,7.31769990921021,61.4393005371094,59.1142997741699,1.48230004310608,1.70669996738434,11.8109998703003,31.1795997619629,1.603600025177,99768.6922785838,-348935.612543595
"47",5,162,51,22,37.2239990234375,1.27999997138977,75.3597030639648,68.448600769043,3.17400002479553,1.97000002861023,15.2349996566772,35.3199005126953,2.37980008125305,125388.317652601,-273409.116693966
"48",15,163,49,19,18.0443000793457,0,149.434005737305,152.966995239258,2.54320001602173,0.574999988079071,12.6520004272461,32.219799041748,0.891099989414215,-243347.741396523,114929.953181881
"49",7,158,54,19,22.1993007659912,0,232.994995117188,233.11799621582,5.80819988250732,2.65700006484985,11.3509998321533,30.1177005767822,2.55259990692139,-258453.330789403,147183.589665459
"50",5,157,53,19,16.9799995422363,0,197.978302001953,198.062896728516,4.97009992599487,0.27700001001358,12.3066997528076,31.3607006072998,0.565100014209747,-254387.141540801,141383.171993049
"51",15,165,50,18,18.8110008239746,0,147.230697631836,140.565200805664,2.44000005722046,0.694000005722046,13.1956996917725,32.6087989807129,1.00310003757477,-218296.290402306,110099.680436178
"52",15,147,48,17,22.8463001251221,0.127000004053116,123.870697021484,114.802001953125,2.99429988861084,3.43869996070862,12.253999710083,33.638801574707,3.62220001220703,-208857.184210272,112909.169429791
"53",7,164,48,19,22.0902996063232,0,281.748687744141,281.188598632812,5.27570009231567,3.32369995117188,11.1470003128052,30.2959003448486,3.27940011024475,-235532.141461793,95794.3903307253
"54",8,170,48,18,19.6793003082275,0,174.836303710938,178.680404663086,2.50859999656677,1.38269996643066,12.8929996490479,31.9041004180908,1.62440001964569,-251765.950446264,105932.483990713
"55",15,175,50,18,20.0592994689941,0,161.927703857422,163.739593505859,2.64269995689392,0.689300000667572,12.7426996231079,32.0589981079102,0.988900005817413,-239904.957244336,117654.960939141
"56",15,147,48,17,22.7777004241943,0.151700004935265,124.606300354004,115.55940246582,3.00090003013611,3.42070007324219,12.2876996994019,33.5956993103027,3.62360000610352,-209054.363267666,112948.660168035
"57",8,171,51,20,48.089298248291,12.4506998062134,95.1809997558594,89.1071014404297,1.20420002937317,6.81669998168945,19.0172996520996,33.1236000061035,6.83290004730225,123013.463257093,-423502.36175149
"58",8,119,26,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,155298.892919758,-520569.353789729
"59",8,173,50,20,53.4496994018555,6.66699981689453,112.471298217773,101.117698669434,1.07389998435974,7.50169992446899,17.3353004455566,31.9575996398926,7.61590003967285,102448.288271099,-406766.055456335
"60",8,179,50,21,50.1002998352051,9.34630012512207,104.850997924805,94.2994003295898,1.1981999874115,8.37100028991699,18.3920001983643,31.7999000549316,8.33860015869141,110787.565473158,-430366.308411306
"61",2,186,50,21,54.7643013000488,8.29899978637695,126.029998779297,108.821701049805,1.39779996871948,9.86999988555908,18.3349990844727,29.3118991851807,9.85770034790039,104945.306874723,-436033.283404793
"62",5,204,52,15,NA,NA,123.352996826172,121.633102416992,2.13919997215271,6.89970016479492,13.9230003356934,18.8568992614746,7.30719995498657,-222182.622139371,-18682.7179273488
"63",15,198,42,14,27.8092994689941,0,154.976699829102,160.253997802734,1.72720003128052,5.19430017471313,13.1506996154785,25.6991004943848,5.64300012588501,-218930.23313721,2064.3874508366
"64",15,128,7,2,29.5200004577637,0,147.010696411133,150.966796875,1.75639998912811,5.69500017166138,13.4209995269775,24.9002990722656,6.12860012054443,-216089.568361407,1154.7857253924
"65",7,124,62,17,19.5137004852295,0,196.080001831055,184.942092895508,4.78980016708374,-0.999000012874603,11.0473003387451,28.7973003387451,-0.523599982261658,28436.1263018946,-52107.1330923541
"66",15,156,57,16,18.6809997558594,0,252.27799987793,251.91259765625,6.21280002593994,0.97869998216629,11.8680000305176,27.4650993347168,1.04410004615784,-290979.406272734,163876.844108226
"67",8,147,54,18,16.4080009460449,0,334.225708007812,341.121185302734,9.62129974365234,1.39530003070831,11.7652997970581,26.4535999298096,1.54390001296997,-310638.662075592,207856.731800843
"68",7,150,54,18,17.9290008544922,0,239.654296875,239.018402099609,5.66660022735596,0.584699988365173,12.3549995422363,27.6226997375488,0.70880001783371,-289472.529431346,160264.944687516
"69",15,172,47,22,36.8403015136719,0.632700026035309,127.631698608398,108.570297241211,1.56789994239807,5.89699983596802,15.7379999160767,19.8178997039795,6.14079999923706,-164645.302927986,-191076.442623813
"70",15,167,50,22,32.8642997741699,0.309300005435944,107.843696594238,111.391799926758,0.719600021839142,1.67030000686646,16.9069995880127,33.6363983154297,1.99430000782013,-133333.106345349,-196848.453136428
"71",5,173,47,18,25.7903003692627,0.215000003576279,197.494003295898,202.369903564453,3.25769996643066,3.85030007362366,11.8326997756958,28.922700881958,3.92770004272461,-213182.583651461,64932.1802251083
"72",8,156,52,18,26.24169921875,0,206.738998413086,225.546005249023,4.01429986953735,4.12200021743774,11.4879999160767,28.5624008178711,4.16260004043579,-257655.978173333,102760.307649512
"73",15,160,52,19,21.426700592041,0,194.120697021484,194.526596069336,3.15910005569458,2.53299999237061,11.7252998352051,31.0818996429443,2.76340007781982,-259952.526202919,123256.958884114
"74",15,171,46,17,24.5547008514404,0.0729999989271164,181.983001708984,185.093597412109,2.20679998397827,3.27369999885559,14.1070003509521,31.3304004669189,3.51999998092651,-218344.27020703,61006.2684907722
"75",5,172,44,15,25.7413005828857,0.0763000026345253,131.050994873047,132.920394897461,2.30139994621277,3.84969997406006,13.8997001647949,28.612699508667,4.2613000869751,-196822.468725915,31621.3038605591
"76",11,171,46,17,24.9437007904053,0.0852999985218048,182.233703613281,185.05940246582,2.20930004119873,3.25530004501343,14.1346998214722,31.3736000061035,3.50880002975464,-218366.968351471,61465.0056076138
"77",7,175,46,17,22.8409996032715,0,189.089294433594,193.349304199219,2.99790000915527,3.00799989700317,14.7790002822876,31.9683990478516,3.2318000793457,-223484.077886993,64217.8785953177
"78",11,171,46,17,24.1963005065918,0,184.642303466797,187.316101074219,2.54159998893738,3.14630007743835,14.2803001403809,31.6804008483887,3.3931999206543,-219507.285761328,62796.2840468166
"79",7,174,47,18,26.5100002288818,0.292699992656708,194.914306640625,198.649398803711,3.04809999465942,3.79830002784729,12.0340003967285,29.3383007049561,3.92000007629395,-212578.63082879,63370.9741489333
"80",7,177,45,18,26.1436996459961,0,244.651702880859,239.759704589844,4.76940011978149,3.88000011444092,11.8859996795654,28.0876007080078,3.92969989776611,-225970.637471721,73834.9780327501
"81",7,140,58,21,19.2476997375488,0,256.800994873047,263.404998779297,7.67519998550415,0.915700018405914,10.9060001373291,29.5440006256104,1.08560001850128,-87643.2752351229,139846.905238406
"82",7,118,57,19,10.1750001907349,0,265.506286621094,273.441589355469,8.86960029602051,-1.08700001239777,9.67169952392578,29.6263008117676,-0.814100027084351,-64465.4013160385,149558.830586027
"83",7,128,58,20,14.6540002822876,0,265.871704101562,273.553802490234,8.38339996337891,-0.135000005364418,9.6879997253418,29.0088005065918,-0.0675999969244003,-78968.1305163087,141317.742567132
"84",15,142,56,22,19.5846996307373,0,226.477005004883,231.399002075195,6.70009994506836,0.671299993991852,11.9976997375488,29.8752994537354,0.911099970340729,-90806.6976057253,129337.39699186
"85",2,165,38,13,27.2180004119873,0.326999992132187,84.9177017211914,82.7078018188477,0.938000023365021,3.51169991493225,12.5480003356934,33.5038986206055,3.89730000495911,-89302.1505457,16492.380193688
"86",8,179,55,27,43.4527015686035,20.9507007598877,66.8787002563477,73.1726989746094,1.46459996700287,7.65170001983643,20.0860004425049,29.0627994537354,7.77479982376099,227311.526770747,-491405.687819391
"87",5,191,54,24,36.9249992370605,26.3150005340576,51.8213005065918,55.0220985412598,1.03620004653931,7.95730018615723,19.1667003631592,24.2959995269775,7.93340015411377,202528.610127484,-492132.636478003
"88",8,171,55,30,43.7622985839844,18.0310001373291,83.5942993164062,74.7014007568359,1.45840001106262,6.41429996490479,20.2532997131348,28.1168994903564,6.49329996109009,251050.196116028,-513117.651124371
"89",2,191,54,24,37.2737007141113,25.6730003356934,52.1677017211914,56.3202018737793,1.02530002593994,7.89930009841919,19.4297008514404,25.4367008209229,7.86159992218018,202757.872908671,-492299.469569618
"90",9,141,53,22,21.5956993103027,0,152.592697143555,151.843902587891,3.90779995918274,2.85369992256165,12.3599996566772,31.7640991210938,3.27959990501404,-87630.9941129419,103360.648717234
"91",15,143,52,22,25.3882999420166,0,151.338302612305,150.158401489258,3.89580011367798,3.42070007324219,12.2783002853394,32.989200592041,3.92899990081787,-89748.7414037166,100629.12626164
"92",15,140,54,22,22.7786998748779,0,161.648696899414,162.921005249023,4.5366997718811,2.54830002784729,12.5437002182007,31.5083999633789,2.86339998245239,-82822.3410939433,107380.004979067
"93",15,170,48,19,25.3349990844727,0,125.680000305176,124.466300964355,3.34559988975525,3.58599996566772,12.3362998962402,32.8730010986328,4.10570001602173,-94628.7809907575,89766.0549452198
"94",9,168,46,19,NA,NA,114.875701904297,114.449600219727,3.17790007591248,3.77029991149902,12.2952995300293,32.7276000976562,4.33470010757446,-98023.498665924,84414.5553418659
"95",7,118,63,13,1.73329997062683,0,183.723999023438,194.514999389648,9.20219993591309,-3.24699997901917,7.20300006866455,29.3451995849609,-3.1515998840332,-88694.898875649,211834.633421034
"96",15,171,48,19,24.4340000152588,0,151.164993286133,149.91780090332,3.97140002250671,2.96199989318848,12.2017002105713,32.2925987243652,3.44510006904602,-92330.0005033562,96720.6073451047
"97",15,141,54,22,23.6597003936768,0,156.985305786133,157.388397216797,4.29739999771118,2.14529991149902,12.4607000350952,31.2682991027832,2.48309993743896,-82414.4560227723,105418.517073962
"98",15,171,45,19,24.6856994628906,0,158.35270690918,166.147796630859,4.29860019683838,2.49569988250732,12.6350002288818,31.5090999603271,2.90330004692078,-92937.7750250837,108865.524282642
"99",15,170,55,31,51.2983016967773,14.9416999816895,110.101997375488,83.4700012207031,2.28889989852905,7.56799983978271,18.475700378418,31.5531997680664,7.44509983062744,253024.160286554,-494203.448071509
"100",15,170,55,31,50.850700378418,14.5392999649048,110.31770324707,83.5419998168945,2.26640009880066,7.53800010681152,18.5069999694824,31.6529006958008,7.417799949646,253265.843665217,-494590.222777359
"101",15,170,55,31,48.7290000915527,16.5177001953125,101.940002441406,76.8227996826172,2.23699998855591,7.04769992828369,18.693000793457,32.1189002990723,6.92799997329712,253399.373633198,-492445.845245713
"102",15,167,39,14,25.9633007049561,0,116.272003173828,109.999298095703,2.67779994010925,4.1100001335144,12.2952995300293,33.2672004699707,4.55569982528687,-103199.851483241,71004.8270349354
"103",15,169,39,14,26.2546997070312,0,99.6137008666992,93.3280029296875,2.73390007019043,4.33970022201538,12.2806997299194,32.6675987243652,4.74030017852783,-114024.475148611,67234.3780530188
"104",15,142,46,24,33.5419998168945,0.354299992322922,93.5926971435547,83.8718032836914,1.396399974823,1.46969997882843,15.6160001754761,31.6854000091553,1.65339994430542,-105821.419686523,-169084.03992787
"105",15,150,55,29,54.7397003173828,4.8636999130249,201.989700317383,183.262893676758,3.39910006523132,6.04300022125244,16.4477005004883,31.8894004821777,5.99289989471436,233479.914059372,-418221.577210861
"106",3,102,38,30,16.0303001403809,32.3242988586426,19.3376998901367,19.7889995574951,4.98210000991821,1.1360000371933,15.7799997329712,37.6133995056152,1.63300001621246,267774.378145851,-344683.925218324
"107",9,148,58,29,34.8139991760254,2.76729989051819,119.85530090332,114.823600769043,9.20300006866455,0.756699979305267,12.565299987793,29.5049991607666,0.870100021362305,278051.778376938,-430936.037064237
