species,longitude,latitude,combined,Point_X,Point_Y
Ixodes pacificus,-122.112,37.765,-122.112+37.765,-185783.6104,-25874.68103
Ixodes pacificus,-122.1411,37.7578,-122.1411+37.7578,-188361.0705,-26617.46077
Ixodes pacificus,-122.2449,37.8324,-122.2449+37.8324,-197294.8104,-18115.51826
Ixodes pacificus,-121.7784,37.6414,-121.7784+37.6414,-156699.5505,-40214.52231
Ixodes pacificus,-122.2449,37.8324,-122.2449+37.8324,-197294.8104,-18115.51826
Ixodes pacificus,-120.5001,38.4458,-120.5001+38.4458,-43595.02932,47852.27213
Ixodes pacificus,-120.2163,38.5002,-120.2163+38.5002,-18841.07467,53805.92949
Ixodes pacificus,-120.6422,38.425102,-120.6422+38.425102,-55997.99545,45626.12922
Ixodes pacificus,-120.6422,38.425102,-120.6422+38.425102,-55997.99545,45626.12922
Ixodes pacificus,-120.642289,38.425102,-120.642289+38.425102,-56005.75603,45626.18179
Ixodes pacificus,-121.7556,39.87001,-121.7556+39.87001,-150104.3065,207406.8671
Ixodes pacificus,-121.7556,39.87001,-121.7556+39.87001,-150104.3065,207406.8671
Ixodes pacificus,-120.4746,38.053,-120.4746+38.053,-41590.66961,4176.060703
Ixodes pacificus,-120.5515,38.0326,-120.5515+38.0326,-48342.95868,1944.771944
Ixodes pacificus,-120.471385,38.0512,-120.471385+38.0512,-41309.91875,3974.558076
Ixodes pacificus,-120.471385,38.0512,-120.471385+38.0512,-41309.91875,3974.558076
Ixodes pacificus,-120.471385,38.0512,-120.471385+38.0512,-41309.91875,3974.558076
Ixodes pacificus,-122.0303,37.7921,-122.0303+37.7921,-178533.3784,-23019.75374
Ixodes pacificus,-122.1628,37.9244,-122.1628+37.9244,-189847.3324,-8058.549305
Ixodes pacificus,-122.1628,37.9244,-122.1628+37.9244,-189847.3324,-8058.549305
Ixodes pacificus,-121.958,37.835,-121.958+37.835,-172078.1116,-18385.43721
Ixodes pacificus,-122.2586,37.901,-122.2586+37.901,-198316.9695,-10463.03533
Ixodes pacificus,-122.2545,37.9059,-122.2545+37.9059,-197944.082,-9927.039963
Ixodes pacificus,-122.2545,37.9059,-122.2545+37.9059,-197944.082,-9927.039963
Ixodes pacificus,-122.2545,37.9059,-122.2545+37.9059,-197944.082,-9927.039963
Ixodes pacificus,-122.2545,37.9059,-122.2545+37.9059,-197944.082,-9927.039963
Ixodes pacificus,-122.2545,37.9059,-122.2545+37.9059,-197944.082,-9927.039963
Ixodes pacificus,-122.2545,37.9059,-122.2545+37.9059,-197944.082,-9927.039963
Ixodes pacificus,-122.2586,37.901,-122.2586+37.901,-198316.9695,-10463.03533
Ixodes pacificus,-122.2501,37.902,-122.2501+37.902,-197568.1229,-10369.64633
Ixodes pacificus,-122.24581,37.90472,-122.24581+37.90472,-197184.3495,-10076.28846
Ixodes pacificus,-122.265,37.90972,-122.265+37.90972,-198855.6633,-9480.530233
Ixodes pacificus,-122.26879,37.9127,-122.26879+37.9127,-199180.418,-9141.391726
