species,longitude,latitude,Combined,Point_X,Point_Y
Ixodes pacificus,-121.689,37.583,-121.689+37.583,-148938.7265,-46849.61827
Ixodes pacificus,-122.1023,37.7194,-122.1023+37.7194,-185042.8736,-30961.59665
Ixodes pacificus,-122.1023,37.7194,-122.1023+37.7194,-185042.8736,-30961.59665
Ixodes pacificus,-122.049,37.6266,-122.049+37.6266,-180575.095,-41378.12187
Ixodes pacificus,-121.8344,37.5157,-121.8344+37.5157,-161903.6367,-54091.38216
Ixodes pacificus,-122.2449,37.8324,-122.2449+37.8324,-197294.8104,-18115.51826
Ixodes pacificus,-121.82857,37.51488,-121.82857+37.51488,-161390.9008,-54192.46033
Ixodes pacificus,-121.82318,37.50366,-121.82318+37.50366,-160939.2145,-55448.65869
Ixodes pacificus,-120.64135,38.42499,-120.64135+38.42499,-55923.96175,45613.17767
Ixodes pacificus,-120.64135,38.42499,-120.64135+38.42499,-55923.96175,45613.17767
Ixodes pacificus,-120.500466,38.446001,-120.500466+38.446001,-43626.81708,47874.7836
Ixodes pacificus,-120.64135,38.425,-120.64135+38.425,-55923.95423,45614.28926
Ixodes pacificus,-120.64135,38.425,-120.64135+38.425,-55923.95423,45614.28926
Ixodes pacificus,-121.9111,41.0208,-121.9111+41.0208,-160822.1865,335430.1
Ixodes pacificus,-121.5625,40.51833,-121.5625+40.51833,-132408.9621,279117.6825
Ixodes pacificus,-121.34611,39.69055,-121.34611+39.69055,-115378.3235,186897.6263
Ixodes pacificus,-121.49899,39.52091,-121.49899+39.52091,-128779.1365,168247.1763
Ixodes pacificus,-121.45,39.5223,-121.45+39.5223,-124568.3108,168336.1575
Ixodes pacificus,-121.44802,39.53345,-121.44802+39.53345,-124379.3001,169572.3898
Ixodes pacificus,-121.3727,39.2751,-121.3727+39.2751,-118325.6679,140769.7926
Ixodes pacificus,-121.4462,39.532686,-121.4462+39.532686,-124224.2748,169485.1189
Ixodes pacificus,-121.453119,39.523286,-121.453119+39.523286,-124834.5638,168449.8107
Ixodes pacificus,-120.4746,38.053,-120.4746+38.053,-41590.66961,4176.060703
Ixodes pacificus,-120.4746,38.053,-120.4746+38.053,-41590.66961,4176.060703
Ixodes pacificus,-120.4746,38.053,-120.4746+38.053,-41590.66961,4176.060703
Ixodes pacificus,-120.52197,38.36904,-120.52197+38.36904,-45548.50186,39329.88093
Ixodes pacificus,-120.471385,38.051254,-120.471385+38.051254,-41309.88891,3980.560987
Ixodes pacificus,-120.471385,38.051254,-120.471385+38.051254,-41309.88891,3980.560987
Ixodes pacificus,-122.24581,37.90472,-122.24581+37.90472,-197184.3495,-10076.28846
Ixodes pacificus,-122.24581,37.90472,-122.24581+37.90472,-197184.3495,-10076.28846
Ixodes pacificus,-122.265,37.90277,-122.265+37.90277,-198874.1194,-10252.91976
Ixodes pacificus,-122.2504,37.9059,-122.2504+37.9059,-197584.1694,-9935.592315
Ixodes pacificus,-122.2586,37.901,-122.2586+37.901,-198316.9695,-10463.03533
Ixodes pacificus,-122.2501,37.902,-122.2501+37.902,-197568.1229,-10369.64633
Ixodes pacificus,-122.25623,37.91762,-122.25623+37.91762,-198064.9448,-8620.919475
Ixodes pacificus,-122.24635,37.90053,-122.24635+37.90053,-197242.7886,-10540.82383
Ixodes pacificus,-122.24635,37.90053,-122.24635+37.90053,-197242.7886,-10540.82383
Ixodes pacificus,-122.24581,37.90472,-122.24581+37.90472,-197184.3495,-10076.28846
Ixodes pacificus,-122.2547,37.91722,-122.2547+37.91722,-197931.7145,-8668.568917
Ixodes pacificus,-122.26879,37.9127,-122.26879+37.9127,-199180.418,-9141.391726
Ixodes pacificus,-122.26879,37.9127,-122.26879+37.9127,-199180.418,-9141.391726
Ixodes pacificus,-122.24581,37.90472,-122.24581+37.90472,-197184.3495,-10076.28846
Ixodes pacificus,-122.24581,37.90472,-122.24581+37.90472,-197184.3495,-10076.28846
Ixodes pacificus,-122.25456,37.9457,-122.25456+37.9457,-197844.1453,-5503.723963
Ixodes pacificus,-122.270601,37.975175,-122.270601+37.975175,-199173.0634,-2194.429118
Ixodes pacificus,-122.124217,37.9556981,-122.124217+37.9556981,-186383.1779,-4656.682419
Ixodes pacificus,-122.223461,37.882603,-122.223461+37.882603,-195280.0913,-12580.54178
Ixodes pacificus,-120.8477,38.6827,-120.8477+38.6827,-73660.92621,74400.0818
Ixodes pacificus,-120.839,38.907,-120.839+38.907,-72684.32298,99323.81001
Ixodes pacificus,-120.839,38.907,-120.839+38.907,-72684.32298,99323.81001
Ixodes pacificus,-120.839,38.907,-120.839+38.907,-72684.32298,99323.81001
Ixodes pacificus,-120.839,38.907,-120.839+38.907,-72684.32298,99323.81001
Ixodes pacificus,-120.94631,38.82447,-120.94631+38.82447,-82072.22337,90238.59999
Ixodes pacificus,-120.94631,38.82447,-120.94631+38.82447,-82072.22337,90238.59999
Ixodes pacificus,-120.92211,38.8146,-120.92211+38.8146,-79984.09731,89120.90589
Ixodes pacificus,-120.94631,38.82447,-120.94631+38.82447,-82072.22337,90238.59999
Ixodes pacificus,-121.04297,38.77411,-121.04297+38.77411,-90516.78742,84729.26874
Ixodes pacificus,-121.04812,38.77159,-121.04812+38.77159,-90966.8271,84454.10952
Ixodes pacificus,-121.0442,38.7706,-121.0442+38.7706,-90627.82997,84340.32058
Ixodes pacificus,-121.0442,38.7706,-121.0442+38.7706,-90627.82997,84340.32058
Ixodes pacificus,-121.0442,38.7706,-121.0442+38.7706,-90627.82997,84340.32058
Ixodes pacificus,-121.0442,38.7706,-121.0442+38.7706,-90627.82997,84340.32058
Ixodes pacificus,-121.046907,38.774729,-121.046907+38.774729,-90857.70056,84801.83409
Ixodes pacificus,-121.04297,38.77411,-121.04297+38.77411,-90516.78742,84729.26874
Ixodes pacificus,-121.04297,38.77411,-121.04297+38.77411,-90516.78742,84729.26874
Ixodes pacificus,-121.04812,38.77159,-121.04812+38.77159,-90966.8271,84454.10952
Ixodes pacificus,-121.04812,38.77159,-121.04812+38.77159,-90966.8271,84454.10952
Ixodes pacificus,-122.7238,39.6475,-122.7238+39.6475,-233577.7232,184650.7497
Ixodes pacificus,-123.636,40.276,-123.636+40.276,-309092.6899,257042.6508
Ixodes pacificus,-123.636,40.276,-123.636+40.276,-309092.6899,257042.6508
Ixodes pacificus,-118.896422,34.871104,-118.896422+34.871104,100827.4504,-348912.3506
Ixodes pacificus,-122.99986,39.13605,-122.99986+39.13605,-259041.6921,128558.27
Ixodes pacificus,-122.81352,39.0178,-122.81352+39.0178,-243345.7654,114928.2251
Ixodes pacificus,-122.77467,39.04323,-122.77467+39.04323,-239903.8133,117654.3694
Ixodes pacificus,-118.21479,33.9341,-118.21479+33.9341,165055.2611,-451923.0066
Ixodes pacificus,-118.879,34.059,-118.879+34.059,103484.6924,-439011.0686
Ixodes pacificus,-118.87,34.039,-118.87+34.039,104341.9177,-441219.6153
Ixodes pacificus,-120.076,34.531,-120.076+34.531,-6972.865601,-387248.3233
Ixodes pacificus,-118.339,33.329,-118.339+33.329,154747.8023,-519211.672
Ixodes pacificus,-118.339,33.329,-118.339+33.329,154747.8023,-519211.672
Ixodes pacificus,-118.339,33.329,-118.339+33.329,154747.8023,-519211.672
Ixodes pacificus,-118.339,33.329,-118.339+33.329,154747.8023,-519211.672
Ixodes pacificus,-118.36666,33.38333,-118.36666+33.38333,152067.3853,-513235.5538
Ixodes pacificus,-118.14444,34.26583,-118.14444+34.26583,170838.5564,-415004.904
Ixodes pacificus,-118.714,34.102,-118.714+34.102,118650.8609,-434048.0717
Ixodes pacificus,-119.56861,37.31444,-119.56861+37.31444,38179.80199,-77943.58286
Ixodes pacificus,-119.54,37.29138,-119.54+37.29138,40724.24849,-80495.02993
Ixodes pacificus,-119.54,37.29138,-119.54+37.29138,40724.24849,-80495.02993
Ixodes pacificus,-119.5728,37.3194,-119.5728+37.3194,37806.49874,-77393.90599
Ixodes pacificus,-119.5728,37.3194,-119.5728+37.3194,37806.49874,-77393.90599
Ixodes pacificus,-122.52777,37.82166,-122.52777+37.82166,-222181.4736,-18683.29793
Ixodes pacificus,-122.4783,37.8355,-122.4783+37.8355,-217794.0118,-17260.07183
Ixodes pacificus,-122.4783,37.8355,-122.4783+37.8355,-217794.0118,-17260.07183
Ixodes pacificus,-122.4783,37.8355,-122.4783+37.8355,-217794.0118,-17260.07183
Ixodes pacificus,-122.4783,37.8355,-122.4783+37.8355,-217794.0118,-17260.07183
Ixodes pacificus,-122.5302,37.8426,-122.5302+37.8426,-222332.8953,-16350.59479
Ixodes pacificus,-122.497,38.009,-122.497+38.009,-218929.0858,2063.80591
Ixodes pacificus,-122.497,38.009,-122.497+38.009,-218929.0858,2063.80591
Ixodes pacificus,-122.790574,37.970337,-122.790574+37.970337,-244788.3078,-1514.614392
Ixodes pacificus,-122.790574,37.970337,-122.790574+37.970337,-244788.3078,-1514.614392
