"","fvegHW90mask","bird90","mammal90","reptile90","aetmar_90m","cwdmar_90m","pptmar_90m","pptdjf_90m","pptjja_90m","tmnmar_90m","tmxmar_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",15,189,47,17,74.1532974243164,2.62330007553101,95.0982971191406,113.610702514648,1.77530002593994,7.33930015563965,17.4207000732422,23.6702003479004,5.65899991989136,-185044.01966072,-30961.0194165003
"2",15,189,47,17,74.1532974243164,2.62330007553101,95.0982971191406,113.610702514648,1.77530002593994,7.33930015563965,17.4207000732422,23.6702003479004,5.65899991989136,-185018.603837028,-31006.0605807821
"3",7,188,48,17,70.9520034790039,6.84469985961914,123.522300720215,133.409805297852,2.5158998966217,7.48129987716675,16.1516990661621,25.0067005157471,6.31230020523071,-190427.007627436,-20309.6663465849
"4",7,188,48,17,70.9872970581055,6.76929998397827,125.035697937012,135.164901733398,2.66359996795654,7.58300018310547,16.149299621582,24.9720993041992,6.39580011367798,-190995.509746919,-20174.3397880085
"5",7,188,48,17,77.8399963378906,0.713299989700317,123.639701843262,134.029006958008,2.61879992485046,7.49130010604858,16.1030006408691,24.9797992706299,6.47440004348755,-191264.796363471,-20412.7947083255
"6",15,189,47,17,76.879997253418,0,90.882698059082,110.335403442383,1.71200001239777,7.58669996261597,17.4860000610352,23.5986003875732,5.81300020217896,-185111.540958372,-31226.3869362618
"7",5,192,47,16,70.4690017700195,6.56769990921021,88.6072998046875,115.477996826172,1.85909998416901,8.61600017547607,17.4223003387451,22.2527008056641,6.94379997253418,-197295.956817069,-18114.9393746168
"8",5,188,48,17,70.0439987182617,6.42269992828369,125.305000305176,137.682998657227,2.80660009384155,7.59870004653931,16.0196990966797,24.7465991973877,6.68240022659302,-192226.272917372,-18633.7669821572
"9",15,159,48,22,72.3980026245117,7.10200023651123,80.1763000488281,96.8919982910156,1.44609999656677,6.69530010223389,17.8857002258301,29.2296009063721,4.88800001144409,-166318.130007235,-42518.5948869288
"10",15,183,49,17,72.38330078125,5.94329977035522,88.9690017700195,106.632698059082,1.73780000209808,7.18499994277954,17.5673007965088,24.6175994873047,5.41890001296997,-178393.088991475,-41936.2629735111
"11",15,182,49,17,73.9329986572266,2.73370003700256,98.9057006835938,116.443000793457,1.9342999458313,6.78830003738403,17.059700012207,24.8183994293213,5.42980003356934,-178350.067573887,-40747.1019878048
"12",15,137,55,20,77.1350021362305,0,143.521697998047,157.707305908203,4.28620004653931,4.30030012130737,15.7093000411987,31.4783992767334,2.53320002555847,-49099.1969632514,28363.1670381292
"13",15,167,42,19,NA,NA,96.1060028076172,99.8088989257812,2.74499988555908,6.91230010986328,18.2240009307861,33.8101997375488,4.41529989242554,-75625.2817967467,30130.3304341529
"14",7,133,58,17,68.9322967529297,0,187.365997314453,194.489807128906,5.4556999206543,2.84870004653931,16.2966995239258,30.8628997802734,1.19719994068146,-43627.9471831584,47875.3613078441
"15",15,141,53,21,79.9953002929688,0.601000010967255,158.572296142578,166.123199462891,4.99340009689331,6.08300018310547,16.0783004760742,31.5601005554199,4.57969999313354,-57002.2598168782,42165.0039087553
"16",2,142,55,21,75.7873001098633,0,156.861297607422,164.4208984375,4.93499994277954,4.65630006790161,16.0016994476318,31.8910007476807,2.99090003967285,-55925.0855327338,45614.867289925
"17",15,168,42,19,69.5876998901367,11.5389995574951,95.507698059082,99.1050033569336,2.71709990501404,6.94299983978271,18.2362995147705,33.812801361084,4.44299983978271,-75429.0559662967,29228.0745033664
"18",15,174,50,17,68.7313003540039,5.13530015945435,188.759002685547,227.821197509766,7.17910003662109,6.9032998085022,16.7840003967285,32.665599822998,4.75279998779297,-138377.322670679,190047.650653322
"19",2,170,48,17,66.2873001098633,5.2923002243042,199.091705322266,241.548202514648,8.01459980010986,5.85069990158081,16.2716999053955,31.5818004608154,4.02510023117065,-150105.439642069,207407.461871458
"20",15,173,50,18,72.2266998291016,0,168.903305053711,194.39289855957,6.54040002822876,6.64569997787476,17.5352993011475,32.7186012268066,4.39989995956421,-124568.7184451,168215.603038653
