species,longitude,latitude,combined,Point_X,Point_Y
Ixodes pacificus,-122.1023,37.7194,-122.1023+37.7194,-185042.8736,-30961.59665
Ixodes pacificus,-122.1023,37.7194,-122.1023+37.7194,-185042.8736,-30961.59665
Ixodes pacificus,-122.102,37.719,-122.102+37.719,-185017.4578,-31006.63781
Ixodes pacificus,-122.1662,37.8141,-122.1662+37.8141,-190425.8617,-20310.24473
Ixodes pacificus,-122.1727,37.8152,-122.1727+37.8152,-190994.3637,-20174.91821
Ixodes pacificus,-122.1727,37.8152,-122.1727+37.8152,-190994.3637,-20174.91821
Ixodes pacificus,-122.1757,37.813,-122.1757+37.813,-191263.6503,-20413.37312
Ixodes pacificus,-122.103,37.717,-122.103+37.717,-185110.3949,-31226.96415
Ixodes pacificus,-122.2449,37.8324,-122.2449+37.8324,-197294.8104,-18115.51826
Ixodes pacificus,-122.1871,37.8288,-122.1871+37.8288,-192225.1269,-18634.34559
Ixodes pacificus,-122.1662,37.8141,-122.1662+37.8141,-190425.8617,-20310.24473
Ixodes pacificus,-121.887,37.619,-121.887+37.619,-166316.985,-42519.17026
Ixodes pacificus,-122.0241,37.621997,-122.0241+37.621997,-178391.943,-41936.83897
Ixodes pacificus,-122.0239,37.6327,-122.0239+37.6327,-178348.9217,-40747.67808
Ixodes pacificus,-120.5619,38.2702,-120.5619+38.2702,-49098.06554,28362.5908
Ixodes pacificus,-120.86564,38.2843,-120.86564+38.2843,-75624.14807,30129.75291
Ixodes pacificus,-120.500466,38.446001,-120.500466+38.446001,-43626.81708,47874.7836
Ixodes pacificus,-120.65343,38.3939,-120.65343+38.3939,-57001.12827,42164.42613
Ixodes pacificus,-120.64135,38.425,-120.64135+38.425,-55923.95423,45614.28926
Ixodes pacificus,-120.8633,38.2762,-120.8633+38.2762,-75427.92222,29227.49707
Ixodes pacificus,-120.8633,38.2762,-120.8633+38.2762,-75427.92222,29227.49707
Ixodes pacificus,-120.65343,38.3939,-120.65343+38.3939,-57001.12827,42164.42613
Ixodes pacificus,-120.500466,38.446001,-120.500466+38.446001,-43626.81708,47874.7836
Ixodes pacificus,-120.64135,38.425,-120.64135+38.425,-55923.95423,45614.28926
Ixodes pacificus,-121.615,39.71566,-121.615+39.71566,-138376.1899,190047.0576
Ixodes pacificus,-121.7556,39.87001,-121.7556+39.87001,-150104.3065,207406.8671
Ixodes pacificus,-121.7556,39.87001,-121.7556+39.87001,-150104.3065,207406.8671
