"","fvegHW90mask","bird90","mammal90","reptile90","aetapr_90m","cwdapr_90m","pptapr_90m","pptdjf_90m","pptjja_90m","tmnapr_90m","tmxapr_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",15,152,47,22,81.9720001220703,29.0412998199463,46.5830001831055,104.628898620605,1.85780000686646,6.83799982070923,19.261999130249,27.8148994445801,3.99469995498657,-148937.889891543,-46737.896251997
"2",15,157,47,22,78.2710037231445,32.5923004150391,45.6139984130859,103.718002319336,1.85010004043579,7.4096999168396,19.0849990844727,27.1721000671387,5.09560012817383,-162215.532730334,-51905.5485201939
"3",15,155,47,22,78.2882995605469,32.3849983215332,45.826301574707,104.012199401855,1.83290004730225,7.24830007553101,19.4169998168945,27.4743995666504,4.84810018539429,-161904.781861026,-54090.8079870422
"4",7,188,48,17,68.4427032470703,43.1772994995117,46.0439987182617,135.164901733398,2.66359996795654,8.22299957275391,18.1259994506836,24.9720993041992,6.39580011367798,-190995.509746919,-20174.3397880085
"5",5,192,47,16,63.1432991027832,49.2633018493652,38.3172988891602,115.477996826172,1.85909998416901,9.40369987487793,18.7546997070312,22.2527008056641,6.94379997253418,-197295.956817069,-18114.9393746168
"6",15,189,47,17,81.4673004150391,29.5060005187988,42.4832992553711,126.655403137207,2.08979988098145,7.06500005722046,19.3770008087158,26.0818004608154,4.4766001701355,-188828.910472704,-21191.1179356589
"7",5,189,48,17,85.5942993164062,26.0657005310059,47.2643013000488,137.791595458984,2.76220011711121,8.12670040130615,17.878999710083,24.7523994445801,6.75419998168945,-192363.34612288,-19620.2521464447
"8",9,148,43,17,111.956703186035,4.90999984741211,29.9113006591797,102.97200012207,2.07629990577698,6.76599979400635,22.2616996765137,33.7747001647949,3.02320003509521,-189490.497868287,92794.8119197339
"9",2,142,55,21,114.980003356934,0,82.4457015991211,164.4208984375,4.93499994277954,6.00729990005493,19.2432994842529,31.8910007476807,2.99090003967285,-55981.7640238242,45615.2509023114
"10",2,142,55,21,114.980003356934,0,82.4457015991211,164.4208984375,4.93499994277954,6.00729990005493,19.2432994842529,31.8910007476807,2.99090003967285,-55929.4454167589,45614.896784775
"11",2,142,55,21,114.980003356934,0,82.4457015991211,164.4208984375,4.93499994277954,6.00729990005493,19.2432994842529,31.8910007476807,2.99090003967285,-56006.8873390229,45626.7598213479
"12",7,133,58,17,105.900001525879,1.51730000972748,94.9766998291016,194.489807128906,5.4556999206543,4.48000001907349,18.6802997589111,30.8628997802734,1.19719994068146,-43650.9229338401,47849.6928405045
"13",2,170,48,17,78.9339981079102,33.7760009765625,103.433700561523,241.548202514648,8.01459980010986,7.43270015716553,19.1947002410889,31.5818004608154,4.02510023117065,-150105.439642069,207407.461871458
"14",15,173,50,18,103.012298583984,10.9010000228882,84.8762969970703,198.037796020508,6.67980003356934,8.04100036621094,20.1466999053955,32.6682014465332,4.21439981460571,-124401.204565256,168213.042660625
"15",15,169,43,19,75.2866973876953,43.4933013916016,58.124698638916,117.956703186035,2.77010011672974,7.43030023574829,20.721700668335,33.236400604248,3.94779992103577,-74905.2084188099,36422.5759579474
"16",15,166,47,18,61.0730018615723,57.8703002929688,59.0460014343262,129.99560546875,3.08089995384216,6.45629978179932,20.7059993743896,33.5635986328125,2.82189989089966,-48386.8847552126,2123.46428091452
"17",15,166,47,18,109.430702209473,7.67269992828369,65.4567031860352,141.093307495117,3.60689997673035,6.0366997718811,20.0496997833252,33.0152015686035,2.45359992980957,-41591.8014066358,4176.63448273437
"18",15,169,46,18,102.851699829102,12.6183004379272,57.5830001831055,117.10489654541,3.03419995307922,6.75729990005493,21.6429996490479,33.9752006530762,2.92930006980896,-67090.1026926071,30678.6685883543
