species,longitude,latitude,Combined,Point_X,Point_Y
Ixodes pacificus,-121.689,37.584,-121.689+37.584,-148936.7462,-46738.47044
Ixodes pacificus,-121.689,37.584,-121.689+37.584,-148936.7462,-46738.47044
Ixodes pacificus,-121.8384,37.5353,-121.8384+37.5353,-162214.3877,-51906.1229
Ixodes pacificus,-121.8384,37.5353,-121.8384+37.5353,-162214.3877,-51906.1229
Ixodes pacificus,-121.8344,37.5157,-121.8344+37.5157,-161903.6367,-54091.38216
Ixodes pacificus,-122.1727,37.8152,-122.1727+37.8152,-190994.3637,-20174.91821
Ixodes pacificus,-122.2449,37.8324,-122.2449+37.8324,-197294.8104,-18115.51826
Ixodes pacificus,-122.2449,37.8324,-122.2449+37.8324,-197294.8104,-18115.51826
Ixodes pacificus,-122.1478,37.8065,-122.1478+37.8065,-188827.7646,-21191.69617
Ixodes pacificus,-122.1884,37.8199,-122.1884+37.8199,-192362.2,-19620.83067
Ixodes pacificus,-122.1852,38.8315,-122.1852+38.8315,-189489.357,92794.22442
Ixodes pacificus,-120.642,38.425,-120.642+38.425,-55980.63272,45614.67287
Ixodes pacificus,-120.6414,38.425,-120.6414+38.425,-55928.31411,45614.31876
Ixodes pacificus,-120.6414,38.425,-120.6414+38.425,-55928.31411,45614.31876
Ixodes pacificus,-120.6414,38.425,-120.6414+38.425,-55928.31411,45614.31876
Ixodes pacificus,-120.642289,38.425102,-120.642289+38.425102,-56005.75603,45626.18179
Ixodes pacificus,-120.500728,38.445769,-120.500728+38.445769,-43649.79283,47849.11513
Ixodes pacificus,-121.7556,39.87001,-121.7556+39.87001,-150104.3065,207406.8671
Ixodes pacificus,-121.44802,39.52121,-121.44802+39.52121,-124400.0722,168212.4518
Ixodes pacificus,-121.44802,39.52121,-121.44802+39.52121,-124400.0722,168212.4518
Ixodes pacificus,-121.44802,39.52121,-121.44802+39.52121,-124400.0722,168212.4518
Ixodes pacificus,-120.85805,38.34096,-120.85805+38.34096,-74904.07503,36421.99792
Ixodes pacificus,-120.552,38.0342,-120.552+38.0342,-48385.75225,2122.890387
Ixodes pacificus,-120.4746,38.053,-120.4746+38.053,-41590.66961,4176.060703
Ixodes pacificus,-120.552,38.0342,-120.552+38.0342,-48385.75225,2122.890387
Ixodes pacificus,-120.4746,38.053,-120.4746+38.053,-41590.66961,4176.060703
Ixodes pacificus,-120.4746,38.053,-120.4746+38.053,-41590.66961,4176.060703
Ixodes pacificus,-120.767998,38.289894,-120.767998+38.289894,-67088.96975,30678.09138
Ixodes pacificus,-120.727362,38.306473,-120.727362+38.306473,-63525.05825,32493.02774
Ixodes pacificus,-120.727362,38.306473,-120.727362+38.306473,-63525.05825,32493.02774
Ixodes pacificus,-120.727362,38.306473,-120.727362+38.306473,-63525.05825,32493.02774
Ixodes pacificus,-120.727362,38.306473,-120.727362+38.306473,-63525.05825,32493.02774
Ixodes pacificus,-120.272003,38.268014,-120.272003+38.268014,-23767.47822,28008.1845
Ixodes pacificus,-122.26015,37.90338,-122.26015+37.90338,-198446.736,-10195.28991
Ixodes pacificus,-122.22808,37.88429,-122.22808+37.88429,-195681.2854,-12383.53115
Ixodes pacificus,-122.22147,37.8802,-122.22147+37.8802,-195111.5172,-12851.70167
Ixodes pacificus,-122.25375,37.89896,-122.25375+37.89896,-197896.5823,-10699.88596
Ixodes pacificus,-122.25659,37.90103,-122.25659+37.90103,-198140.4339,-10463.90386
Ixodes pacificus,-122.2643,37.9084,-122.2643+37.9084,-198797.7224,-9628.696687
Ixodes pacificus,-122.22147,37.8802,-122.22147+37.8802,-195111.5172,-12851.70167
Ixodes pacificus,-122.2474,37.8934,-122.2474+37.8934,-197353.755,-11331.03627
Ixodes pacificus,-122.25375,37.89896,-122.25375+37.89896,-197896.5823,-10699.88596
Ixodes pacificus,-122.25659,37.90103,-122.25659+37.90103,-198140.4339,-10463.90386
Ixodes pacificus,-122.26015,37.90338,-122.26015+37.90338,-198446.736,-10195.28991
Ixodes pacificus,-122.2643,37.9084,-122.2643+37.9084,-198797.7224,-9628.696687
Ixodes pacificus,-122.26359,37.91212,-122.26359+37.91212,-198725.5258,-9216.7622
Ixodes pacificus,-122.124217,37.956981,-122.124217+37.956981,-186379.9829,-4514.102314
Ixodes pacificus,-122.124217,37.956981,-122.124217+37.956981,-186379.9829,-4514.102314
Ixodes pacificus,-120.89362,38.80169,-120.89362+38.80169,-77526.43087,87662.33567
Ixodes pacificus,-120.89362,38.80169,-120.89362+38.80169,-77526.43087,87662.33567
Ixodes pacificus,-120.89362,38.80169,-120.89362+38.80169,-77526.43087,87662.33567
Ixodes pacificus,-120.89362,38.80169,-120.89362+38.80169,-77526.43087,87662.33567
Ixodes pacificus,-120.89362,38.80169,-120.89362+38.80169,-77526.43087,87662.33567
Ixodes pacificus,-120.489,38.766,-120.489+38.766,-42443.82073,83439.39053
Ixodes pacificus,-121.0436,38.7714,-121.0436+38.7714,-90574.77766,84428.6642
Ixodes pacificus,-121.0436,38.7714,-121.0436+38.7714,-90574.77766,84428.6642
Ixodes pacificus,-121.034,38.774,-121.034+38.774,-89738.45797,84708.51545
Ixodes pacificus,-121.032,38.775,-121.032+38.775,-89563.67742,84817.77051
Ixodes pacificus,-121.025,38.779,-121.025+38.779,-88951.38128,85255.76535
Ixodes pacificus,-121.04812,38.77159,-121.04812+38.77159,-90966.8271,84454.10952
Ixodes pacificus,-121.04812,38.77159,-121.04812+38.77159,-90966.8271,84454.10952
