species,longitude,latitude,Combined,Point_X,Point_Y
Ixodes pacificus,-121.39258,37.773,-121.39258+37.773,-122491.5886,-26155.12101
Ixodes pacificus,-122.20991,37.85227,-122.20991+37.85227,-194168.7477,-15979.47842
Ixodes pacificus,-122.20991,37.85227,-122.20991+37.85227,-194168.7477,-15979.47842
Ixodes pacificus,-122.19632,37.84334,-122.19632+37.84334,-192997.8955,-16999.67954
Ixodes pacificus,-120.642289,38.425102,-120.642289+38.425102,-56005.75603,45626.18179
Ixodes pacificus,-120.642289,38.425102,-120.642289+38.425102,-56005.75603,45626.18179
Ixodes pacificus,-120.642289,38.425102,-120.642289+38.425102,-56005.75603,45626.18179
Ixodes pacificus,-120.500728,38.445769,-120.500728+38.445769,-43649.79283,47849.11513
Ixodes pacificus,-121.44998,39.5212,-121.44998+39.5212,-124568.4621,168213.9143
Ixodes pacificus,-121.44998,39.5212,-121.44998+39.5212,-124568.4621,168213.9143
Ixodes pacificus,-121.44998,39.5212,-121.44998+39.5212,-124568.4621,168213.9143
Ixodes pacificus,-121.44998,39.5212,-121.44998+39.5212,-124568.4621,168213.9143
Ixodes pacificus,-120.277443,38.261202,-120.277443+38.261202,-24245.05969,27252.3139
Ixodes pacificus,-120.4746,38.053,-120.4746+38.053,-41590.66961,4176.060703
Ixodes pacificus,-120.4746,38.053,-120.4746+38.053,-41590.66961,4176.060703
Ixodes pacificus,-120.5515,38.0326,-120.5515+38.0326,-48342.95868,1944.771944
Ixodes pacificus,-120.5515,38.0326,-120.5515+38.0326,-48342.95868,1944.771944
Ixodes pacificus,-120.4746,38.053,-120.4746+38.053,-41590.66961,4176.060703
Ixodes pacificus,-120.552,38.0342,-120.552+38.0342,-48385.75225,2122.890387
Ixodes pacificus,-122.24496,37.90006,-122.24496+37.90006,-197121.9976,-10595.94855
Ixodes pacificus,-122.23028,37.89224,-122.23028+37.89224,-195853.678,-11495.45569
Ixodes pacificus,-122.22808,37.88429,-122.22808+37.88429,-195681.2854,-12383.53115
Ixodes pacificus,-122.26359,37.91212,-122.26359+37.91212,-198725.5258,-9216.7622
Ixodes pacificus,-122.22147,37.8802,-122.22147+37.8802,-195111.5172,-12851.70167
Ixodes pacificus,-122.22808,37.88429,-122.22808+37.88429,-195681.2854,-12383.53115
Ixodes pacificus,-122.2474,37.8934,-122.2474+37.8934,-197353.755,-11331.03627
Ixodes pacificus,-122.26015,37.90338,-122.26015+37.90338,-198446.736,-10195.28991
Ixodes pacificus,-122.25659,37.90103,-122.25659+37.90103,-198140.4339,-10463.90386
Ixodes pacificus,-122.2643,37.9084,-122.2643+37.9084,-198797.7224,-9628.696687
Ixodes pacificus,-122.22147,37.8802,-122.22147+37.8802,-195111.5172,-12851.70167
Ixodes pacificus,-122.22808,37.88429,-122.22808+37.88429,-195681.2854,-12383.53115
Ixodes pacificus,-122.2474,37.8934,-122.2474+37.8934,-197353.755,-11331.03627
Ixodes pacificus,-122.25375,37.89896,-122.25375+37.89896,-197896.5823,-10699.88596
Ixodes pacificus,-122.25659,37.90103,-122.25659+37.90103,-198140.4339,-10463.90386
Ixodes pacificus,-122.26015,37.90338,-122.26015+37.90338,-198446.736,-10195.28991
Ixodes pacificus,-122.2643,37.9084,-122.2643+37.9084,-198797.7224,-9628.696687
Ixodes pacificus,-122.2522,37.9127,-122.2522+37.9127,-197724.2242,-9176.117888
Ixodes pacificus,-122.2559,37.9005,-122.2559+37.9005,-198081.2612,-10524.24746
