species,longitude,latitude,combined,Point_X,Point_Y
Ixodes pacificus,-122.2449,37.8324,-122.2449+37.8324,-197294.8104,-18115.51826
Ixodes pacificus,-122.049,37.6266,-122.049+37.6266,-180575.095,-41378.12187
Ixodes pacificus,-122.19632,37.84334,-122.19632+37.84334,-192997.8955,-16999.67954
Ixodes pacificus,-121.909,37.62432,-121.909+37.62432,-168243.8732,-41889.06958
Ixodes pacificus,-122.0899,37.5495,-122.0899+37.5495,-184367.906,-49868.22267
Ixodes pacificus,-122.0906,37.5531,-122.0906+37.5531,-184420.8255,-49466.76403
Ixodes pacificus,-120.500466,38.446001,-120.500466+38.446001,-43626.81708,47874.7836
Ixodes pacificus,-120.64135,38.425,-120.64135+38.425,-55923.95423,45614.28926
Ixodes pacificus,-120.552,38.0342,-120.552+38.0342,-48385.75225,2122.890387
Ixodes pacificus,-122.24496,37.90006,-122.24496+37.90006,-197121.9976,-10595.94855
Ixodes pacificus,-121.45605,37.1259,-121.45605+37.1259,-129178.74,-97996.49596
Ixodes pacificus,-122.22147,37.8802,-122.22147+37.8802,-195111.5172,-12851.70167
Ixodes pacificus,-122.22808,37.88429,-122.22808+37.88429,-195681.2854,-12383.53115
Ixodes pacificus,-122.25375,37.89896,-122.25375+37.89896,-197896.5823,-10699.88596
Ixodes pacificus,-122.25659,37.90103,-122.25659+37.90103,-198140.4339,-10463.90386
Ixodes pacificus,-122.25659,37.90103,-122.25659+37.90103,-198140.4339,-10463.90386
Ixodes pacificus,-122.25659,37.90103,-122.25659+37.90103,-198140.4339,-10463.90386
Ixodes pacificus,-122.26015,37.90338,-122.26015+37.90338,-198446.736,-10195.28991
Ixodes pacificus,-122.2643,37.9084,-122.2643+37.9084,-198797.7224,-9628.696687
Ixodes pacificus,-122.22808,37.88429,-122.22808+37.88429,-195681.2854,-12383.53115
Ixodes pacificus,-122.2474,37.8934,-122.2474+37.8934,-197353.755,-11331.03627
Ixodes pacificus,-122.25375,37.89896,-122.25375+37.89896,-197896.5823,-10699.88596
Ixodes pacificus,-122.25659,37.90103,-122.25659+37.90103,-198140.4339,-10463.90386
Ixodes pacificus,-122.25659,37.90103,-122.25659+37.90103,-198140.4339,-10463.90386
Ixodes pacificus,-122.26015,37.90338,-122.26015+37.90338,-198446.736,-10195.28991
Ixodes pacificus,-122.22147,37.8802,-122.22147+37.8802,-195111.5172,-12851.70167
Ixodes pacificus,-122.2474,37.8934,-122.2474+37.8934,-197353.755,-11331.03627
Ixodes pacificus,-122.26015,37.90338,-122.26015+37.90338,-198446.736,-10195.28991
Ixodes pacificus,-122.2643,37.9084,-122.2643+37.9084,-198797.7224,-9628.696687
Ixodes pacificus,-122.265,37.9097,-122.265+37.9097,-198855.7164,-9482.752937
Ixodes pacificus,-122.2547,37.9176,-122.2547+37.9176,-197930.71,-8626.337443
Ixodes pacificus,-122.2547,37.9172,-122.2547+37.9172,-197931.7674,-8670.791626
Ixodes pacificus,-123.96333,41.8525,-123.96333+41.8525,-329591.4193,432965.3403
Ixodes pacificus,-123.93861,41.86166,-123.93861+41.86166,-327494.6972,433894.446
Ixodes pacificus,-124.02555,41.85083,-124.02555+41.85083,-334770.4402,432998.3365
Ixodes pacificus,-121.04812,38.77159,-121.04812+38.77159,-90966.8271,84454.10952
Ixodes pacificus,-121.04812,38.77159,-121.04812+38.77159,-90966.8271,84454.10952
Ixodes pacificus,-123.55472,41.35638,-123.55472+41.35638,-297690.7262,376629.647
Ixodes pacificus,-123.52611,41.30305,-123.52611+41.30305,-295515.8923,370627.2063
Ixodes pacificus,-122.81353,39.01781,-122.81353+39.01781,-243346.5971,114929.3618
Ixodes pacificus,-122.99986,39.30372,-122.99986+39.30372,-258452.1866,147182.9952
Ixodes pacificus,-118.3021,34.0473,-118.3021+34.0473,156758.9214,-439517.0226
Ixodes pacificus,-118.5498,34.0569,-118.5498+34.0569,133875.7901,-438831.9122
Ixodes pacificus,-118.5597,34.0477,-118.5597+34.0477,132977.4493,-439866.2708
Ixodes pacificus,-118.3021,34.0473,-118.3021+34.0473,156758.9214,-439517.0226
Ixodes pacificus,-118.5498,34.0569,-118.5498+34.0569,133875.7901,-438831.9122
Ixodes pacificus,-118.5597,34.0477,-118.5597+34.0477,132977.4493,-439866.2708
Ixodes pacificus,-122.497,38.009,-122.497+38.009,-218929.0858,2063.80591
Ixodes pacificus,-122.497,38.009,-122.497+38.009,-218929.0858,2063.80591
Ixodes pacificus,-122.7,37.902476,-122.7+37.902476,-237060.1403,-9285.510897
Ixodes pacificus,-122.69,37.904104,-122.69+37.904104,-236177.2374,-9129.561893
Ixodes pacificus,-122.497,38.009,-122.497+38.009,-218929.0858,2063.80591
Ixodes pacificus,-122.497,38.009,-122.497+38.009,-218929.0858,2063.80591
Ixodes pacificus,-122.79758,38.040571,-122.79758+38.040571,-245172.344,6307.775216
Ixodes pacificus,-122.14875,38.49285,-122.14875+38.49285,-187182.1964,55088.66248
Ixodes pacificus,-122.5235,38.5502,-122.5235+38.5502,-219650.8658,62265.79744
Ixodes pacificus,-122.5235,38.5502,-122.5235+38.5502,-219650.8658,62265.79744
Ixodes pacificus,-122.5235,38.5502,-122.5235+38.5502,-219650.8658,62265.79744
Ixodes pacificus,-122.5235,38.5502,-122.5235+38.5502,-219650.8658,62265.79744
Ixodes pacificus,-121.1957,39.2932,-121.1957+39.2932,-103043.7625,142574.4605
Ixodes pacificus,-121.1957,39.2932,-121.1957+39.2932,-103043.7625,142574.4605
Ixodes pacificus,-121.1957,39.2932,-121.1957+39.2932,-103043.7625,142574.4605
Ixodes pacificus,-121.2077,39.2972,-121.2077+39.2972,-104072.199,143032.0589
Ixodes pacificus,-121.2388,39.2826,-121.2388+39.2826,-106773.2849,141444.2501
Ixodes pacificus,-121.2388,39.2826,-121.2388+39.2826,-106773.2849,141444.2501
Ixodes pacificus,-120.94722,39.10555,-120.94722+39.10555,-81839.02697,121478.7817
Ixodes pacificus,-120.94722,39.10555,-120.94722+39.10555,-81839.02697,121478.7817
Ixodes pacificus,-120.94722,39.10555,-120.94722+39.10555,-81839.02697,121478.7817
Ixodes pacificus,-120.94291,39.11011,-120.94291+39.11011,-81461.61349,121981.845
Ixodes pacificus,-120.952,38.9669,-120.952+38.9669,-82406.74026,106073.6629
Ixodes pacificus,-122.247,37.361,-122.247+37.361,-198721.1977,-70499.74121
Ixodes pacificus,-122.2275,37.408,-122.2275+37.408,-196874.2166,-65317.2265
Ixodes pacificus,-122.2275,37.408,-122.2275+37.408,-196874.2166,-65317.2265
Ixodes pacificus,-122.247,37.361,-122.247+37.361,-198721.1977,-70499.74121
Ixodes pacificus,-122.228,37.224,-122.228+37.224,-197399.0176,-85764.26446
Ixodes pacificus,-119.5914,34.454532,-119.5914+34.454532,37532.11241,-395656.613
Ixodes pacificus,-121.45605,37.1259,-121.45605+37.1259,-129178.74,-97996.49596
Ixodes pacificus,-121.45605,37.1259,-121.45605+37.1259,-129178.74,-97996.49596
Ixodes pacificus,-121.45605,37.1259,-121.45605+37.1259,-129178.74,-97996.49596
Ixodes pacificus,-121.45605,37.1259,-121.45605+37.1259,-129178.74,-97996.49596
Ixodes pacificus,-122.176,37.324,-122.176+37.324,-192537.5436,-74758.12258
Ixodes pacificus,-122.176,37.324,-122.176+37.324,-192537.5436,-74758.12258
Ixodes pacificus,-122.176,37.324,-122.176+37.324,-192537.5436,-74758.12258
Ixodes pacificus,-121.60065,37.166243,-121.60065+37.166243,-141930.6936,-93305.88863
Ixodes pacificus,-121.60065,37.166243,-121.60065+37.166243,-141930.6936,-93305.88863
Ixodes pacificus,-121.60065,37.166243,-121.60065+37.166243,-141930.6936,-93305.88863
Ixodes pacificus,-122.078889,37.0175,-122.078889+37.0175,-184693.2952,-109012.7808
Ixodes pacificus,-122.07889,37.0175,-122.07889+37.0175,-184693.384,-109012.7788
Ixodes pacificus,-122.07889,37.0175,-122.07889+37.0175,-184693.384,-109012.7788
Ixodes pacificus,-122.07889,37.0175,-122.07889+37.0175,-184693.384,-109012.7788
Ixodes pacificus,-122.653,38.448,-122.653+38.448,-231237.8693,51217.39576
Ixodes pacificus,-123.0086,38.5412,-123.0086+38.5412,-261893.9401,62497.73711
Ixodes pacificus,-122.5417,38.343,-122.5417+38.343,-221852.0637,39283.78672
Ixodes pacificus,-122.54166,38.34861,-122.54166+38.34861,-221831.8568,39907.09405
Ixodes pacificus,-122.5339,38.3303,-122.5339+38.3303,-221209.1275,37854.29356
Ixodes pacificus,-122.5447,38.3432,-122.5447+38.3432,-222113.2603,39313.03551
Ixodes pacificus,-122.5447,38.3432,-122.5447+38.3432,-222113.2603,39313.03551
Ixodes pacificus,-122.5447,38.3432,-122.5447+38.3432,-222113.2603,39313.03551
Ixodes pacificus,-122.5447,38.3432,-122.5447+38.3432,-222113.2603,39313.03551
Ixodes pacificus,-122.5447,38.3432,-122.5447+38.3432,-222113.2603,39313.03551
Ixodes pacificus,-122.5477,38.3432,-122.5477+38.3432,-222375.0526,39320.06795
Ixodes pacificus,-123.585,40.91861,-123.585+40.91861,-302061.9187,328178.1873
Ixodes pacificus,-123.585,40.91861,-123.585+40.91861,-302061.9187,328178.1873
Ixodes pacificus,-122.3127,38.908,-122.3127+38.908,-200336.0426,101556.9103
Ixodes pacificus,-122.2428,38.8298,-122.2428+38.8298,-194487.7136,92721.96038
Ixodes pacificus,-122.2428,38.8298,-122.2428+38.8298,-194487.7136,92721.96038
Ixodes pacificus,-121.3408,39.3205,-121.3408+39.3205,-115504.7222,145775.3082
Ixodes pacificus,-121.2648,39.2778,-121.2648+39.2778,-109021.2564,140940.4508
