species,longitude,latitude,combined,Point_X,Point_Y
Ixodes pacificus,-122.2503,37.8943,-122.2503+37.8943,-197605.9955,-11224.97366
Ixodes pacificus,-122.24341,37.8993,-122.24341+37.8993,-196987.9212,-10683.63335
Ixodes pacificus,-122.23028,37.89224,-122.23028+37.89224,-195853.678,-11495.45569
Ixodes pacificus,-122.22147,37.8802,-122.22147+37.8802,-195111.5172,-12851.70167
Ixodes pacificus,-122.22808,37.88429,-122.22808+37.88429,-195681.2854,-12383.53115
Ixodes pacificus,-122.25659,37.90103,-122.25659+37.90103,-198140.4339,-10463.90386
Ixodes pacificus,-122.25659,37.90103,-122.25659+37.90103,-198140.4339,-10463.90386
Ixodes pacificus,-122.25659,37.90103,-122.25659+37.90103,-198140.4339,-10463.90386
Ixodes pacificus,-122.26015,37.90338,-122.26015+37.90338,-198446.736,-10195.28991
Ixodes pacificus,-122.26015,37.90338,-122.26015+37.90338,-198446.736,-10195.28991
Ixodes pacificus,-122.2474,37.8934,-122.2474+37.8934,-197353.755,-11331.03627
Ixodes pacificus,-122.25375,37.89896,-122.25375+37.89896,-197896.5823,-10699.88596
Ixodes pacificus,-121.04812,38.77159,-121.04812+38.77159,-90966.8271,84454.10952
Ixodes pacificus,-122.503905,38.564275,-122.503905+38.564275,-217904.3489,63784.59164
Ixodes pacificus,-118.3021,34.0473,-118.3021+34.0473,156758.9214,-439517.0226
Ixodes pacificus,-122.497,38.0058,-122.497+38.0058,-218938.4538,1708.196087
Ixodes pacificus,-122.497,38.0058,-122.497+38.0058,-218938.4538,1708.196087
Ixodes pacificus,-122.497,38.009,-122.497+38.009,-218929.0858,2063.80591
Ixodes pacificus,-122.497,38.009,-122.497+38.009,-218929.0858,2063.80591
Ixodes pacificus,-122.497,38.009,-122.497+38.009,-218929.0858,2063.80591
Ixodes pacificus,-122.620146,37.962708,-122.620146+37.962708,-229865.7112,-2788.981798
Ixodes pacificus,-122.5235,38.5502,-122.5235+38.5502,-219650.8658,62265.79744
Ixodes pacificus,-122.5235,38.5502,-122.5235+38.5502,-219650.8658,62265.79744
Ixodes pacificus,-122.5235,38.5502,-122.5235+38.5502,-219650.8658,62265.79744
Ixodes pacificus,-120.2038,39.4342,-120.2038+39.4342,-17529.03986,157612.5697
Ixodes pacificus,-122.351,37.159,-122.351+37.159,-208473.7568,-92724.21102
Ixodes pacificus,-122.351,37.159,-122.351+37.159,-208473.7568,-92724.21102
Ixodes pacificus,-122.176,37.324,-122.176+37.324,-192537.5436,-74758.12258
Ixodes pacificus,-121.60065,37.166243,-121.60065+37.166243,-141930.6936,-93305.88863
Ixodes pacificus,-122.5477,38.3432,-122.5477+38.3432,-222375.0526,39320.06795
