species,longitude,latitude,Combined,Point_X,Point_Y
Ixodes pacificus,-120.642289,38.425102,-120.642289+38.425102,-56005.75603,45626.18179
Ixodes pacificus,-120.642289,38.425102,-120.642289+38.425102,-56005.75603,45626.18179
Ixodes pacificus,-121.999,37.756,-121.999+37.756,-175866.0313,-27090.46798
Ixodes pacificus,-122.2476,37.906368,-122.2476+37.906368,-197337.142,-9889.412509
Ixodes pacificus,-121.0164,38.8917,-121.0164+38.8917,-88070.78663,97773.71508
Ixodes pacificus,-121.041,38.911,-121.041+38.911,-90178.75914,99941.88235
Ixodes pacificus,-120.8477,38.6827,-120.8477+38.6827,-73660.92621,74400.0818
Ixodes pacificus,-120.8477,38.6827,-120.8477+38.6827,-73660.92621,74400.0818
Ixodes pacificus,-120.46166,38.78194,-120.46166+38.78194,-40062.1149,85199.24908
Ixodes pacificus,-120.50111,38.78027,-120.50111+38.78027,-43486.56926,85031.00921
Ixodes pacificus,-120.48388,38.77138,-120.48388+38.77138,-41996.35924,84035.10605
Ixodes pacificus,-120.89388,38.80055,-120.89388+38.80055,-77550.18162,87535.84063
Ixodes pacificus,-121.04364,38.77137,-121.04364+38.77137,-90578.2859,84425.36803
Ixodes pacificus,-120.7996,38.74314,-120.7996+38.74314,-69424.65376,81081.7244
Ixodes pacificus,-121.0354,38.7737,-121.0354+38.7737,-89860.32157,84676.49761
Ixodes pacificus,-121.04297,38.77411,-121.04297+38.77411,-90516.78742,84729.26874
Ixodes pacificus,-121.04812,38.77159,-121.04812+38.77159,-90966.8271,84454.10952
Ixodes pacificus,-121.04297,38.77411,-121.04297+38.77411,-90516.78742,84729.26874
Ixodes pacificus,-121.04812,38.77159,-121.04812+38.77159,-90966.8271,84454.10952
Ixodes pacificus,-123.6117,40.1763,-123.6117+40.1763,-307449.7082,245898.1587
Ixodes pacificus,-122.93997,39.44165,-122.93997+39.44165,-252818.7946,162341.8243
Ixodes pacificus,-122.93997,39.44165,-122.93997+39.44165,-252818.7946,162341.8243
Ixodes pacificus,-122.9506,39.2527,-122.9506+39.2527,-254385.9974,141382.5781
Ixodes pacificus,-122.92914,39.43795,-122.92914+39.43795,-251900.4768,161902.0352
Ixodes pacificus,-122.92914,39.43795,-122.92914+39.43795,-251900.4768,161902.0352
Ixodes pacificus,-122.52504,38.82821,-122.52504+38.82821,-218961.9562,93160.69751
Ixodes pacificus,-122.69791,38.83036,-122.69791+38.83036,-233941.9522,93812.48662
Ixodes pacificus,-122.588222,38.923417,-122.588222+38.923417,-224150.6925,103886.7106
Ixodes pacificus,-122.81353,39.01781,-122.81353+39.01781,-243346.5971,114929.3618
Ixodes pacificus,-122.99986,39.30372,-122.99986+39.30372,-258452.1866,147182.9952
Ixodes pacificus,-122.741,38.9612,-122.741+38.9612,-237256.9862,108456.2905
Ixodes pacificus,-117.79166,34.20833,-117.79166+34.20833,203461.4311,-420686.7365
Ixodes pacificus,-117.79166,34.20833,-117.79166+34.20833,203461.4311,-420686.7365
Ixodes pacificus,-117.79166,34.20833,-117.79166+34.20833,203461.4311,-420686.7365
Ixodes pacificus,-117.79166,34.20833,-117.79166+34.20833,203461.4311,-420686.7365
Ixodes pacificus,-117.775,34.225,-117.775+34.225,204952.6797,-418801.8496
Ixodes pacificus,-117.775,34.225,-117.775+34.225,204952.6797,-418801.8496
Ixodes pacificus,-117.775,34.225,-117.775+34.225,204952.6797,-418801.8496
