species,longitude,latitude,Combined,Point_X,Point_Y
Ixodes pacificus,-122.24551,37.86935,-122.24551+37.86935,-197251.1327,-14007.78345
Ixodes pacificus,-121.7784,37.6414,-121.7784+37.6414,-156699.5505,-40214.52231
Ixodes pacificus,-121.7730089,37.637987,-121.7730089+37.637987,-156231.6733,-40602.76237
Ixodes pacificus,-120.6829,38.4017,-120.6829+38.4017,-59565.66791,43049.58671
Ixodes pacificus,-121.34611,39.69055,-121.34611+39.69055,-115378.3235,186897.6263
Ixodes pacificus,-120.89722,38.21666,-120.89722+38.21666,-78454.16031,22636.57304
Ixodes pacificus,-120.89722,38.21666,-120.89722+38.21666,-78454.16031,22636.57304
Ixodes pacificus,-120.27744,38.2612,-120.27744+38.2612,-24244.79816,27252.0908
Ixodes pacificus,-120.722896,38.2013,-120.722896+38.2013,-63224.15924,20798.88709
Ixodes pacificus,-120.4746,38.053,-120.4746+38.053,-41590.66961,4176.060703
Ixodes pacificus,-120.277443,38.261202,-120.277443+38.261202,-24245.05969,27252.3139
Ixodes pacificus,-122.3436,38.958,-122.3436+38.958,-202874.8471,107178.3147
Ixodes pacificus,-122.5806,39.2866,-122.5806+39.2866,-222392.215,144218.0461
Ixodes pacificus,-122.5806,39.2866,-122.5806+39.2866,-222392.215,144218.0461
Ixodes pacificus,-121.4855,39.3134,-121.4855+39.3134,-127981.5792,145172.1785
Ixodes pacificus,-122.24635,37.90053,-122.24635+37.90053,-197242.7886,-10540.82383
Ixodes pacificus,-122.24635,37.90053,-122.24635+37.90053,-197242.7886,-10540.82383
Ixodes pacificus,-122.24635,37.90053,-122.24635+37.90053,-197242.7886,-10540.82383
Ixodes pacificus,-122.26071,37.90596,-122.26071+37.90596,-198489.058,-9907.388519
Ixodes pacificus,-122.26879,37.9127,-122.26879+37.9127,-199180.418,-9141.391726
Ixodes pacificus,-122.26879,37.9127,-122.26879+37.9127,-199180.418,-9141.391726
Ixodes pacificus,-122.25638,37.901,-122.25638+37.901,-198122.0776,-10467.67678
Ixodes pacificus,-122.2643,37.9084,-122.2643+37.9084,-198797.7224,-9628.696687
Ixodes pacificus,-122.25035,37.89632,-122.25035+37.89632,-197605.0559,-11000.37553
Ixodes pacificus,-122.26879,37.9127,-122.26879+37.9127,-199180.418,-9141.391726
Ixodes pacificus,-122.26879,37.9127,-122.26879+37.9127,-199180.418,-9141.391726
