"species","longitude","latitude"
"Ixodes pacificus",-121.39258,37.773
"Ixodes pacificus",-122.112,37.765
"Ixodes pacificus",-121.689,37.584
"Ixodes pacificus",-121.689,37.584
"Ixodes pacificus",-121.689,37.583
"Ixodes pacificus",-122.1023,37.7194
"Ixodes pacificus",-122.1023,37.7194
"Ixodes pacificus",-122.1023,37.7194
"Ixodes pacificus",-122.1023,37.7194
"Ixodes pacificus",-122.102,37.719
"Ixodes pacificus",-122.1662,37.8141
"Ixodes pacificus",-122.1727,37.8152
"Ixodes pacificus",-122.1727,37.8152
"Ixodes pacificus",-122.1757,37.813
"Ixodes pacificus",-121.8384,37.5353
"Ixodes pacificus",-121.8384,37.5353
"Ixodes pacificus",-121.8344,37.5157
"Ixodes pacificus",-122.1727,37.8152
"Ixodes pacificus",-122.103,37.717
"Ixodes pacificus",-122.1411,37.7578
"Ixodes pacificus",-122.2449,37.8324
"Ixodes pacificus",-121.7784,37.6414
"Ixodes pacificus",-122.2449,37.8324
"Ixodes pacificus",-122.049,37.6266
"Ixodes pacificus",-121.8344,37.5157
"Ixodes pacificus",-122.2449,37.8324
"Ixodes pacificus",-122.2449,37.8324
"Ixodes pacificus",-122.1871,37.8288
"Ixodes pacificus",-122.1662,37.8141
"Ixodes pacificus",-122.2449,37.8324
"Ixodes pacificus",-122.2449,37.8324
"Ixodes pacificus",-122.2449,37.8324
"Ixodes pacificus",-122.049,37.6266
"Ixodes pacificus",-121.887,37.619
"Ixodes pacificus",-122.20991,37.85227
"Ixodes pacificus",-122.20991,37.85227
"Ixodes pacificus",-122.19632,37.84334
"Ixodes pacificus",-122.19632,37.84334
"Ixodes pacificus",-121.909,37.62432
"Ixodes pacificus",-122.24551,37.86935
"Ixodes pacificus",-121.82857,37.51488
"Ixodes pacificus",-121.82318,37.50366
"Ixodes pacificus",-122.0241,37.621997
"Ixodes pacificus",-122.0239,37.6327
"Ixodes pacificus",-121.7784,37.6414
"Ixodes pacificus",-121.7730089,37.637987
"Ixodes pacificus",-122.0899,37.5495
"Ixodes pacificus",-122.0906,37.5531
"Ixodes pacificus",-122.1478,37.8065
"Ixodes pacificus",-122.1884,37.8199
"Ixodes pacificus",-122.1852,38.8315
"Ixodes pacificus",-120.642,38.425
"Ixodes pacificus",-120.6829,38.4017
"Ixodes pacificus",-120.64135,38.42499
"Ixodes pacificus",-120.64135,38.42499
"Ixodes pacificus",-120.500466,38.446001
"Ixodes pacificus",-120.64135,38.425
"Ixodes pacificus",-120.64135,38.425
"Ixodes pacificus",-120.500466,38.446001
"Ixodes pacificus",-120.64135,38.425
"Ixodes pacificus",-120.5619,38.2702
"Ixodes pacificus",-120.86564,38.2843
"Ixodes pacificus",-120.500466,38.446001
"Ixodes pacificus",-120.65343,38.3939
"Ixodes pacificus",-120.64135,38.425
"Ixodes pacificus",-120.6414,38.425
"Ixodes pacificus",-120.6414,38.425
"Ixodes pacificus",-120.6414,38.425
"Ixodes pacificus",-120.5001,38.4458
"Ixodes pacificus",-120.2163,38.5002
"Ixodes pacificus",-120.8633,38.2762
"Ixodes pacificus",-120.8633,38.2762
"Ixodes pacificus",-120.6422,38.425102
"Ixodes pacificus",-120.6422,38.425102
"Ixodes pacificus",-120.65343,38.3939
"Ixodes pacificus",-120.500466,38.446001
"Ixodes pacificus",-120.64135,38.425
"Ixodes pacificus",-120.642289,38.425102
"Ixodes pacificus",-120.642289,38.425102
"Ixodes pacificus",-120.642289,38.425102
"Ixodes pacificus",-120.500728,38.445769
"Ixodes pacificus",-120.642289,38.425102
"Ixodes pacificus",-120.642289,38.425102
"Ixodes pacificus",-120.642289,38.425102
"Ixodes pacificus",-120.642289,38.425102
"Ixodes pacificus",-120.500728,38.445769
