"species","longitude","latitude"
"Ixodes pacificus",-122.24551,37.86935
"Ixodes pacificus",-121.7784,37.6414
"Ixodes pacificus",-121.7730089,37.637987
"Ixodes pacificus",-120.6829,38.4017
"Ixodes pacificus",-121.34611,39.69055
"Ixodes pacificus",-120.89722,38.21666
"Ixodes pacificus",-120.89722,38.21666
"Ixodes pacificus",-120.27744,38.2612
"Ixodes pacificus",-120.722896,38.2013
"Ixodes pacificus",-120.4746,38.053
"Ixodes pacificus",-120.277443,38.261202
"Ixodes pacificus",-122.3436,38.958
"Ixodes pacificus",-122.5806,39.2866
"Ixodes pacificus",-122.5806,39.2866
"Ixodes pacificus",-121.4855,39.3134
"Ixodes pacificus",-122.24635,37.90053
"Ixodes pacificus",-122.24635,37.90053
"Ixodes pacificus",-122.24635,37.90053
"Ixodes pacificus",-122.26071,37.90596
"Ixodes pacificus",-122.26879,37.9127
"Ixodes pacificus",-122.26879,37.9127
"Ixodes pacificus",-122.25638,37.901
"Ixodes pacificus",-122.2643,37.9084
"Ixodes pacificus",-122.25035,37.89632
"Ixodes pacificus",-122.26879,37.9127
"Ixodes pacificus",-122.26879,37.9127
"Ixodes pacificus",-122.26879,37.9127
"Ixodes pacificus",-122.26879,37.9127
"Ixodes pacificus",-120.839,38.907
"Ixodes pacificus",-120.5532,38.7019
"Ixodes pacificus",-120.4668,38.779
"Ixodes pacificus",-120.4217,38.7877
"Ixodes pacificus",-121.0354,38.7737
"Ixodes pacificus",-121.0433,38.7712
"Ixodes pacificus",-121.04297,38.77411
"Ixodes pacificus",-121.4812,38.77159
"Ixodes pacificus",-121.04297,38.77411
"Ixodes pacificus",-121.04812,38.77159
"Ixodes pacificus",-123.6117,40.1763
"Ixodes pacificus",-123.766,40.113
"Ixodes pacificus",-122.588222,38.923417
"Ixodes pacificus",-122.81353,39.01781
"Ixodes pacificus",-122.99986,39.30372
"Ixodes pacificus",-122.741,38.9612
"Ixodes pacificus",-117.794603,34.130632
"Ixodes pacificus",-118.369781,33.759018
"Ixodes pacificus",-122.4783,37.8355
"Ixodes pacificus",-122.48,38.001
"Ixodes pacificus",-122.497,38.009
"Ixodes pacificus",-122.497,38.009
"Ixodes pacificus",-120.1194,37.5688
"Ixodes pacificus",-123.474,39.078
"Ixodes pacificus",-121.4854,36.236
"Ixodes pacificus",-121.3971,36.004
"Ixodes pacificus",-121.4652,36.119
"Ixodes pacificus",-122.5236,38.5203
"Ixodes pacificus",-122.97444,38.90444
"Ixodes pacificus",-122.5081,38.53918
"Ixodes pacificus",-122.25296,38.27978
"Ixodes pacificus",-122.5085,38.5433
"Ixodes pacificus",-122.521,38.553
"Ixodes pacificus",-122.521,38.553
"Ixodes pacificus",-122.521,38.553
"Ixodes pacificus",-120.84194,39.35777
"Ixodes pacificus",-121.04484,39.32686
"Ixodes pacificus",-121.04464,39.32798
"Ixodes pacificus",-120.811,39.3571
"Ixodes pacificus",-121.0893,39.2982
"Ixodes pacificus",-121.052281,39.20556
"Ixodes pacificus",-121.24247,39.283427
"Ixodes pacificus",-121.24247,39.283427
"Ixodes pacificus",-117.817174,33.562948
"Ixodes pacificus",-117.817174,33.562948
"Ixodes pacificus",-117.817174,33.562948
"Ixodes pacificus",-117.817174,33.562948
"Ixodes pacificus",-117.817174,33.562948
"Ixodes pacificus",-117.817174,33.562948
"Ixodes pacificus",-121.06,38.915
"Ixodes pacificus",-121.0831,39.0421
"Ixodes pacificus",-121.164,38.849
"Ixodes pacificus",-120.94722,39.10555
"Ixodes pacificus",-121.111,38.792
"Ixodes pacificus",-120.95694,38.97861
