"species","longitude","latitude"
"Ixodes pacificus",-121.689,37.583
"Ixodes pacificus",-122.1023,37.7194
"Ixodes pacificus",-122.1023,37.7194
"Ixodes pacificus",-122.049,37.6266
"Ixodes pacificus",-121.8344,37.5157
"Ixodes pacificus",-122.2449,37.8324
"Ixodes pacificus",-121.82857,37.51488
"Ixodes pacificus",-121.82318,37.50366
"Ixodes pacificus",-120.64135,38.42499
"Ixodes pacificus",-120.64135,38.42499
"Ixodes pacificus",-120.500466,38.446001
"Ixodes pacificus",-120.64135,38.425
"Ixodes pacificus",-120.64135,38.425
"Ixodes pacificus",-121.9111,41.0208
"Ixodes pacificus",-121.5625,40.51833
"Ixodes pacificus",-121.34611,39.69055
"Ixodes pacificus",-121.49899,39.52091
"Ixodes pacificus",-121.45,39.5223
"Ixodes pacificus",-121.44802,39.53345
"Ixodes pacificus",-121.3727,39.2751
"Ixodes pacificus",-121.4462,39.532686
"Ixodes pacificus",-121.453119,39.523286
"Ixodes pacificus",-120.4746,38.053
"Ixodes pacificus",-120.4746,38.053
"Ixodes pacificus",-120.4746,38.053
"Ixodes pacificus",-120.52197,38.36904
"Ixodes pacificus",-120.471385,38.051254
"Ixodes pacificus",-120.471385,38.051254
"Ixodes pacificus",-122.24581,37.90472
"Ixodes pacificus",-122.24581,37.90472
"Ixodes pacificus",-122.265,37.90277
"Ixodes pacificus",-122.2504,37.9059
"Ixodes pacificus",-122.2586,37.901
"Ixodes pacificus",-122.2501,37.902
"Ixodes pacificus",-122.25623,37.91762
"Ixodes pacificus",-122.24635,37.90053
"Ixodes pacificus",-122.24635,37.90053
"Ixodes pacificus",-122.24581,37.90472
"Ixodes pacificus",-122.2547,37.91722
"Ixodes pacificus",-122.26879,37.9127
"Ixodes pacificus",-122.26879,37.9127
"Ixodes pacificus",-122.24581,37.90472
"Ixodes pacificus",-122.24581,37.90472
"Ixodes pacificus",-122.25456,37.9457
"Ixodes pacificus",-122.270601,37.975175
"Ixodes pacificus",-122.124217,37.9556981
"Ixodes pacificus",-122.223461,37.882603
"Ixodes pacificus",-120.8477,38.6827
"Ixodes pacificus",-120.839,38.907
"Ixodes pacificus",-120.839,38.907
"Ixodes pacificus",-120.839,38.907
"Ixodes pacificus",-120.839,38.907
"Ixodes pacificus",-120.94631,38.82447
"Ixodes pacificus",-120.94631,38.82447
"Ixodes pacificus",-120.92211,38.8146
"Ixodes pacificus",-120.94631,38.82447
"Ixodes pacificus",-121.04297,38.77411
"Ixodes pacificus",-121.04812,38.77159
"Ixodes pacificus",-121.0442,38.7706
"Ixodes pacificus",-121.0442,38.7706
"Ixodes pacificus",-121.0442,38.7706
"Ixodes pacificus",-121.0442,38.7706
"Ixodes pacificus",-121.046907,38.774729
"Ixodes pacificus",-121.04297,38.77411
"Ixodes pacificus",-121.04297,38.77411
"Ixodes pacificus",-121.04812,38.77159
"Ixodes pacificus",-121.04812,38.77159
"Ixodes pacificus",-122.7238,39.6475
"Ixodes pacificus",-123.636,40.276
"Ixodes pacificus",-123.636,40.276
"Ixodes pacificus",-118.896422,34.871104
"Ixodes pacificus",-122.99986,39.13605
"Ixodes pacificus",-122.81352,39.0178
"Ixodes pacificus",-122.77467,39.04323
"Ixodes pacificus",-118.21479,33.9341
