"species","longitude","latitude"
"Ixodes pacificus",-122.112,37.765
"Ixodes pacificus",-122.1411,37.7578
"Ixodes pacificus",-122.2449,37.8324
"Ixodes pacificus",-121.7784,37.6414
"Ixodes pacificus",-122.2449,37.8324
"Ixodes pacificus",-120.5001,38.4458
"Ixodes pacificus",-120.2163,38.5002
"Ixodes pacificus",-120.6422,38.425102
"Ixodes pacificus",-120.6422,38.425102
"Ixodes pacificus",-120.642289,38.425102
"Ixodes pacificus",-121.7556,39.87001
"Ixodes pacificus",-121.7556,39.87001
"Ixodes pacificus",-120.4746,38.053
"Ixodes pacificus",-120.5515,38.0326
"Ixodes pacificus",-120.471385,38.0512
"Ixodes pacificus",-120.471385,38.0512
"Ixodes pacificus",-120.471385,38.0512
"Ixodes pacificus",-122.0303,37.7921
"Ixodes pacificus",-122.1628,37.9244
"Ixodes pacificus",-122.1628,37.9244
"Ixodes pacificus",-121.958,37.835
"Ixodes pacificus",-122.2586,37.901
"Ixodes pacificus",-122.2545,37.9059
"Ixodes pacificus",-122.2545,37.9059
"Ixodes pacificus",-122.2545,37.9059
"Ixodes pacificus",-122.2545,37.9059
"Ixodes pacificus",-122.2545,37.9059
"Ixodes pacificus",-122.2545,37.9059
"Ixodes pacificus",-122.2586,37.901
"Ixodes pacificus",-122.2501,37.902
"Ixodes pacificus",-122.24581,37.90472
"Ixodes pacificus",-122.265,37.90972
"Ixodes pacificus",-122.26879,37.9127
"Ixodes pacificus",-122.26879,37.9127
"Ixodes pacificus",-122.2474,37.8934
"Ixodes pacificus",-122.25375,37.89896
"Ixodes pacificus",-122.25659,37.90103
"Ixodes pacificus",-122.26015,37.90338
"Ixodes pacificus",-122.2643,37.9084
"Ixodes pacificus",-122.248714,37.898611
"Ixodes pacificus",-122.2476,37.906368
"Ixodes pacificus",-120.49527,38.77166
"Ixodes pacificus",-120.76277,38.94305
"Ixodes pacificus",-120.7903,38.9242
"Ixodes pacificus",-121.032,38.775
"Ixodes pacificus",-121.034,38.774
"Ixodes pacificus",-121.025,38.779
"Ixodes pacificus",-121.0436,38.7714
"Ixodes pacificus",-121.0436,38.7714
"Ixodes pacificus",-121.0436,38.7714
"Ixodes pacificus",-121.0436,38.7714
"Ixodes pacificus",-121.0463,38.7734
"Ixodes pacificus",-121.0282,38.8811
"Ixodes pacificus",-121.0386,38.7745
"Ixodes pacificus",-121.0467,38.7761
"Ixodes pacificus",-120.8936,38.8017
"Ixodes pacificus",-120.8936,38.8017
"Ixodes pacificus",-121.0363,38.7739
"Ixodes pacificus",-121.0535,38.7591
"Ixodes pacificus",-121.04297,38.77411
"Ixodes pacificus",-121.04812,38.77159
"Ixodes pacificus",-121.04297,38.77411
"Ixodes pacificus",-121.04812,38.77159
"Ixodes pacificus",-124.0092,40.3528
"Ixodes pacificus",-118.908,34.871
"Ixodes pacificus",-118.61555,35.54805
"Ixodes pacificus",-118.61555,35.54805
"Ixodes pacificus",-122.81353,39.01781
"Ixodes pacificus",-122.99986,39.30372
"Ixodes pacificus",-122.99986,39.30372
"Ixodes pacificus",-122.9506,39.2527
"Ixodes pacificus",-122.52255,38.98071
"Ixodes pacificus",-122.52255,38.98071
"Ixodes pacificus",-122.41435,39.00819
"Ixodes pacificus",-122.41435,39.00819
"Ixodes pacificus",-122.41435,39.00819
"Ixodes pacificus",-122.71688,38.84777
"Ixodes pacificus",-122.71688,38.84777
"Ixodes pacificus",-122.71688,38.84777
"Ixodes pacificus",-122.90761,38.93461
"Ixodes pacificus",-122.77467,39.04323
"Ixodes pacificus",-122.41664,39.0085
"Ixodes pacificus",-118.6651,34.1965
"Ixodes pacificus",-118.6651,34.1965
"Ixodes pacificus",-118.33333,33.31666
"Ixodes pacificus",-118.88611,34.34972
"Ixodes pacificus",-118.88611,34.34972
"Ixodes pacificus",-118.7987,34.13611
