"species","longitude","latitude"
"Ixodes pacificus",-122.2503,37.8943
"Ixodes pacificus",-122.24341,37.8993
"Ixodes pacificus",-122.23028,37.89224
"Ixodes pacificus",-122.22147,37.8802
"Ixodes pacificus",-122.22808,37.88429
"Ixodes pacificus",-122.25659,37.90103
"Ixodes pacificus",-122.25659,37.90103
"Ixodes pacificus",-122.25659,37.90103
"Ixodes pacificus",-122.26015,37.90338
"Ixodes pacificus",-122.26015,37.90338
"Ixodes pacificus",-122.2474,37.8934
"Ixodes pacificus",-122.25375,37.89896
"Ixodes pacificus",-121.04812,38.77159
"Ixodes pacificus",-122.503905,38.564275
"Ixodes pacificus",-118.3021,34.0473
"Ixodes pacificus",-122.497,38.0058
"Ixodes pacificus",-122.497,38.0058
"Ixodes pacificus",-122.497,38.009
"Ixodes pacificus",-122.497,38.009
"Ixodes pacificus",-122.497,38.009
"Ixodes pacificus",-122.620146,37.962708
"Ixodes pacificus",-122.5235,38.5502
"Ixodes pacificus",-122.5235,38.5502
"Ixodes pacificus",-122.5235,38.5502
"Ixodes pacificus",-120.2038,39.4342
"Ixodes pacificus",-122.351,37.159
"Ixodes pacificus",-122.351,37.159
"Ixodes pacificus",-122.176,37.324
"Ixodes pacificus",-121.60065,37.166243
"Ixodes pacificus",-122.5477,38.3432
