"species","longitude","latitude"
"Ixodes pacificus",-122.1023,37.7194
"Ixodes pacificus",-122.1023,37.7194
"Ixodes pacificus",-122.102,37.719
"Ixodes pacificus",-122.1662,37.8141
"Ixodes pacificus",-122.1727,37.8152
"Ixodes pacificus",-122.1727,37.8152
"Ixodes pacificus",-122.1757,37.813
"Ixodes pacificus",-122.103,37.717
"Ixodes pacificus",-122.2449,37.8324
"Ixodes pacificus",-122.1871,37.8288
"Ixodes pacificus",-122.1662,37.8141
"Ixodes pacificus",-121.887,37.619
"Ixodes pacificus",-122.0241,37.621997
"Ixodes pacificus",-122.0239,37.6327
"Ixodes pacificus",-120.5619,38.2702
"Ixodes pacificus",-120.86564,38.2843
"Ixodes pacificus",-120.500466,38.446001
"Ixodes pacificus",-120.65343,38.3939
"Ixodes pacificus",-120.64135,38.425
"Ixodes pacificus",-120.8633,38.2762
"Ixodes pacificus",-120.8633,38.2762
"Ixodes pacificus",-120.65343,38.3939
"Ixodes pacificus",-120.500466,38.446001
"Ixodes pacificus",-120.64135,38.425
"Ixodes pacificus",-121.615,39.71566
"Ixodes pacificus",-121.7556,39.87001
"Ixodes pacificus",-121.7556,39.87001
"Ixodes pacificus",-121.7556,39.87001
"Ixodes pacificus",-121.44997,39.52121
"Ixodes pacificus",-120.5572,38.356
"Ixodes pacificus",-120.53017,38.38017
"Ixodes pacificus",-120.8715,38.242
"Ixodes pacificus",-120.8715,38.242
"Ixodes pacificus",-120.7295,38.3066
"Ixodes pacificus",-120.8715,38.242
"Ixodes pacificus",-120.8715,38.242
"Ixodes pacificus",-122.711546,39.333426
"Ixodes pacificus",-122.163,37.924
"Ixodes pacificus",-122.24581,37.90472
"Ixodes pacificus",-122.2586,37.9059
"Ixodes pacificus",-122.22147,37.8802
"Ixodes pacificus",-122.25001,37.8949
"Ixodes pacificus",-122.2467,37.89244
"Ixodes pacificus",-122.2467,37.89244
"Ixodes pacificus",-122.26015,37.90338
"Ixodes pacificus",-122.26015,37.90338
"Ixodes pacificus",-122.2603,37.9039
"Ixodes pacificus",-122.26879,37.9127
"Ixodes pacificus",-122.24581,37.90472
"Ixodes pacificus",-122.26879,37.9127
"Ixodes pacificus",-122.310319,37.950137
"Ixodes pacificus",-122.221106,38.047025
"Ixodes pacificus",-122.124217,37.956981
"Ixodes pacificus",-122.124217,37.956981
"Ixodes pacificus",-122.124217,37.956981
"Ixodes pacificus",-122.223461,37.882603
"Ixodes pacificus",-120.7095,38.7052
"Ixodes pacificus",-120.4366,38.7765
"Ixodes pacificus",-120.48111,38.765
"Ixodes pacificus",-121.04359,38.77139
"Ixodes pacificus",-121.04381,38.77111
"Ixodes pacificus",-120.95967,38.82208
"Ixodes pacificus",-120.95967,38.82208
"Ixodes pacificus",-120.94631,38.82447
"Ixodes pacificus",-120.92182,38.81427
"Ixodes pacificus",-120.89362,38.80169
"Ixodes pacificus",-120.89362,38.80169
"Ixodes pacificus",-120.76759,38.89705
"Ixodes pacificus",-120.81817,38.87264
"Ixodes pacificus",-121.11098,38.75846
"Ixodes pacificus",-120.89362,38.80169
"Ixodes pacificus",-120.89362,38.80169
"Ixodes pacificus",-121.04364,38.77137
"Ixodes pacificus",-121.0481,38.77159
"Ixodes pacificus",-121.0481,38.77159
"Ixodes pacificus",-121.04297,38.77411
"Ixodes pacificus",-121.04812,38.77159
"Ixodes pacificus",-121.04182,38.77159
"Ixodes pacificus",-121.04182,38.77159
"Ixodes pacificus",-121.0442,38.7706
"Ixodes pacificus",-121.04297,38.77411
"Ixodes pacificus",-121.04812,38.77159
"Ixodes pacificus",-121.04812,38.77159
"Ixodes pacificus",-123.6117,40.1763
"Ixodes pacificus",-124.0359,40.3358
"Ixodes pacificus",-123.9973,40.1385
"Ixodes pacificus",-123.661,40.085
"Ixodes pacificus",-118.28942,36.781864
"Ixodes pacificus",-118.908,34.871
"Ixodes pacificus",-118.908,34.871
"Ixodes pacificus",-122.81353,39.01781
"Ixodes pacificus",-122.81353,39.01781
"Ixodes pacificus",-122.93722,39.44361
"Ixodes pacificus",-122.81352,39.0178
"Ixodes pacificus",-122.90622,38.93461
"Ixodes pacificus",-122.71688,38.83477
"Ixodes pacificus",-122.6369,38.91876
"Ixodes pacificus",-122.88555,39.0425
"Ixodes pacificus",-122.52255,38.98071
"Ixodes pacificus",-122.41435,39.00819
"Ixodes pacificus",-122.9433,39.4473
"Ixodes pacificus",-122.9391,39.4413
"Ixodes pacificus",-122.7708,38.9611
"Ixodes pacificus",-122.7708,38.9611
"Ixodes pacificus",-122.7708,38.9611
"Ixodes pacificus",-122.7708,38.9611
"Ixodes pacificus",-122.588056,38.9233
"Ixodes pacificus",-121.27781,41.02158
"Ixodes pacificus",-118.024,34.178
"Ixodes pacificus",-118.0241,34.1775
"Ixodes pacificus",-118.14444,34.26583
"Ixodes pacificus",-118.14444,34.26583
"Ixodes pacificus",-118.14444,34.26583
"Ixodes pacificus",-118.14444,34.26583
"Ixodes pacificus",-118.87888,34.05555
"Ixodes pacificus",-118.52722,34.15361
"Ixodes pacificus",-117.9973,34.17708
"Ixodes pacificus",-118.3347,33.355
"Ixodes pacificus",-118.33908,33.33894
"Ixodes pacificus",-118.34166,33.337
"Ixodes pacificus",-118.18056,34.43944
"Ixodes pacificus",-118.13035,34.47396
"Ixodes pacificus",-118.9,34.14608
"Ixodes pacificus",-117.795419,34.129236
"Ixodes pacificus",-117.795419,34.129236
"Ixodes pacificus",-117.474,34.0751
"Ixodes pacificus",-117.474,34.0751
"Ixodes pacificus",-118.283139,34.130914
"Ixodes pacificus",-118.283139,34.130914
"Ixodes pacificus",-118.283139,34.130914
"Ixodes pacificus",-118.916932,34.480457
"Ixodes pacificus",-122.5302,37.8426
"Ixodes pacificus",-122.71305,37.94916
"Ixodes pacificus",-122.619906,37.962666
"Ixodes pacificus",-122.619906,37.962666
"Ixodes pacificus",-122.619906,37.962666
"Ixodes pacificus",-122.619906,37.962666
"Ixodes pacificus",-122.619906,37.962666
"Ixodes pacificus",-120.0033,37.4333
"Ixodes pacificus",-119.778,37.677
"Ixodes pacificus",-119.6777,37.5472
"Ixodes pacificus",-121.4854,36.236
"Ixodes pacificus",-121.4854,36.236
"Ixodes pacificus",-121.4854,36.236
"Ixodes pacificus",-121.4854,36.236
"Ixodes pacificus",-121.4854,36.236
"Ixodes pacificus",-121.4854,36.236
"Ixodes pacificus",-121.4854,36.236
"Ixodes pacificus",-121.4854,36.236
"Ixodes pacificus",-121.504564,36.757136
"Ixodes pacificus",-122.9744,38.9044
"Ixodes pacificus",-122.9744,38.9044
"Ixodes pacificus",-122.52944,38.54861
"Ixodes pacificus",-122.52944,38.54861
"Ixodes pacificus",-122.97444,38.90444
"Ixodes pacificus",-122.97444,38.90444
"Ixodes pacificus",-122.5081,38.53918
"Ixodes pacificus",-122.5081,38.53918
"Ixodes pacificus",-122.5085,38.5433
"Ixodes pacificus",-122.5085,38.5433
"Ixodes pacificus",-122.146,38.4934
"Ixodes pacificus",-122.2868,38.2975
"Ixodes pacificus",-122.5268,38.5488
"Ixodes pacificus",-122.5268,38.5488
"Ixodes pacificus",-122.5268,38.5488
"Ixodes pacificus",-122.522,38.5518
"Ixodes pacificus",-122.5997,38.6527
"Ixodes pacificus",-122.4426,38.5618
"Ixodes pacificus",-121.1947,39.2916
"Ixodes pacificus",-121.09514,39.2923
"Ixodes pacificus",-120.9869,39.3301
"Ixodes pacificus",-120.9869,39.3301
"Ixodes pacificus",-121.19222,39.293226
"Ixodes pacificus",-120.91861,39.3669
"Ixodes pacificus",-121.04624,39.20319
"Ixodes pacificus",-121.19222,39.29326
"Ixodes pacificus",-122.105779,39.208746
"Ixodes pacificus",-122.105779,39.208746
"Ixodes pacificus",-117.8196,33.5645
"Ixodes pacificus",-117.8196,33.5645
"Ixodes pacificus",-117.4858,33.3349
"Ixodes pacificus",-117.817174,33.562948
"Ixodes pacificus",-117.817174,33.562948
"Ixodes pacificus",-120.95694,38.97861
"Ixodes pacificus",-120.95694,38.97861
"Ixodes pacificus",-120.95694,38.97861
"Ixodes pacificus",-120.95694,38.97861
"Ixodes pacificus",-121.03611,38.91722
"Ixodes pacificus",-121.03611,38.91722
"Ixodes pacificus",-120.95694,38.97861
"Ixodes pacificus",-120.95694,38.97861
"Ixodes pacificus",-121.03856,38.9195
"Ixodes pacificus",-120.9943,38.9413
"Ixodes pacificus",-120.9943,38.9413
"Ixodes pacificus",-120.9943,38.9413
"Ixodes pacificus",-116.876,33.925
"Ixodes pacificus",-116.851,33.848
"Ixodes pacificus",-117.27688,33.53405
"Ixodes pacificus",-117.27688,33.53405
"Ixodes pacificus",-117.27688,33.53405
"Ixodes pacificus",-117.27688,33.53405
"Ixodes pacificus",-117.39805,33.67111
"Ixodes pacificus",-117.5,33.8364
"Ixodes pacificus",-117.27688,33.53405
"Ixodes pacificus",-117.27688,33.53405
"Ixodes pacificus",-117.2744,33.5305
"Ixodes pacificus",-117.2723,33.5498
"Ixodes pacificus",-116.6246,33.6265
"Ixodes pacificus",-116.621119,33.615881
"Ixodes pacificus",-117.2744,33.5305
"Ixodes pacificus",-117.2744,33.5305
"Ixodes pacificus",-117.2744,33.5305
"Ixodes pacificus",-117.2744,33.5305
"Ixodes pacificus",-117.27688,33.53405
"Ixodes pacificus",-121.1871,38.6493
"Ixodes pacificus",-121.1871,38.6493
"Ixodes pacificus",-121.1871,38.6493
"Ixodes pacificus",-121.1871,38.6493
"Ixodes pacificus",-121.1871,38.6493
"Ixodes pacificus",-121.211395,38.648568
"Ixodes pacificus",-121.211395,38.648568
"Ixodes pacificus",-121.211395,38.648568
"Ixodes pacificus",-121.503783,36.759939
"Ixodes pacificus",-121.502,36.761
"Ixodes pacificus",-121.502,36.761
"Ixodes pacificus",-117.638,34.161
"Ixodes pacificus",-117.416,34.237
"Ixodes pacificus",-117.70275,33.955
"Ixodes pacificus",-116.912422,34.087461
"Ixodes pacificus",-117.46826,34.22377
"Ixodes pacificus",-117.540399,34.253801
"Ixodes pacificus",-116.525,32.976
"Ixodes pacificus",-116.525,32.976
"Ixodes pacificus",-116.567,32.941
"Ixodes pacificus",-117.3245,33.437
"Ixodes pacificus",-117.3245,33.437
"Ixodes pacificus",-117.332,33.299
"Ixodes pacificus",-116.54305,32.83555
"Ixodes pacificus",-116.54305,32.83555
"Ixodes pacificus",-121.5884,37.6267
"Ixodes pacificus",-121.5884,37.6267
"Ixodes pacificus",-121.5884,37.6267
"Ixodes pacificus",-121.5884,37.6267
"Ixodes pacificus",-120.925,38.218
"Ixodes pacificus",-120.925,38.218
"Ixodes pacificus",-121.4915,37.6236
"Ixodes pacificus",-121.552987,37.627252
"Ixodes pacificus",-121.081,35.564
"Ixodes pacificus",-121.081,35.564
"Ixodes pacificus",-122.291,37.439
"Ixodes pacificus",-122.291,37.439
"Ixodes pacificus",-122.291,37.439
"Ixodes pacificus",-122.291,37.439
"Ixodes pacificus",-122.280139,37.472925
"Ixodes pacificus",-122.280139,37.472925
"Ixodes pacificus",-122.280139,37.472925
"Ixodes pacificus",-122.280139,37.472925
"Ixodes pacificus",-122.281319,37.469877
"Ixodes pacificus",-122.281319,37.469877
"Ixodes pacificus",-122.281319,37.469877
"Ixodes pacificus",-122.284291,37.467612
"Ixodes pacificus",-122.284291,37.467612
