"species","longitude","latitude"
"Ixodes pacificus",-121.39258,37.773
"Ixodes pacificus",-122.20991,37.85227
"Ixodes pacificus",-122.20991,37.85227
"Ixodes pacificus",-122.19632,37.84334
"Ixodes pacificus",-120.642289,38.425102
"Ixodes pacificus",-120.642289,38.425102
"Ixodes pacificus",-120.642289,38.425102
"Ixodes pacificus",-120.500728,38.445769
"Ixodes pacificus",-121.44998,39.5212
"Ixodes pacificus",-121.44998,39.5212
"Ixodes pacificus",-121.44998,39.5212
"Ixodes pacificus",-121.44998,39.5212
"Ixodes pacificus",-120.277443,38.261202
"Ixodes pacificus",-120.4746,38.053
"Ixodes pacificus",-120.4746,38.053
"Ixodes pacificus",-120.5515,38.0326
"Ixodes pacificus",-120.5515,38.0326
"Ixodes pacificus",-120.4746,38.053
"Ixodes pacificus",-120.552,38.0342
"Ixodes pacificus",-122.24496,37.90006
"Ixodes pacificus",-122.23028,37.89224
"Ixodes pacificus",-122.22808,37.88429
"Ixodes pacificus",-122.26359,37.91212
"Ixodes pacificus",-122.22147,37.8802
"Ixodes pacificus",-122.22808,37.88429
"Ixodes pacificus",-122.2474,37.8934
"Ixodes pacificus",-122.26015,37.90338
"Ixodes pacificus",-122.25659,37.90103
"Ixodes pacificus",-122.2643,37.9084
"Ixodes pacificus",-122.22147,37.8802
"Ixodes pacificus",-122.22808,37.88429
"Ixodes pacificus",-122.2474,37.8934
"Ixodes pacificus",-122.25375,37.89896
"Ixodes pacificus",-122.25659,37.90103
"Ixodes pacificus",-122.26015,37.90338
"Ixodes pacificus",-122.2643,37.9084
"Ixodes pacificus",-122.2522,37.9127
"Ixodes pacificus",-122.2559,37.9005
"Ixodes pacificus",-120.47527,38.76472
"Ixodes pacificus",-120.7903,38.9242
"Ixodes pacificus",-120.77111,38.94972
"Ixodes pacificus",-120.48361,38.77444
"Ixodes pacificus",-120.48361,38.77444
"Ixodes pacificus",-120.48361,38.77444
"Ixodes pacificus",-121.04364,38.77137
"Ixodes pacificus",-121.04364,38.77137
"Ixodes pacificus",-120.5532,38.7019
"Ixodes pacificus",-121.04297,38.77411
"Ixodes pacificus",-121.4812,38.77159
"Ixodes pacificus",-121.04297,38.77411
"Ixodes pacificus",-121.04812,38.77159
"Ixodes pacificus",-123.7896,40.0663
"Ixodes pacificus",-123.7896,40.0663
"Ixodes pacificus",-124.0359,40.3358
"Ixodes pacificus",-122.81353,39.01781
"Ixodes pacificus",-122.81353,39.01781
"Ixodes pacificus",-122.949414,39.252777
"Ixodes pacificus",-122.949414,39.252777
"Ixodes pacificus",-122.708156,38.958886
"Ixodes pacificus",-122.54274,38.5646
"Ixodes pacificus",-117.66,34.236
"Ixodes pacificus",-117.66,34.236
"Ixodes pacificus",-119.61583,37.38583
"Ixodes pacificus",-119.59416,37.35888
"Ixodes pacificus",-119.59416,37.35888
"Ixodes pacificus",-119.58923,37.34915
"Ixodes pacificus",-119.58923,37.34915
"Ixodes pacificus",-122.52777,37.82166
"Ixodes pacificus",-122.54083,37.83305
"Ixodes pacificus",-122.497,38.0058
"Ixodes pacificus",-122.497,38.0058
"Ixodes pacificus",-122.497,38.0058
"Ixodes pacificus",-122.497,38.009
"Ixodes pacificus",-122.497,38.009
"Ixodes pacificus",-122.497,38.009
"Ixodes pacificus",-122.497,38.009
"Ixodes pacificus",-122.497,38.009
"Ixodes pacificus",-122.497,38.009
"Ixodes pacificus",-122.532792,37.855711
"Ixodes pacificus",-122.532792,37.855711
"Ixodes pacificus",-122.532792,37.855711
"Ixodes pacificus",-122.538607,37.864859
"Ixodes pacificus",-122.538607,37.864859
"Ixodes pacificus",-122.538607,37.864859
"Ixodes pacificus",-119.9611,37.5001
"Ixodes pacificus",-119.9611,37.5001
"Ixodes pacificus",-119.7269,37.6429
"Ixodes pacificus",-119.7139,37.7235
"Ixodes pacificus",-119.6736,37.5448
"Ixodes pacificus",-119.6511,37.5418
"Ixodes pacificus",-119.7269,37.6429
"Ixodes pacificus",-119.6736,37.5448
"Ixodes pacificus",-121.4854,36.236
"Ixodes pacificus",-121.4854,36.236
"Ixodes pacificus",-121.4854,36.236
"Ixodes pacificus",-121.4854,36.236
"Ixodes pacificus",-122.1488,38.4929
"Ixodes pacificus",-121.09514,39.2923
"Ixodes pacificus",-121.09514,39.2923
"Ixodes pacificus",-121.022,38.2696
"Ixodes pacificus",-120.85245,39.32278
"Ixodes pacificus",-121.01816,39.27011
"Ixodes pacificus",-120.95694,38.97861
"Ixodes pacificus",-120.95694,38.97861
"Ixodes pacificus",-120.94722,39.10555
"Ixodes pacificus",-120.94722,39.10555
"Ixodes pacificus",-120.94722,39.10555
"Ixodes pacificus",-116.876,33.925
"Ixodes pacificus",-117.27688,33.53405
"Ixodes pacificus",-117.27688,33.53405
"Ixodes pacificus",-117.27688,33.53405
"Ixodes pacificus",-121.1871,38.6493
"Ixodes pacificus",-121.1871,38.6493
"Ixodes pacificus",-121.1871,38.6493
