"species","longitude","latitude"
"Ixodes pacificus",-120.642289,38.425102
"Ixodes pacificus",-120.642289,38.425102
"Ixodes pacificus",-121.999,37.756
"Ixodes pacificus",-122.2476,37.906368
"Ixodes pacificus",-121.0164,38.8917
"Ixodes pacificus",-121.041,38.911
"Ixodes pacificus",-120.8477,38.6827
"Ixodes pacificus",-120.8477,38.6827
"Ixodes pacificus",-120.46166,38.78194
"Ixodes pacificus",-120.50111,38.78027
"Ixodes pacificus",-120.48388,38.77138
"Ixodes pacificus",-120.89388,38.80055
"Ixodes pacificus",-121.04364,38.77137
"Ixodes pacificus",-120.7996,38.74314
"Ixodes pacificus",-121.0354,38.7737
"Ixodes pacificus",-121.04297,38.77411
"Ixodes pacificus",-121.04812,38.77159
"Ixodes pacificus",-121.04297,38.77411
"Ixodes pacificus",-121.04812,38.77159
"Ixodes pacificus",-123.6117,40.1763
"Ixodes pacificus",-122.93997,39.44165
"Ixodes pacificus",-122.93997,39.44165
"Ixodes pacificus",-122.9506,39.2527
"Ixodes pacificus",-122.92914,39.43795
"Ixodes pacificus",-122.92914,39.43795
"Ixodes pacificus",-122.52504,38.82821
"Ixodes pacificus",-122.69791,38.83036
"Ixodes pacificus",-122.588222,38.923417
"Ixodes pacificus",-122.81353,39.01781
"Ixodes pacificus",-122.99986,39.30372
"Ixodes pacificus",-122.741,38.9612
"Ixodes pacificus",-117.79166,34.20833
"Ixodes pacificus",-117.79166,34.20833
"Ixodes pacificus",-117.79166,34.20833
"Ixodes pacificus",-117.79166,34.20833
"Ixodes pacificus",-117.775,34.225
"Ixodes pacificus",-117.775,34.225
"Ixodes pacificus",-117.775,34.225
"Ixodes pacificus",-117.775,34.225
"Ixodes pacificus",-117.69166,34.15833
"Ixodes pacificus",-117.69166,34.15833
"Ixodes pacificus",-117.69166,34.15833
"Ixodes pacificus",-117.69166,34.15833
"Ixodes pacificus",-117.66666,34.16666
"Ixodes pacificus",-117.66666,34.16666
"Ixodes pacificus",-117.66666,34.16666
"Ixodes pacificus",-117.66666,34.16666
"Ixodes pacificus",-119.7263,37.3655
"Ixodes pacificus",-122.497,38.009
"Ixodes pacificus",-122.497,38.009
"Ixodes pacificus",-119.6492,37.5343
"Ixodes pacificus",-119.9611,37.5001
"Ixodes pacificus",-119.9611,37.5001
"Ixodes pacificus",-119.7139,37.7235
"Ixodes pacificus",-119.6469,37.7167
"Ixodes pacificus",-119.712887,37.723503
"Ixodes pacificus",-123.248,39.793
"Ixodes pacificus",-123.365,39.412
"Ixodes pacificus",-121.46777,36.26833
"Ixodes pacificus",-121.46777,36.26833
"Ixodes pacificus",-122.97444,38.90444
"Ixodes pacificus",-122.97444,38.90444
"Ixodes pacificus",-122.5081,38.53918
"Ixodes pacificus",-122.25296,38.27978
"Ixodes pacificus",-122.25296,38.27978
"Ixodes pacificus",-122.5085,38.5433
"Ixodes pacificus",-122.4426,38.5618
"Ixodes pacificus",-122.4426,38.5618
"Ixodes pacificus",-122.5997,38.6527
"Ixodes pacificus",-117.8196,33.5645
"Ixodes pacificus",-117.81609,33.56359
"Ixodes pacificus",-117.81609,33.56359
"Ixodes pacificus",-117.817174,33.562948
"Ixodes pacificus",-117.817174,33.562948
"Ixodes pacificus",-117.817174,33.562948
"Ixodes pacificus",-121.051,38.891
"Ixodes pacificus",-120.94722,39.10555
"Ixodes pacificus",-121.0831,39.0421
"Ixodes pacificus",-121.0831,39.0421
"Ixodes pacificus",-121.026969,38.994072
"Ixodes pacificus",-116.9774,33.9294
"Ixodes pacificus",-117.27688,33.53405
"Ixodes pacificus",-117.27688,33.53405
"Ixodes pacificus",-117.27688,33.53405
"Ixodes pacificus",-117.27688,33.53405
"Ixodes pacificus",-117.2744,33.5305
"Ixodes pacificus",-117.27688,33.53405
"Ixodes pacificus",-117.27688,33.53405
"Ixodes pacificus",-116.69,33.649
"Ixodes pacificus",-121.1871,38.6493
"Ixodes pacificus",-121.1871,38.6493
"Ixodes pacificus",-121.1871,38.6493
"Ixodes pacificus",-121.503,36.761
"Ixodes pacificus",-116.911,34.244
"Ixodes pacificus",-117.46526,34.22377
"Ixodes pacificus",-121.081,35.564
"Ixodes pacificus",-121.081,35.564
"Ixodes pacificus",-120.7437,35.3288
"Ixodes pacificus",-122.247,37.361
"Ixodes pacificus",-120.237,34.488
"Ixodes pacificus",-120.237,34.488
"Ixodes pacificus",-119.789,34.5469
"Ixodes pacificus",-122.0699,37.0422
"Ixodes pacificus",-122.0419,37.0279
"Ixodes pacificus",-122.2527,40.8705
"Ixodes pacificus",-122.22202,40.39054
"Ixodes pacificus",-120.827,39.559
"Ixodes pacificus",-122.653,38.448
"Ixodes pacificus",-123.0086,38.5412
"Ixodes pacificus",-118.78833,36.51555
"Ixodes pacificus",-118.78833,36.51555
"Ixodes pacificus",-118.78833,36.51555
"Ixodes pacificus",-118.78833,36.51555
"Ixodes pacificus",-118.81611,36.51611
"Ixodes pacificus",-118.81611,36.51611
"Ixodes pacificus",-118.81611,36.51611
"Ixodes pacificus",-118.81611,36.51611
"Ixodes pacificus",-120.40027,38.03638
"Ixodes pacificus",-120.40027,38.03638
