"tickpres9.species","longitude","latitude"
"Ixodes pacificus",-148937.889891543,-46737.896251997
"Ixodes pacificus",-148937.889891543,-46737.896251997
"Ixodes pacificus",-162215.532730334,-51905.5485201939
"Ixodes pacificus",-162215.532730334,-51905.5485201939
"Ixodes pacificus",-161904.781861026,-54090.8079870422
"Ixodes pacificus",-190995.509746919,-20174.3397880085
"Ixodes pacificus",-197295.956817069,-18114.9393746168
"Ixodes pacificus",-197295.956817069,-18114.9393746168
"Ixodes pacificus",-188828.910472704,-21191.1179356589
"Ixodes pacificus",-192363.34612288,-19620.2521464447
"Ixodes pacificus",-189490.497868287,92794.8119197339
"Ixodes pacificus",-55981.7640238242,45615.2509023114
"Ixodes pacificus",-55929.4454167589,45614.896784775
"Ixodes pacificus",-55929.4454167589,45614.896784775
"Ixodes pacificus",-55929.4454167589,45614.896784775
"Ixodes pacificus",-56006.8873390229,45626.7598213479
"Ixodes pacificus",-43650.9229338401,47849.6928405045
"Ixodes pacificus",-150105.439642069,207407.461871458
"Ixodes pacificus",-124401.204565256,168213.042660625
"Ixodes pacificus",-124401.204565256,168213.042660625
"Ixodes pacificus",-124401.204565256,168213.042660625
"Ixodes pacificus",-74905.2084188099,36422.5759579474
"Ixodes pacificus",-48386.8847552126,2123.46428091452
"Ixodes pacificus",-41591.8014066358,4176.63448273437
"Ixodes pacificus",-48386.8847552126,2123.46428091452
"Ixodes pacificus",-41591.8014066358,4176.63448273437
"Ixodes pacificus",-41591.8014066358,4176.63448273437
"Ixodes pacificus",-67090.1026926071,30678.6685883543
"Ixodes pacificus",-63526.1907966494,32493.6049503232
"Ixodes pacificus",-63526.1907966494,32493.6049503232
"Ixodes pacificus",-63526.1907966494,32493.6049503232
"Ixodes pacificus",-63526.1907966494,32493.6049503232
"Ixodes pacificus",-23768.6073627495,28008.7596355113
"Ixodes pacificus",-198447.882203424,-10194.710316367
"Ixodes pacificus",-195682.431439365,-12382.9518692386
"Ixodes pacificus",-195112.663235061,-12851.1224480169
"Ixodes pacificus",-197897.728457886,-10699.3064335315
"Ixodes pacificus",-198141.580090165,-10463.3243041476
"Ixodes pacificus",-198798.868549881,-9628.11703160359
"Ixodes pacificus",-195112.663235061,-12851.1224480169
"Ixodes pacificus",-197354.901152897,-11330.4568272587
"Ixodes pacificus",-197897.728457886,-10699.3064335315
"Ixodes pacificus",-198141.580090165,-10463.3243041476
"Ixodes pacificus",-198447.882203424,-10194.710316367
"Ixodes pacificus",-198798.868549881,-9628.11703160359
"Ixodes pacificus",-198726.671978902,-9216.18251393223
"Ixodes pacificus",-186381.12775286,-4513.52280791011
"Ixodes pacificus",-186381.12775286,-4513.52280791011
"Ixodes pacificus",-77527.5623515081,87662.91816583
"Ixodes pacificus",-77527.5623515081,87662.91816583
"Ixodes pacificus",-77527.5623515081,87662.91816583
"Ixodes pacificus",-77527.5623515081,87662.91816583
"Ixodes pacificus",-77527.5623515081,87662.91816583
"Ixodes pacificus",-42444.9492543726,83439.9712554207
"Ixodes pacificus",-90575.9104212657,84429.2469557044
"Ixodes pacificus",-90575.9104212657,84429.2469557044
"Ixodes pacificus",-89739.5906394366,84709.0981924948
"Ixodes pacificus",-89564.8100707849,84818.3532583644
"Ixodes pacificus",-88952.5138588711,85256.3481060215
"Ixodes pacificus",-90967.9598885304,84454.6922930088
"Ixodes pacificus",-90967.9598885304,84454.6922930088
"Ixodes pacificus",-90517.9201564463,84729.8515169406
"Ixodes pacificus",-90967.9598885304,84454.6922930088
"Ixodes pacificus",-90517.9201564463,84729.8515169406
"Ixodes pacificus",-90967.9598885304,84454.6922930088
"Ixodes pacificus",-90967.9598885304,84454.6922930088
"Ixodes pacificus",-90967.9598885304,84454.6922930088
"Ixodes pacificus",-90628.9627409798,84340.9033275195
"Ixodes pacificus",-90628.9627409798,84340.9033275195
"Ixodes pacificus",-231011.178884166,187445.781752502
"Ixodes pacificus",-330807.067713451,250935.909145601
"Ixodes pacificus",-330807.067713451,250935.909145601
"Ixodes pacificus",-332206.279336011,239287.403180808
"Ixodes pacificus",-323979.744849356,254026.75139459
"Ixodes pacificus",-323979.744849356,254026.75139459
"Ixodes pacificus",-323614.461500823,229056.985796539
"Ixodes pacificus",-228810.250284318,85336.7131496686
"Ixodes pacificus",-218963.099500708,93161.2862675292
"Ixodes pacificus",-252819.937781857,162342.419619686
"Ixodes pacificus",-252819.937781857,162342.419619686
"Ixodes pacificus",-238727.539799049,67878.3734258269
"Ixodes pacificus",-224543.779969042,102457.106010227
"Ixodes pacificus",-224543.779969042,102457.106010227
"Ixodes pacificus",-224543.779969042,102457.106010227
"Ixodes pacificus",-224543.779969042,102457.106010227
"Ixodes pacificus",-254387.141540801,141383.171993049
"Ixodes pacificus",-243330.813003696,114925.892505987
"Ixodes pacificus",-243330.813003696,114925.892505987
"Ixodes pacificus",-243330.813003696,114925.892505987
"Ixodes pacificus",-243330.813003696,114925.892505987
"Ixodes pacificus",-227389.424469277,126078.365827107
"Ixodes pacificus",-214569.135300145,127833.574165996
"Ixodes pacificus",-214569.135300145,127833.574165996
"Ixodes pacificus",-214569.135300145,127833.574165996
"Ixodes pacificus",-214569.135300145,127833.574165996
"Ixodes pacificus",-214569.135300145,127833.574165996
"Ixodes pacificus",-214569.135300145,127833.574165996
"Ixodes pacificus",-224010.396097451,133500.971141551
"Ixodes pacificus",-223349.003643031,129549.372092662
"Ixodes pacificus",-223349.003643031,129549.372092662
"Ixodes pacificus",-223349.003643031,129549.372092662
"Ixodes pacificus",-223349.003643031,129549.372092662
"Ixodes pacificus",-222376.880912122,92680.1870923904
"Ixodes pacificus",-227393.393381798,126081.700364634
"Ixodes pacificus",182119.542858224,-424578.499688916
"Ixodes pacificus",182119.542858224,-424578.499688916
"Ixodes pacificus",182119.542858224,-424578.499688916
"Ixodes pacificus",182119.542858224,-424578.499688916
"Ixodes pacificus",259302.154682306,-421664.055126677
"Ixodes pacificus",49913.5083133922,-94071.0566568673
"Ixodes pacificus",-231535.33836165,-5167.37605542829
"Ixodes pacificus",-222182.622139371,-18682.7179273488
"Ixodes pacificus",-217795.15989623,-17259.4919187655
"Ixodes pacificus",-245214.739929411,6307.24034417979
"Ixodes pacificus",-238058.284707139,-4064.63000582531
"Ixodes pacificus",-218750.131521023,1685.10602664994
"Ixodes pacificus",-218750.131521023,1685.10602664994
"Ixodes pacificus",-218750.131521023,1685.10602664994
"Ixodes pacificus",-218750.131521023,1685.10602664994
"Ixodes pacificus",-218930.23313721,2064.3874508366
"Ixodes pacificus",-218930.23313721,2064.3874508366
"Ixodes pacificus",-218930.23313721,2064.3874508366
"Ixodes pacificus",-218930.23313721,2064.3874508366
"Ixodes pacificus",-218930.23313721,2064.3874508366
"Ixodes pacificus",-218930.23313721,2064.3874508366
"Ixodes pacificus",-230081.466842615,-2629.66329952283
"Ixodes pacificus",19016.3310095668,-37960.1869090577
"Ixodes pacificus",28436.1263018946,-52107.1330923541
"Ixodes pacificus",28436.1263018946,-52107.1330923541
"Ixodes pacificus",31431.2308711252,-32119.7592852656
"Ixodes pacificus",10010.3926657861,-40321.4468974844
"Ixodes pacificus",6528.59238640285,-51708.2589106341
"Ixodes pacificus",13935.8091701381,-38959.5915461597
"Ixodes pacificus",16805.8110449324,-38098.3279373413
"Ixodes pacificus",28798.7812638985,-52372.6901487056
"Ixodes pacificus",3434.25318830116,-57390.625348316
"Ixodes pacificus",31083.383497387,-33254.9686487531
"Ixodes pacificus",31083.383497387,-33254.9686487531
"Ixodes pacificus",30300.8856631818,-52967.6790308533
"Ixodes pacificus",30300.8856631818,-52967.6790308533
"Ixodes pacificus",31083.383497387,-33254.9686487531
"Ixodes pacificus",6961.61256817982,-52574.9977221824
"Ixodes pacificus",-300204.882437377,123509.308913968
"Ixodes pacificus",-262290.528579524,205557.472706703
"Ixodes pacificus",-134235.701024951,-197723.34634304
"Ixodes pacificus",-134235.701024951,-197723.34634304
"Ixodes pacificus",-172195.246346658,-171880.202517242
"Ixodes pacificus",-172195.246346658,-171880.202517242
"Ixodes pacificus",-159398.257341833,-195161.331551518
"Ixodes pacificus",-159398.257341833,-195161.331551518
"Ixodes pacificus",-138280.440547471,-220934.779724545
"Ixodes pacificus",-138389.98625057,-221011.012858808
"Ixodes pacificus",-219516.746846563,62440.7011794518
"Ixodes pacificus",-212578.63082879,63370.9741489333
"Ixodes pacificus",-212578.63082879,63370.9741489333
"Ixodes pacificus",-219516.746846563,62440.7011794518
"Ixodes pacificus",-93869.4284660096,143020.171697841
"Ixodes pacificus",-93869.4284660096,143020.171697841
"Ixodes pacificus",-94380.2363864714,142370.33635597
"Ixodes pacificus",236289.990741255,-481562.981657837
"Ixodes pacificus",202757.872908671,-492299.469569618
"Ixodes pacificus",-82822.3410939433,107380.004979067
"Ixodes pacificus",-82822.3410939433,107380.004979067
"Ixodes pacificus",-81462.7439419576,121982.430457061
"Ixodes pacificus",-100813.642551053,100718.603915272
"Ixodes pacificus",-78449.8415461039,104614.829306265
"Ixodes pacificus",288831.909601077,-449726.779072289
"Ixodes pacificus",253024.160286554,-494203.448071509
"Ixodes pacificus",253024.160286554,-494203.448071509
"Ixodes pacificus",253024.160286554,-494203.448071509
"Ixodes pacificus",253024.160286554,-494203.448071509
"Ixodes pacificus",296771.097294312,-460272.224048607
