"tickpres9.species","longitude","latitude"
"Ixodes pacificus",-197252.278909354,-14007.2042245204
"Ixodes pacificus",-156700.694561082,-40213.9471882377
"Ixodes pacificus",-156232.817307373,-40602.1873038593
"Ixodes pacificus",-59566.7996509728,43050.1646698331
"Ixodes pacificus",-115379.454444657,186898.218268153
"Ixodes pacificus",-78455.294617675,22637.1500413804
"Ixodes pacificus",-78455.294617675,22637.1500413804
"Ixodes pacificus",-24245.9273796887,27252.6658885595
"Ixodes pacificus",-63225.2922648149,20799.4632716114
"Ixodes pacificus",-41591.8014066358,4176.63448273437
"Ixodes pacificus",-24246.1889031507,27252.8889835472
"Ixodes pacificus",-202875.98843304,107178.903846409
"Ixodes pacificus",-222393.356457883,144218.638909817
"Ixodes pacificus",-222393.356457883,144218.638909817
"Ixodes pacificus",-127982.712814568,145172.767708474
"Ixodes pacificus",-197243.934686292,-10540.2443251791
"Ixodes pacificus",-197243.934686292,-10540.2443251791
"Ixodes pacificus",-197243.934686292,-10540.2443251791
"Ixodes pacificus",-198490.204194676,-9906.8089010613
"Ixodes pacificus",-199181.564161154,-9140.81201261561
"Ixodes pacificus",-199181.564161154,-9140.81201261561
"Ixodes pacificus",-198123.223727552,-10467.0972286062
"Ixodes pacificus",-198798.868549881,-9628.11703160359
"Ixodes pacificus",-197606.202016695,-10999.796048251
"Ixodes pacificus",-199181.564161154,-9140.81201261561
"Ixodes pacificus",-199181.564161154,-9140.81201261561
"Ixodes pacificus",-199181.564161154,-9140.81201261561
"Ixodes pacificus",-199181.564161154,-9140.81201261561
"Ixodes pacificus",-72685.4535638358,99324.3932892545
"Ixodes pacificus",-48058.9901995798,76345.7413357203
"Ixodes pacificus",-40510.9020520589,84875.2289802115
"Ixodes pacificus",-36592.6569612397,85823.9071888905
"Ixodes pacificus",-89861.4542551495,84677.0803539325
"Ixodes pacificus",-90550.1185627736,84406.7311379532
"Ixodes pacificus",-90517.9201564463,84729.8515169406
"Ixodes pacificus",-128553.033503994,84956.0729069454
"Ixodes pacificus",-90517.9201564463,84729.8515169406
"Ixodes pacificus",-90967.9598885304,84454.6922930088
"Ixodes pacificus",-307450.852502629,245898.7619187
"Ixodes pacificus",-320858.298199553,239384.273434648
"Ixodes pacificus",-224151.835786525,103887.300373116
"Ixodes pacificus",-243347.741396523,114929.953181881
"Ixodes pacificus",-258453.330789403,147183.589665459
"Ixodes pacificus",-237258.130324528,108456.881188753
"Ixodes pacificus",203389.70167394,-429310.232191576
"Ixodes pacificus",151059.550629702,-471594.877782412
"Ixodes pacificus",-217795.15989623,-17259.4919187655
"Ixodes pacificus",-217463.320581848,1136.23604159942
"Ixodes pacificus",-218930.23313721,2064.3874508366
"Ixodes pacificus",-218930.23313721,2064.3874508366
"Ixodes pacificus",-10531.5063375602,-49747.6671452825
"Ixodes pacificus",-300204.882437377,123509.308913968
"Ixodes pacificus",-133333.106345349,-196848.453136428
"Ixodes pacificus",-125787.538162087,-222744.878746168
"Ixodes pacificus",-131720.96218877,-209875.989415579
"Ixodes pacificus",-219749.171115771,58944.1269890587
"Ixodes pacificus",-257655.978173333,102760.307649512
"Ixodes pacificus",-218344.27020703,61006.2684907722
"Ixodes pacificus",-196822.468725915,31621.3038605591
"Ixodes pacificus",-218366.968351471,61465.0056076138
"Ixodes pacificus",-219426.180124197,62571.7299101627
"Ixodes pacificus",-219426.180124197,62571.7299101627
"Ixodes pacificus",-219426.180124197,62571.7299101627
"Ixodes pacificus",-72495.2622358319,149422.820145633
"Ixodes pacificus",-90003.1873915618,146161.865012346
"Ixodes pacificus",-89984.5885741676,146286.133230411
"Ixodes pacificus",-69831.8759693234,149325.143249003
"Ixodes pacificus",-93869.4284660096,143020.171697841
"Ixodes pacificus",-90793.7501836369,132689.342863449
"Ixodes pacificus",-107089.518291434,141540.875999113
"Ixodes pacificus",-107089.518291434,141540.875999113
"Ixodes pacificus",202757.872908671,-492299.469569618
"Ixodes pacificus",202757.872908671,-492299.469569618
"Ixodes pacificus",202757.872908671,-492299.469569618
"Ixodes pacificus",202757.872908671,-492299.469569618
"Ixodes pacificus",202757.872908671,-492299.469569618
"Ixodes pacificus",202757.872908671,-492299.469569618
"Ixodes pacificus",-91820.7872436492,100405.268683866
"Ixodes pacificus",-93660.3212101659,114553.582002226
"Ixodes pacificus",-100919.249546149,93175.6313936603
"Ixodes pacificus",-81840.1574818384,121479.367192432
"Ixodes pacificus",-96398.5858908768,86785.3048165869
"Ixodes pacificus",-82822.3410939433,107380.004979067
"Ixodes pacificus",-82822.3410939433,107380.004979067
"Ixodes pacificus",-94628.7809907575,89766.0549452198
"Ixodes pacificus",-89911.4991416054,100717.607290731
"Ixodes pacificus",-82414.4560227723,105418.517073962
"Ixodes pacificus",-98023.498665924,84414.5553418659
"Ixodes pacificus",-92330.0005033562,96720.6073451047
"Ixodes pacificus",-92937.7750250837,108865.524282642
"Ixodes pacificus",-70043.3979540932,132667.616075977
"Ixodes pacificus",-73646.8658383254,129198.3186186
"Ixodes pacificus",-81840.1574818384,121479.367192432
"Ixodes pacificus",-93660.3212101659,114553.582002226
"Ixodes pacificus",-82822.3410939433,107380.004979067
"Ixodes pacificus",-86099.1902670968,103266.633053308
"Ixodes pacificus",-76848.9313398695,217459.499285021
"Ixodes pacificus",253024.160286554,-494203.448071509
"Ixodes pacificus",253024.160286554,-494203.448071509
"Ixodes pacificus",253024.160286554,-494203.448071509
"Ixodes pacificus",253024.160286554,-494203.448071509
"Ixodes pacificus",253024.160286554,-494203.448071509
"Ixodes pacificus",253024.160286554,-494203.448071509
"Ixodes pacificus",253024.160286554,-494203.448071509
"Ixodes pacificus",253024.160286554,-494203.448071509
"Ixodes pacificus",253024.160286554,-494203.448071509
"Ixodes pacificus",253024.160286554,-494203.448071509
"Ixodes pacificus",253265.843665217,-494590.222777359
"Ixodes pacificus",253265.843665217,-494590.222777359
"Ixodes pacificus",253923.43209277,-492439.62080191
"Ixodes pacificus",299402.601955374,-473145.995003801
"Ixodes pacificus",299402.601955374,-473145.995003801
"Ixodes pacificus",307090.250566498,-479731.760865975
"Ixodes pacificus",-114024.475148611,67234.3780530188
"Ixodes pacificus",-103199.851483241,71004.8270349354
"Ixodes pacificus",-103199.851483241,71004.8270349354
"Ixodes pacificus",-103199.851483241,71004.8270349354
"Ixodes pacificus",-103199.851483241,71004.8270349354
"Ixodes pacificus",-103199.851483241,71004.8270349354
"Ixodes pacificus",273052.206687308,-433253.293539828
"Ixodes pacificus",215651.687147622,-451744.389697263
"Ixodes pacificus",233479.914059372,-418221.577210861
"Ixodes pacificus",234872.361659803,-421133.174000312
"Ixodes pacificus",321337.486613335,-557740.649239191
"Ixodes pacificus",-198722.346763466,-70499.1666583065
"Ixodes pacificus",-198722.346763466,-70499.1666583065
"Ixodes pacificus",-198722.346763466,-70499.1666583065
"Ixodes pacificus",-21759.8233286805,-391995.57953049
"Ixodes pacificus",19495.6630923895,-385428.569542633
"Ixodes pacificus",-170871.144056425,-110504.729191934
"Ixodes pacificus",-192850.632490955,-106149.854430538
"Ixodes pacificus",-163700.128076326,-119741.167053059
"Ixodes pacificus",-182159.580800221,-110516.098715893
"Ixodes pacificus",-181401.779919199,-112474.759923674
"Ixodes pacificus",-181802.931469111,-110464.878643962
"Ixodes pacificus",-181802.931469111,-110464.878643962
"Ixodes pacificus",-184695.4221574,-109012.188813489
"Ixodes pacificus",-184695.4221574,-109012.188813489
"Ixodes pacificus",-183315.325370681,-106852.075413299
"Ixodes pacificus",-188691.268171085,319822.159041665
"Ixodes pacificus",-195919.527819718,311728.903099314
"Ixodes pacificus",-189471.618383744,326822.410791247
"Ixodes pacificus",-189323.508990559,327381.819095742
"Ixodes pacificus",-189639.649594778,319775.761169988
"Ixodes pacificus",-189823.546350476,319136.108732074
"Ixodes pacificus",-198462.100395936,340949.016565124
"Ixodes pacificus",-222367.053883759,303414.88091864
"Ixodes pacificus",-182514.405417393,56582.4941797866
"Ixodes pacificus",-231239.015365265,51217.9817742268
"Ixodes pacificus",-231239.015365265,51217.9817742268
"Ixodes pacificus",-261895.088144952,62498.325349974
"Ixodes pacificus",-40786.4196218342,-39071.7264996092
"Ixodes pacificus",-121152.623360915,-65375.1702999366
"Ixodes pacificus",-122059.415961833,-65128.5404375214
"Ixodes pacificus",-121152.623360915,-65375.1702999366
"Ixodes pacificus",-122059.415961833,-65128.5404375214
"Ixodes pacificus",-122059.415961833,-65128.5404375214
"Ixodes pacificus",-121152.623360915,-65375.1702999366
"Ixodes pacificus",-122094.76226272,-65128.0253906571
"Ixodes pacificus",-121178.973099022,-65363.671720827
"Ixodes pacificus",-150312.520586585,247780.255563203
