"tickpres9.species","longitude","latitude"
"Ixodes pacificus",-148939.870183336,-46849.0440850328
"Ixodes pacificus",-185044.01966072,-30961.0194165003
"Ixodes pacificus",-185044.01966072,-30961.0194165003
"Ixodes pacificus",-180576.241105652,-41377.5457223668
"Ixodes pacificus",-161904.781861026,-54090.8079870422
"Ixodes pacificus",-197295.956817069,-18114.9393746168
"Ixodes pacificus",-161392.045936887,-54191.8861872251
"Ixodes pacificus",-160940.359650387,-55448.0846812935
"Ixodes pacificus",-55925.093052418,45613.7556982441
"Ixodes pacificus",-55925.093052418,45613.7556982441
"Ixodes pacificus",-43627.9471831584,47875.3613078441
"Ixodes pacificus",-55925.0855327338,45614.867289925
"Ixodes pacificus",-55925.0855327338,45614.867289925
"Ixodes pacificus",-160823.316340722,335430.704401167
"Ixodes pacificus",-132410.09132908,279118.282037865
"Ixodes pacificus",-115379.454444657,186898.218268153
"Ixodes pacificus",-128780.269211328,168247.767300929
"Ixodes pacificus",-124569.443245095,168336.748372266
"Ixodes pacificus",-124380.432481622,169572.9807588
"Ixodes pacificus",-118326.800776996,140770.381042508
"Ixodes pacificus",-124225.407177184,169485.709787298
"Ixodes pacificus",-124835.696250672,168450.401591875
"Ixodes pacificus",-41591.8014066358,4176.63448273437
"Ixodes pacificus",-41591.8014066358,4176.63448273437
"Ixodes pacificus",-41591.8014066358,4176.63448273437
"Ixodes pacificus",-45549.6324943,39330.4579778598
"Ixodes pacificus",-41311.0206881905,3981.13473708695
"Ixodes pacificus",-41311.0206881905,3981.13473708695
"Ixodes pacificus",-197185.495577201,-10075.7089178674
"Ixodes pacificus",-197185.495577201,-10075.7089178674
"Ixodes pacificus",-198875.26556218,-10252.3401480969
"Ixodes pacificus",-197585.315510045,-9935.01274179853
"Ixodes pacificus",-198318.115717884,-10462.4557697559
"Ixodes pacificus",-197569.268971283,-10369.0667945161
"Ixodes pacificus",-198066.090908126,-8620.33977073198
"Ixodes pacificus",-197243.934686292,-10540.2443251791
"Ixodes pacificus",-197243.934686292,-10540.2443251791
"Ixodes pacificus",-197185.495577201,-10075.7089178674
"Ixodes pacificus",-197932.860586406,-8667.98922231561
"Ixodes pacificus",-199181.564161154,-9140.81201261561
"Ixodes pacificus",-199181.564161154,-9140.81201261561
"Ixodes pacificus",-197185.495577201,-10075.7089178674
"Ixodes pacificus",-197185.495577201,-10075.7089178674
"Ixodes pacificus",-197845.291153379,-5503.14401149098
"Ixodes pacificus",-199174.209273954,-2193.84883346781
"Ixodes pacificus",-186384.322843016,-4656.10292458953
"Ixodes pacificus",-195281.237285341,-12579.962528965
"Ixodes pacificus",-73662.0578948159,74400.6630221955
"Ixodes pacificus",-72685.4535638358,99324.3932892545
"Ixodes pacificus",-72685.4535638358,99324.3932892545
"Ixodes pacificus",-72685.4535638358,99324.3932892545
"Ixodes pacificus",-72685.4535638358,99324.3932892545
"Ixodes pacificus",-82073.3551466757,90239.1828859304
"Ixodes pacificus",-82073.3551466757,90239.1828859304
"Ixodes pacificus",-79985.2289480812,89121.4886116595
"Ixodes pacificus",-82073.3551466757,90239.1828859304
"Ixodes pacificus",-90517.9201564463,84729.8515169406
"Ixodes pacificus",-90967.9598885304,84454.6922930088
"Ixodes pacificus",-90628.9627409798,84340.9033275195
"Ixodes pacificus",-90628.9627409798,84340.9033275195
"Ixodes pacificus",-90628.9627409798,84340.9033275195
"Ixodes pacificus",-90628.9627409798,84340.9033275195
"Ixodes pacificus",-90858.8333289004,84802.4168859133
"Ixodes pacificus",-90517.9201564463,84729.8515169406
"Ixodes pacificus",-90517.9201564463,84729.8515169406
"Ixodes pacificus",-90967.9598885304,84454.6922930088
"Ixodes pacificus",-90967.9598885304,84454.6922930088
"Ixodes pacificus",-233578.863931768,184651.34588069
"Ixodes pacificus",-309093.833922091,257043.254831247
"Ixodes pacificus",-309093.833922091,257043.254831247
"Ixodes pacificus",100826.314317657,-348911.819106623
"Ixodes pacificus",-259042.837091954,128558.863045817
"Ixodes pacificus",-243346.909708871,114928.81656218
"Ixodes pacificus",-239904.957244336,117654.960939141
"Ixodes pacificus",165054.125668689,-451922.490604361
"Ixodes pacificus",103483.551324896,-439010.547254306
"Ixodes pacificus",104340.776531242,-441219.094267517
"Ixodes pacificus",-6974.01469783332,-387247.789578417
"Ixodes pacificus",154746.66155246,-519211.163210417
"Ixodes pacificus",154746.66155246,-519211.163210417
"Ixodes pacificus",154746.66155246,-519211.163210417
"Ixodes pacificus",154746.66155246,-519211.163210417
"Ixodes pacificus",152066.244677063,-513235.044111205
"Ixodes pacificus",170837.423818803,-415004.38398107
"Ixodes pacificus",118649.721643742,-434047.550806004
"Ixodes pacificus",38178.6738972311,-77943.0202491242
"Ixodes pacificus",40723.1205220751,-80494.467680424
"Ixodes pacificus",40723.1205220751,-80494.467680424
"Ixodes pacificus",37805.3706344628,-77393.3433139082
"Ixodes pacificus",37805.3706344628,-77393.3433139082
"Ixodes pacificus",-222182.622139371,-18682.7179273488
"Ixodes pacificus",-217795.15989623,-17259.4919187655
"Ixodes pacificus",-217795.15989623,-17259.4919187655
"Ixodes pacificus",-217795.15989623,-17259.4919187655
"Ixodes pacificus",-217795.15989623,-17259.4919187655
"Ixodes pacificus",-222334.043762546,-16350.01459513
"Ixodes pacificus",-218930.23313721,2064.3874508366
"Ixodes pacificus",-218930.23313721,2064.3874508366
"Ixodes pacificus",-244789.457380509,-1514.03194292169
"Ixodes pacificus",-244789.457380509,-1514.03194292169
"Ixodes pacificus",-222544.16985632,-14185.9938694122
"Ixodes pacificus",-222544.16985632,-14185.9938694122
"Ixodes pacificus",13935.8091701381,-38959.5915461597
"Ixodes pacificus",13935.8091701381,-38959.5915461597
"Ixodes pacificus",3434.25318830116,-57390.625348316
"Ixodes pacificus",3434.25318830116,-57390.625348316
"Ixodes pacificus",-516.61979516169,-45656.7221485437
"Ixodes pacificus",7060.20709540638,-51260.9429962905
"Ixodes pacificus",25183.1812482617,-32541.1552038635
"Ixodes pacificus",52748.7540127773,-76494.5345564242
"Ixodes pacificus",53858.1208771686,-76863.2203600314
"Ixodes pacificus",-257655.978173333,102760.307649512
"Ixodes pacificus",-260020.580464669,121113.004289849
"Ixodes pacificus",-218344.27020703,61006.2684907722
"Ixodes pacificus",-196822.468725915,31621.3038605591
