"tickpres9.species","longitude","latitude"
"Ixodes pacificus",-185784.756251838,-25874.1033316934
"Ixodes pacificus",-188362.21662406,-26616.8830096158
"Ixodes pacificus",-197295.956817069,-18114.9393746168
"Ixodes pacificus",-156700.694561082,-40213.9471882377
"Ixodes pacificus",-197295.956817069,-18114.9393746168
"Ixodes pacificus",-43596.1594156374,47852.8498360794
"Ixodes pacificus",-18842.2022735381,53806.5066959397
"Ixodes pacificus",-55999.1267565849,45626.7072494151
"Ixodes pacificus",-55999.1267565849,45626.7072494151
"Ixodes pacificus",-56006.8873390229,45626.7598213479
"Ixodes pacificus",-150105.439642069,207407.461871458
"Ixodes pacificus",-150105.439642069,207407.461871458
"Ixodes pacificus",-41591.8014066358,4176.63448273437
"Ixodes pacificus",-48344.0911905866,1945.34581969911
"Ixodes pacificus",-41311.0505347216,3975.13182568457
"Ixodes pacificus",-41311.0505347216,3975.13182568457
"Ixodes pacificus",-41311.0505347216,3975.13182568457
"Ixodes pacificus",-178534.523444673,-23019.1761366595
"Ixodes pacificus",-189848.477743181,-8057.96993377572
"Ixodes pacificus",-189848.477743181,-8057.96993377572
"Ixodes pacificus",-172079.25592035,-18384.8595164698
"Ixodes pacificus",-198318.115717884,-10462.4557697559
"Ixodes pacificus",-197945.228073314,-9926.46037186403
"Ixodes pacificus",-197945.228073314,-9926.46037186403
"Ixodes pacificus",-197945.228073314,-9926.46037186403
"Ixodes pacificus",-197945.228073314,-9926.46037186403
"Ixodes pacificus",-197945.228073314,-9926.46037186403
"Ixodes pacificus",-197945.228073314,-9926.46037186403
"Ixodes pacificus",-198318.115717884,-10462.4557697559
"Ixodes pacificus",-197569.268971283,-10369.0667945161
"Ixodes pacificus",-197185.495577201,-10075.7089178674
"Ixodes pacificus",-198856.809466162,-9479.95056314208
"Ixodes pacificus",-199181.564161154,-9140.81201261561
"Ixodes pacificus",-199181.564161154,-9140.81201261561
"Ixodes pacificus",-197354.901152897,-11330.4568272587
"Ixodes pacificus",-197897.728457886,-10699.3064335315
"Ixodes pacificus",-198141.580090165,-10463.3243041476
"Ixodes pacificus",-198447.882203424,-10194.710316367
"Ixodes pacificus",-198798.868549881,-9628.11703160359
"Ixodes pacificus",-197456.529512018,-10748.592883666
"Ixodes pacificus",-197338.288098562,-9888.83294325368
