"tickpres9.species","longitude","latitude"
"Ixodes pacificus",-197607.141685991,-11224.3941966495
"Ixodes pacificus",-196989.067249836,-10683.0538657056
"Ixodes pacificus",-195854.824010591,-11494.876327686
"Ixodes pacificus",-195112.663235061,-12851.1224480169
"Ixodes pacificus",-195682.431439365,-12382.9518692386
"Ixodes pacificus",-198141.580090165,-10463.3243041476
"Ixodes pacificus",-198141.580090165,-10463.3243041476
"Ixodes pacificus",-198141.580090165,-10463.3243041476
"Ixodes pacificus",-198447.882203424,-10194.710316367
"Ixodes pacificus",-198447.882203424,-10194.710316367
"Ixodes pacificus",-197354.901152897,-11330.4568272587
"Ixodes pacificus",-197897.728457886,-10699.3064335315
"Ixodes pacificus",-90967.9598885304,84454.6922930088
"Ixodes pacificus",-217905.493336726,63785.1780668688
"Ixodes pacificus",156757.785829983,-439516.504627664
"Ixodes pacificus",-218939.60110417,1708.77759889979
"Ixodes pacificus",-218939.60110417,1708.77759889979
"Ixodes pacificus",-218930.23313721,2064.3874508366
"Ixodes pacificus",-218930.23313721,2064.3874508366
"Ixodes pacificus",-218930.23313721,2064.3874508366
"Ixodes pacificus",-229866.859638611,-2788.4001445882
"Ixodes pacificus",-219652.010490347,62266.3838165672
"Ixodes pacificus",-219652.010490347,62266.3838165672
"Ixodes pacificus",-219652.010490347,62266.3838165672
"Ixodes pacificus",-17530.1632805691,157613.155721111
"Ixodes pacificus",-208474.907810455,-92723.6378798475
"Ixodes pacificus",-208474.907810455,-92723.6378798475
"Ixodes pacificus",-192538.692341689,-74757.5486926669
"Ixodes pacificus",-141931.838907426,-93305.3188479813
"Ixodes pacificus",-222376.198477293,39320.6526354323
