"tickpres9.species","longitude","latitude"
"Ixodes pacificus",-197295.956817069,-18114.9393746168
"Ixodes pacificus",-180576.241105652,-41377.5457223668
"Ixodes pacificus",-192999.041555954,-16999.1007623272
"Ixodes pacificus",-168245.018291396,-41888.4940552819
"Ixodes pacificus",-184369.052890317,-49867.6470616288
"Ixodes pacificus",-184421.972361084,-49466.1883878843
"Ixodes pacificus",-43627.9471831584,47875.3613078441
"Ixodes pacificus",-55925.0855327338,45614.867289925
"Ixodes pacificus",-48386.8847552126,2123.46428091452
"Ixodes pacificus",-197123.143661087,-10595.369054873
"Ixodes pacificus",-129179.884444367,-97995.9272231651
"Ixodes pacificus",-195112.663235061,-12851.1224480169
"Ixodes pacificus",-195682.431439365,-12382.9518692386
"Ixodes pacificus",-197897.728457886,-10699.3064335315
"Ixodes pacificus",-198141.580090165,-10463.3243041476
"Ixodes pacificus",-198141.580090165,-10463.3243041476
"Ixodes pacificus",-198141.580090165,-10463.3243041476
"Ixodes pacificus",-198447.882203424,-10194.710316367
"Ixodes pacificus",-198798.868549881,-9628.11703160359
"Ixodes pacificus",-195682.431439365,-12382.9518692386
"Ixodes pacificus",-197354.901152897,-11330.4568272587
"Ixodes pacificus",-197897.728457886,-10699.3064335315
"Ixodes pacificus",-198141.580090165,-10463.3243041476
"Ixodes pacificus",-198141.580090165,-10463.3243041476
"Ixodes pacificus",-198447.882203424,-10194.710316367
"Ixodes pacificus",-195112.663235061,-12851.1224480169
"Ixodes pacificus",-197354.901152897,-11330.4568272587
"Ixodes pacificus",-198447.882203424,-10194.710316367
"Ixodes pacificus",-198798.868549881,-9628.11703160359
"Ixodes pacificus",-198856.862577228,-9482.17326690862
"Ixodes pacificus",-197931.856064268,-8625.75774519797
"Ixodes pacificus",-197932.913455992,-8670.21193164121
"Ixodes pacificus",-329592.559352071,432965.955815395
"Ixodes pacificus",-327495.837070791,433895.061503247
"Ixodes pacificus",-334771.580646707,432998.952164331
"Ixodes pacificus",-90967.9598885304,84454.6922930088
"Ixodes pacificus",-90967.9598885304,84454.6922930088
"Ixodes pacificus",-297691.865459108,376630.258279315
"Ixodes pacificus",-295517.031576944,370627.817096778
"Ixodes pacificus",-243347.741396523,114929.953181881
"Ixodes pacificus",-258453.330789403,147183.589665459
"Ixodes pacificus",156757.785829983,-439516.504627664
"Ixodes pacificus",133874.652147692,-438831.392779804
"Ixodes pacificus",132976.311209682,-439865.751384224
"Ixodes pacificus",156757.785829983,-439516.504627664
"Ixodes pacificus",133874.652147692,-438831.392779804
"Ixodes pacificus",132976.311209682,-439865.751384224
"Ixodes pacificus",-218930.23313721,2064.3874508366
"Ixodes pacificus",-218930.23313721,2064.3874508366
"Ixodes pacificus",-237061.289606904,-9284.92943365406
"Ixodes pacificus",-236178.386642109,-9128.98045756808
"Ixodes pacificus",-218930.23313721,2064.3874508366
"Ixodes pacificus",-218930.23313721,2064.3874508366
"Ixodes pacificus",-245173.493278888,6308.3583079949
"Ixodes pacificus",-187183.338669791,55089.2468842166
"Ixodes pacificus",-219652.010490347,62266.3838165672
"Ixodes pacificus",-219652.010490347,62266.3838165672
"Ixodes pacificus",-219652.010490347,62266.3838165672
"Ixodes pacificus",-219652.010490347,62266.3838165672
"Ixodes pacificus",-103044.89401206,142575.048549413
"Ixodes pacificus",-103044.89401206,142575.048549413
"Ixodes pacificus",-103044.89401206,142575.048549413
"Ixodes pacificus",-104073.330652259,143032.647023085
"Ixodes pacificus",-106774.416825958,141444.83819377
"Ixodes pacificus",-106774.416825958,141444.83819377
"Ixodes pacificus",-81840.1574818384,121479.367192432
"Ixodes pacificus",-81840.1574818384,121479.367192432
"Ixodes pacificus",-81840.1574818384,121479.367192432
"Ixodes pacificus",-81462.7439419576,121982.430457061
"Ixodes pacificus",-82407.8714252487,106074.247142129
"Ixodes pacificus",-198722.346763466,-70499.1666583065
"Ixodes pacificus",-196875.365271359,-65316.6516014012
"Ixodes pacificus",-196875.365271359,-65316.6516014012
"Ixodes pacificus",-198722.346763466,-70499.1666583065
"Ixodes pacificus",-197400.167355858,-85763.6912763715
"Ixodes pacificus",37530.9672178708,-395656.082822212
"Ixodes pacificus",-129179.884444367,-97995.9272231651
"Ixodes pacificus",-129179.884444367,-97995.9272231651
"Ixodes pacificus",-129179.884444367,-97995.9272231651
"Ixodes pacificus",-129179.884444367,-97995.9272231651
"Ixodes pacificus",-192538.692341689,-74757.5486926669
"Ixodes pacificus",-192538.692341689,-74757.5486926669
"Ixodes pacificus",-192538.692341689,-74757.5486926669
"Ixodes pacificus",-141931.838907426,-93305.3188479813
"Ixodes pacificus",-141931.838907426,-93305.3188479813
"Ixodes pacificus",-141931.838907426,-93305.3188479813
"Ixodes pacificus",-184694.445042566,-109012.210242408
"Ixodes pacificus",-184694.533871187,-109012.208294329
