"tickpres9.species","longitude","latitude"
"Ixodes pacificus",-185044.01966072,-30961.0194165003
"Ixodes pacificus",-185044.01966072,-30961.0194165003
"Ixodes pacificus",-185018.603837028,-31006.0605807821
"Ixodes pacificus",-190427.007627436,-20309.6663465849
"Ixodes pacificus",-190995.509746919,-20174.3397880085
"Ixodes pacificus",-190995.509746919,-20174.3397880085
"Ixodes pacificus",-191264.796363471,-20412.7947083255
"Ixodes pacificus",-185111.540958372,-31226.3869362618
"Ixodes pacificus",-197295.956817069,-18114.9393746168
"Ixodes pacificus",-192226.272917372,-18633.7669821572
"Ixodes pacificus",-190427.007627436,-20309.6663465849
"Ixodes pacificus",-166318.130007235,-42518.5948869288
"Ixodes pacificus",-178393.088991475,-41936.2629735111
"Ixodes pacificus",-178350.067573887,-40747.1019878048
"Ixodes pacificus",-49099.1969632514,28363.1670381292
"Ixodes pacificus",-75625.2817967467,30130.3304341529
"Ixodes pacificus",-43627.9471831584,47875.3613078441
"Ixodes pacificus",-57002.2598168782,42165.0039087553
"Ixodes pacificus",-55925.0855327338,45614.867289925
"Ixodes pacificus",-75429.0559662967,29228.0745033664
"Ixodes pacificus",-75429.0559662967,29228.0745033664
"Ixodes pacificus",-57002.2598168782,42165.0039087553
"Ixodes pacificus",-43627.9471831584,47875.3613078441
"Ixodes pacificus",-55925.0855327338,45614.867289925
"Ixodes pacificus",-138377.322670679,190047.650653322
"Ixodes pacificus",-150105.439642069,207407.461871458
"Ixodes pacificus",-150105.439642069,207407.461871458
"Ixodes pacificus",-150105.439642069,207407.461871458
"Ixodes pacificus",-124568.7184451,168215.603038653
"Ixodes pacificus",-48632.4579892706,37898.4166796114
"Ixodes pacificus",-46258.2782239072,40571.6492188564
"Ixodes pacificus",-76180.4406193719,25432.9677737351
"Ixodes pacificus",-76180.4406193719,25432.9677737351
"Ixodes pacificus",-63712.8066878276,32509.1569917938
"Ixodes pacificus",-76180.4406193719,25432.9677737351
"Ixodes pacificus",-76180.4406193719,25432.9677737351
"Ixodes pacificus",-233526.330342337,149735.27881042
"Ixodes pacificus",-189867.044897021,-8102.02461122815
"Ixodes pacificus",-197185.495577201,-10075.7089178674
"Ixodes pacificus",-198305.140266403,-9917.89243749809
"Ixodes pacificus",-195112.663235061,-12851.1224480169
"Ixodes pacificus",-197580.097708626,-11158.3172254134
"Ixodes pacificus",-197295.971064684,-11438.6040162891
"Ixodes pacificus",-197295.971064684,-11438.6040162891
"Ixodes pacificus",-198447.882203424,-10194.710316367
"Ixodes pacificus",-198447.882203424,-10194.710316367
"Ixodes pacificus",-198459.672130701,-10136.6059647193
"Ixodes pacificus",-199181.564161154,-9140.81201261561
"Ixodes pacificus",-197185.495577201,-10075.7089178674
"Ixodes pacificus",-199181.564161154,-9140.81201261561
"Ixodes pacificus",-202725.35737713,-4892.24739813013
"Ixodes pacificus",-194646.270395367,5688.43389023282
"Ixodes pacificus",-186381.12775286,-4513.52280791011
"Ixodes pacificus",-186381.12775286,-4513.52280791011
"Ixodes pacificus",-186381.12775286,-4513.52280791011
"Ixodes pacificus",-195281.237285341,-12579.962528965
"Ixodes pacificus",-61634.5087275359,76802.9645249946
"Ixodes pacificus",-37891.3156156771,84584.8631677232
"Ixodes pacificus",-41760.67127604,83325.3157274402
"Ixodes pacificus",-90575.0547731789,84428.1259396523
"Ixodes pacificus",-90594.4908428603,84397.2151866304
"Ixodes pacificus",-83234.7160098704,89985.1919068713
"Ixodes pacificus",-83234.7160098704,89985.1919068713
"Ixodes pacificus",-82073.3551466757,90239.1828859304
