"tickpres9.species","longitude","latitude"
"Ixodes pacificus",-122492.728985066,-26154.5462699709
"Ixodes pacificus",-194169.893814081,-15978.8995068269
"Ixodes pacificus",-194169.893814081,-15978.8995068269
"Ixodes pacificus",-192999.041555954,-16999.1007623272
"Ixodes pacificus",-56006.8873390229,45626.7598213479
"Ixodes pacificus",-56006.8873390229,45626.7598213479
"Ixodes pacificus",-56006.8873390229,45626.7598213479
"Ixodes pacificus",-43650.9229338401,47849.6928405045
"Ixodes pacificus",-124569.594484184,168214.505113899
"Ixodes pacificus",-124569.594484184,168214.505113899
"Ixodes pacificus",-124569.594484184,168214.505113899
"Ixodes pacificus",-124569.594484184,168214.505113899
"Ixodes pacificus",-24246.1889031507,27252.8889835472
"Ixodes pacificus",-41591.8014066358,4176.63448273437
"Ixodes pacificus",-41591.8014066358,4176.63448273437
"Ixodes pacificus",-48344.0911905866,1945.34581969911
"Ixodes pacificus",-48344.0911905866,1945.34581969911
"Ixodes pacificus",-41591.8014066358,4176.63448273437
"Ixodes pacificus",-48386.8847552126,2123.46428091452
"Ixodes pacificus",-197123.143661087,-10595.369054873
"Ixodes pacificus",-195854.824010591,-11494.876327686
"Ixodes pacificus",-195682.431439365,-12382.9518692386
"Ixodes pacificus",-198726.671978902,-9216.18251393223
"Ixodes pacificus",-195112.663235061,-12851.1224480169
"Ixodes pacificus",-195682.431439365,-12382.9518692386
"Ixodes pacificus",-197354.901152897,-11330.4568272587
"Ixodes pacificus",-198447.882203424,-10194.710316367
"Ixodes pacificus",-198141.580090165,-10463.3243041476
"Ixodes pacificus",-198798.868549881,-9628.11703160359
"Ixodes pacificus",-195112.663235061,-12851.1224480169
"Ixodes pacificus",-195682.431439365,-12382.9518692386
"Ixodes pacificus",-197354.901152897,-11330.4568272587
"Ixodes pacificus",-197897.728457886,-10699.3064335315
"Ixodes pacificus",-198141.580090165,-10463.3243041476
"Ixodes pacificus",-198447.882203424,-10194.710316367
"Ixodes pacificus",-198798.868549881,-9628.11703160359
"Ixodes pacificus",-197725.370215786,-9175.53824513452
"Ixodes pacificus",-198082.407347755,-10523.6679131445
"Ixodes pacificus",-41253.9156409387,83291.6364703435
"Ixodes pacificus",-68450.5702587695,101199.821617409
"Ixodes pacificus",-66765.4264168309,104022.520426258
"Ixodes pacificus",-41972.3187925893,84375.6908175657
"Ixodes pacificus",-41972.3187925893,84375.6908175657
"Ixodes pacificus",-41972.3187925893,84375.6908175657
"Ixodes pacificus",-90579.4186585701,84425.9507830827
"Ixodes pacificus",-90579.4186585701,84425.9507830827
"Ixodes pacificus",-48058.9901995798,76345.7413357203
"Ixodes pacificus",-90517.9201564463,84729.8515169406
"Ixodes pacificus",-128553.033503994,84956.0729069454
"Ixodes pacificus",-90517.9201564463,84729.8515169406
