"tickpres9.species","longitude","latitude"
"Ixodes pacificus",-56006.8873390229,45626.7598213479
"Ixodes pacificus",-56006.8873390229,45626.7598213479
"Ixodes pacificus",-175867.17634137,-27089.8908462478
"Ixodes pacificus",-197338.288098562,-9888.83294325368
"Ixodes pacificus",-88071.9186286304,97774.2988458904
"Ixodes pacificus",-90179.8912312625,99942.4663755973
"Ixodes pacificus",-73662.0578948159,74400.6630221955
"Ixodes pacificus",-73662.0578948159,74400.6630221955
"Ixodes pacificus",-40063.2431389123,85199.8298610868
"Ixodes pacificus",-43487.6978134101,85031.5901203891
"Ixodes pacificus",-41997.4877055698,84035.6868151799
"Ixodes pacificus",-77551.3131060981,87536.4231116287
"Ixodes pacificus",-90579.4186585701,84425.9507830827
"Ixodes pacificus",-69425.7847954953,81082.3060198184
"Ixodes pacificus",-89861.4542551495,84677.0803539325
"Ixodes pacificus",-90517.9201564463,84729.8515169406
"Ixodes pacificus",-90967.9598885304,84454.6922930088
"Ixodes pacificus",-90517.9201564463,84729.8515169406
"Ixodes pacificus",-90967.9598885304,84454.6922930088
"Ixodes pacificus",-307450.852502629,245898.7619187
"Ixodes pacificus",-252819.937781857,162342.419619686
"Ixodes pacificus",-252819.937781857,162342.419619686
"Ixodes pacificus",-254387.141540801,141383.171993049
"Ixodes pacificus",-251901.619932217,161902.63048688
"Ixodes pacificus",-251901.619932217,161902.63048688
"Ixodes pacificus",-218963.099500708,93161.2862675292
"Ixodes pacificus",-233943.096611676,93813.0760562401
"Ixodes pacificus",-224151.835786525,103887.300373116
"Ixodes pacificus",-243347.741396523,114929.953181881
"Ixodes pacificus",-258453.330789403,147183.589665459
"Ixodes pacificus",-237258.130324528,108456.881188753
"Ixodes pacificus",203460.30164269,-420686.219086002
"Ixodes pacificus",203460.30164269,-420686.219086002
"Ixodes pacificus",203460.30164269,-420686.219086002
"Ixodes pacificus",203460.30164269,-420686.219086002
"Ixodes pacificus",204951.550544056,-418801.332126392
"Ixodes pacificus",204951.550544056,-418801.332126392
"Ixodes pacificus",204951.550544056,-418801.332126392
"Ixodes pacificus",204951.550544056,-418801.332126392
"Ixodes pacificus",212806.83636804,-426012.337522857
"Ixodes pacificus",212806.83636804,-426012.337522857
"Ixodes pacificus",212806.83636804,-426012.337522857
"Ixodes pacificus",212806.83636804,-426012.337522857
"Ixodes pacificus",215088.392082628,-425032.051971622
"Ixodes pacificus",215088.392082628,-425032.051971622
"Ixodes pacificus",215088.392082628,-425032.051971622
"Ixodes pacificus",215088.392082628,-425032.051971622
"Ixodes pacificus",24206.5323157842,-72319.0047230134
"Ixodes pacificus",-218930.23313721,2064.3874508366
"Ixodes pacificus",-218930.23313721,2064.3874508366
"Ixodes pacificus",30955.9407053067,-53532.2259743037
"Ixodes pacificus",3434.25318830116,-57390.625348316
"Ixodes pacificus",3434.25318830116,-57390.625348316
"Ixodes pacificus",25183.1141557808,-32518.9219982624
"Ixodes pacificus",31083.383497387,-33254.9686487531
"Ixodes pacificus",25272.2792303895,-32518.318949997
"Ixodes pacificus",-277961.633717057,202223.62208377
"Ixodes pacificus",-289472.529431346,160264.944687516
"Ixodes pacificus",-131695.105721014,-193280.933142896
"Ixodes pacificus",-131695.105721014,-193280.933142896
"Ixodes pacificus",-257655.978173333,102760.307649512
"Ixodes pacificus",-257655.978173333,102760.307649512
"Ixodes pacificus",-218344.27020703,61006.2684907722
"Ixodes pacificus",-196822.468725915,31621.3038605591
"Ixodes pacificus",-196822.468725915,31621.3038605591
"Ixodes pacificus",-218366.968351471,61465.0056076138
"Ixodes pacificus",-212578.63082879,63370.9741489333
"Ixodes pacificus",-212578.63082879,63370.9741489333
"Ixodes pacificus",-225970.637471721,73834.9780327501
"Ixodes pacificus",202528.610127484,-492132.636478003
"Ixodes pacificus",202856.906074096,-492225.993726569
"Ixodes pacificus",202856.906074096,-492225.993726569
"Ixodes pacificus",202757.872908671,-492299.469569618
"Ixodes pacificus",202757.872908671,-492299.469569618
"Ixodes pacificus",202757.872908671,-492299.469569618
"Ixodes pacificus",-91070.7795489332,97729.1879001916
"Ixodes pacificus",-81840.1574818384,121479.367192432
