"tickpres9.species","longitude","latitude"
"Ixodes pacificus",-199181.564161154,-9140.81201261561
"Ixodes pacificus",-199181.564161154,-9140.81201261561
"Ixodes pacificus",-199181.564161154,-9140.81201261561
"Ixodes pacificus",-90517.9201564463,84729.8515169406
"Ixodes pacificus",-90967.9598885304,84454.6922930088
"Ixodes pacificus",-360948.484228276,292548.991436612
"Ixodes pacificus",-243347.741396523,114929.953181881
"Ixodes pacificus",-258453.330789403,147183.589665459
"Ixodes pacificus",-237258.130324528,108456.881188753
"Ixodes pacificus",-225970.637471721,73834.9780327501
"Ixodes pacificus",-67548.9221966228,-298411.418023463
