"tickpres8.species","longitude","latitude"
"Ixodes pacificus",-122492.728985066,-26154.5462699709
"Ixodes pacificus",-185784.756251838,-25874.1033316934
"Ixodes pacificus",-148937.889891543,-46737.896251997
"Ixodes pacificus",-148937.889891543,-46737.896251997
"Ixodes pacificus",-148939.870183336,-46849.0440850328
"Ixodes pacificus",-185044.01966072,-30961.0194165003
"Ixodes pacificus",-185044.01966072,-30961.0194165003
"Ixodes pacificus",-185044.01966072,-30961.0194165003
"Ixodes pacificus",-185044.01966072,-30961.0194165003
"Ixodes pacificus",-185018.603837028,-31006.0605807821
"Ixodes pacificus",-190427.007627436,-20309.6663465849
"Ixodes pacificus",-190995.509746919,-20174.3397880085
"Ixodes pacificus",-190995.509746919,-20174.3397880085
"Ixodes pacificus",-191264.796363471,-20412.7947083255
"Ixodes pacificus",-162215.532730334,-51905.5485201939
"Ixodes pacificus",-162215.532730334,-51905.5485201939
"Ixodes pacificus",-161904.781861026,-54090.8079870422
"Ixodes pacificus",-190995.509746919,-20174.3397880085
"Ixodes pacificus",-185111.540958372,-31226.3869362618
"Ixodes pacificus",-188362.21662406,-26616.8830096158
"Ixodes pacificus",-197295.956817069,-18114.9393746168
"Ixodes pacificus",-156700.694561082,-40213.9471882377
"Ixodes pacificus",-197295.956817069,-18114.9393746168
"Ixodes pacificus",-180576.241105652,-41377.5457223668
"Ixodes pacificus",-161904.781861026,-54090.8079870422
"Ixodes pacificus",-197295.956817069,-18114.9393746168
"Ixodes pacificus",-197295.956817069,-18114.9393746168
"Ixodes pacificus",-192226.272917372,-18633.7669821572
"Ixodes pacificus",-190427.007627436,-20309.6663465849
"Ixodes pacificus",-197295.956817069,-18114.9393746168
"Ixodes pacificus",-197295.956817069,-18114.9393746168
"Ixodes pacificus",-197295.956817069,-18114.9393746168
"Ixodes pacificus",-180576.241105652,-41377.5457223668
"Ixodes pacificus",-166318.130007235,-42518.5948869288
"Ixodes pacificus",-194169.893814081,-15978.8995068269
"Ixodes pacificus",-194169.893814081,-15978.8995068269
"Ixodes pacificus",-192999.041555954,-16999.1007623272
"Ixodes pacificus",-192999.041555954,-16999.1007623272
"Ixodes pacificus",-168245.018291396,-41888.4940552819
"Ixodes pacificus",-197252.278909354,-14007.2042245204
"Ixodes pacificus",-161392.045936887,-54191.8861872251
"Ixodes pacificus",-160940.359650387,-55448.0846812935
"Ixodes pacificus",-178393.088991475,-41936.2629735111
"Ixodes pacificus",-178350.067573887,-40747.1019878048
"Ixodes pacificus",-156700.694561082,-40213.9471882377
"Ixodes pacificus",-156232.817307373,-40602.1873038593
"Ixodes pacificus",-184369.052890317,-49867.6470616288
"Ixodes pacificus",-184421.972361084,-49466.1883878843
"Ixodes pacificus",-188828.910472704,-21191.1179356589
"Ixodes pacificus",-192363.34612288,-19620.2521464447
"Ixodes pacificus",-189490.497868287,92794.8119197339
"Ixodes pacificus",-55981.7640238242,45615.2509023114
"Ixodes pacificus",-59566.7996509728,43050.1646698331
"Ixodes pacificus",-55925.093052418,45613.7556982441
"Ixodes pacificus",-55925.093052418,45613.7556982441
"Ixodes pacificus",-43627.9471831584,47875.3613078441
"Ixodes pacificus",-55925.0855327338,45614.867289925
"Ixodes pacificus",-55925.0855327338,45614.867289925
"Ixodes pacificus",-43627.9471831584,47875.3613078441
"Ixodes pacificus",-55925.0855327338,45614.867289925
"Ixodes pacificus",-49099.1969632514,28363.1670381292
"Ixodes pacificus",-75625.2817967467,30130.3304341529
"Ixodes pacificus",-43627.9471831584,47875.3613078441
"Ixodes pacificus",-57002.2598168782,42165.0039087553
"Ixodes pacificus",-55925.0855327338,45614.867289925
"Ixodes pacificus",-55929.4454167589,45614.896784775
"Ixodes pacificus",-55929.4454167589,45614.896784775
"Ixodes pacificus",-55929.4454167589,45614.896784775
"Ixodes pacificus",-43596.1594156374,47852.8498360794
"Ixodes pacificus",-18842.2022735381,53806.5066959397
"Ixodes pacificus",-75429.0559662967,29228.0745033664
"Ixodes pacificus",-75429.0559662967,29228.0745033664
"Ixodes pacificus",-55999.1267565849,45626.7072494151
"Ixodes pacificus",-55999.1267565849,45626.7072494151
"Ixodes pacificus",-57002.2598168782,42165.0039087553
"Ixodes pacificus",-43627.9471831584,47875.3613078441
"Ixodes pacificus",-55925.0855327338,45614.867289925
"Ixodes pacificus",-56006.8873390229,45626.7598213479
"Ixodes pacificus",-56006.8873390229,45626.7598213479
"Ixodes pacificus",-56006.8873390229,45626.7598213479
"Ixodes pacificus",-43650.9229338401,47849.6928405045
"Ixodes pacificus",-56006.8873390229,45626.7598213479
"Ixodes pacificus",-56006.8873390229,45626.7598213479
"Ixodes pacificus",-56006.8873390229,45626.7598213479
"Ixodes pacificus",-56006.8873390229,45626.7598213479
"Ixodes pacificus",-43650.9229338401,47849.6928405045
"Ixodes pacificus",-160823.316340722,335430.704401167
"Ixodes pacificus",-150105.439642069,207407.461871458
"Ixodes pacificus",-132410.09132908,279118.282037865
"Ixodes pacificus",-138377.322670679,190047.650653322
"Ixodes pacificus",-115379.454444657,186898.218268153
"Ixodes pacificus",-115379.454444657,186898.218268153
"Ixodes pacificus",-150105.439642069,207407.461871458
"Ixodes pacificus",-150105.439642069,207407.461871458
"Ixodes pacificus",-150105.439642069,207407.461871458
"Ixodes pacificus",-150105.439642069,207407.461871458
"Ixodes pacificus",-150105.439642069,207407.461871458
"Ixodes pacificus",-128780.269211328,168247.767300929
"Ixodes pacificus",-124569.443245095,168336.748372266
"Ixodes pacificus",-124568.7184451,168215.603038653
"Ixodes pacificus",-124380.432481622,169572.9807588
"Ixodes pacificus",-124569.594484184,168214.505113899
"Ixodes pacificus",-124569.594484184,168214.505113899
"Ixodes pacificus",-124569.594484184,168214.505113899
"Ixodes pacificus",-124569.594484184,168214.505113899
"Ixodes pacificus",-124401.204565256,168213.042660625
"Ixodes pacificus",-124401.204565256,168213.042660625
"Ixodes pacificus",-124401.204565256,168213.042660625
"Ixodes pacificus",-118326.800776996,140770.381042508
"Ixodes pacificus",-124225.407177184,169485.709787298
"Ixodes pacificus",-124835.696250672,168450.401591875
"Ixodes pacificus",-48632.4579892706,37898.4166796114
"Ixodes pacificus",-78455.294617675,22637.1500413804
"Ixodes pacificus",-78455.294617675,22637.1500413804
"Ixodes pacificus",-41591.8014066358,4176.63448273437
"Ixodes pacificus",-74905.2084188099,36422.5759579474
"Ixodes pacificus",-41591.8014066358,4176.63448273437
"Ixodes pacificus",-41591.8014066358,4176.63448273437
"Ixodes pacificus",-45549.6324943,39330.4579778598
"Ixodes pacificus",-46258.2782239072,40571.6492188564
"Ixodes pacificus",-24245.9273796887,27252.6658885595
"Ixodes pacificus",-48386.8847552126,2123.46428091452
"Ixodes pacificus",-24246.1889031507,27252.8889835472
"Ixodes pacificus",-63225.2922648149,20799.4632716114
"Ixodes pacificus",-41591.8014066358,4176.63448273437
"Ixodes pacificus",-24246.1889031507,27252.8889835472
"Ixodes pacificus",-41591.8014066358,4176.63448273437
"Ixodes pacificus",-41591.8014066358,4176.63448273437
"Ixodes pacificus",-41591.8014066358,4176.63448273437
"Ixodes pacificus",-48344.0911905866,1945.34581969911
"Ixodes pacificus",-48386.8847552126,2123.46428091452
"Ixodes pacificus",-41591.8014066358,4176.63448273437
"Ixodes pacificus",-41591.8014066358,4176.63448273437
"Ixodes pacificus",-48344.0911905866,1945.34581969911
"Ixodes pacificus",-48344.0911905866,1945.34581969911
"Ixodes pacificus",-48386.8847552126,2123.46428091452
"Ixodes pacificus",-41591.8014066358,4176.63448273437
"Ixodes pacificus",-41591.8014066358,4176.63448273437
"Ixodes pacificus",-48386.8847552126,2123.46428091452
"Ixodes pacificus",-76180.4406193719,25432.9677737351
"Ixodes pacificus",-76180.4406193719,25432.9677737351
"Ixodes pacificus",-63712.8066878276,32509.1569917938
"Ixodes pacificus",-76180.4406193719,25432.9677737351
"Ixodes pacificus",-76180.4406193719,25432.9677737351
"Ixodes pacificus",-41311.0505347216,3975.13182568457
"Ixodes pacificus",-41311.0505347216,3975.13182568457
"Ixodes pacificus",-41311.0505347216,3975.13182568457
"Ixodes pacificus",-67090.1026926071,30678.6685883543
"Ixodes pacificus",-63526.1907966494,32493.6049503232
"Ixodes pacificus",-63526.1907966494,32493.6049503232
"Ixodes pacificus",-63526.1907966494,32493.6049503232
