species,longitude,latitude,Combined,Point_X,Point_Y,Month,Same?,
Ixodes pacificus,-116.525,32.976,-116.525+32.976,325126.0865,-553723.2737,Apr,0,
Ixodes pacificus,-116.525,32.976,-116.525+32.976,325126.0865,-553723.2737,Apr,1,
Ixodes pacificus,-116.567,32.941,-116.567+32.941,321338.6113,-557741.1426,Apr,0,
Ixodes pacificus,-116.567,32.941,-116.567+32.941,321338.6113,-557741.1426,Apr,1,
Ixodes pacificus,-116.567,32.941,-116.567+32.941,321338.6113,-557741.1426,Apr,1,
Ixodes pacificus,-116.567,32.941,-116.567+32.941,321338.6113,-557741.1426,Apr,1,
Ixodes pacificus,-116.567,32.941,-116.567+32.941,321338.6113,-557741.1426,Apr,1,
Ixodes pacificus,-116.7334,33.7603,-116.7334+33.7603,302641.3375,-467537.77,Apr,0,
Ixodes pacificus,-116.79405,33.82758,-116.79405+33.82758,296772.2188,-460272.7311,Apr,0,
Ixodes pacificus,-116.876,33.925,-116.876+33.925,288833.0314,-449727.2879,Apr,0,
Ixodes pacificus,-116.919,34.088,-116.919+34.088,284271.3818,-431786.46,Apr,0,
Ixodes pacificus,-117.18619,34.18619,-117.18619+34.18619,259303.2781,-421664.5691,Apr,0,
Ixodes pacificus,-117.27688,33.53405,-117.27688+33.53405,253025.2887,-494203.9537,Apr,0,
Ixodes pacificus,-117.27688,33.53405,-117.27688+33.53405,253025.2887,-494203.9537,Apr,1,
Ixodes pacificus,-117.27688,33.53405,-117.27688+33.53405,253025.2887,-494203.9537,Apr,1,
Ixodes pacificus,-117.27688,33.53405,-117.27688+33.53405,253025.2887,-494203.9537,Apr,1,
Ixodes pacificus,-117.30972,34.50194,-117.30972+34.50194,246928.6336,-386972.6057,Apr,0,
Ixodes pacificus,-117.453235,33.652212,-117.453235+33.652212,236291.1203,-481563.4898,Apr,0,
Ixodes pacificus,-117.46526,34.22377,-117.46526+34.22377,233481.0401,-418222.0931,Apr,0,
Ixodes pacificus,-117.553475,34.251857,-117.553475+34.251857,225276.8127,-415320.3193,Apr,0,
Ixodes pacificus,-117.70275,33.955,-117.70275+33.955,212332.2448,-448586.3088,Apr,0,
Ixodes pacificus,-117.817174,33.562948,-117.817174+33.562948,202759.0068,-492299.9785,Apr,0,
Ixodes pacificus,-118.0241,34.1775,-118.0241+34.1775,182120.6748,-424579.0179,Apr,0,
Ixodes pacificus,-118.0241,34.1775,-118.0241+34.1775,182120.6748,-424579.0179,Apr,1,
Ixodes pacificus,-118.0241,34.1775,-118.0241+34.1775,182120.6748,-424579.0179,Apr,1,
Ixodes pacificus,-118.0241,34.1775,-118.0241+34.1775,182120.6748,-424579.0179,Apr,1,
Ixodes pacificus,-119.4371,37.1688,-119.4371+37.1688,49914.63604,-94071.61717,Apr,0,
Ixodes pacificus,-119.479,34.403,-119.479+34.403,47887.67518,-401324.5406,Apr,0,
Ixodes pacificus,-119.479,34.403,-119.479+34.403,47887.67518,-401324.5406,Apr,1,
Ixodes pacificus,-119.6429,37.7269,-119.6429+37.7269,31432.35751,-32120.32655,Apr,0,
Ixodes pacificus,-119.6469,37.7167,-119.6469+37.7167,31084.51022,-33255.53582,Apr,0,
Ixodes pacificus,-119.6469,37.7167,-119.6469+37.7167,31084.51022,-33255.53582,Apr,1,
Ixodes pacificus,-119.6469,37.7167,-119.6469+37.7167,31084.51022,-33255.53582,Apr,1,
Ixodes pacificus,-119.6566,37.5394,-119.6566+37.5394,30302.01335,-52968.24438,Apr,0,
