longitude,latitude,aet,cwd,ppt,tmn,tmx,fvegrec,mam,brd,rep
-203298.0979,333595.0257,14.22630024,0,262.4639893,2.082000017,10.75230026,7,61,149,20
-203075.7005,333697.0596,14.22630024,0,262.4639893,2.082000017,10.75230026,6,60,148,20
-203075.7005,333697.0596,14.22630024,0,262.4639893,2.082000017,10.75230026,6,60,148,20
-203075.7005,333697.0596,14.22630024,0,262.4639893,2.082000017,10.75230026,6,60,148,20
-189322.3766,327381.2144,16.09370041,0,300.1929932,1.506999969,11.11929989,6,62,149,20
-189801.0193,327311.5252,15.88070011,0,299.855011,1.345000029,10.85200024,6,62,149,20
-203625.9844,327321.9948,15.54269981,0,270.7539978,2.359999895,11.28969955,8,60,152,20
-188186.1665,326317.3402,15.31999969,0,302.9689941,1.463700056,10.79599953,6,62,152,20
-188186.1665,326317.3402,15.31999969,0,302.9689941,1.463700056,10.79599953,6,62,152,20
-189959.9432,319383.0547,17.68829918,0,293.1260071,1.993999958,11.94330025,7,61,154,20
-237128.4335,306808.3136,11.13399982,0,142.2929993,0.039999999,8.623700142,7,60,161,19
-202114.4574,299680.4697,20.79430008,0,259.6570129,3.911000013,12.36270046,5,56,161,20
-202114.4574,299680.4697,20.79430008,0,259.6570129,3.911000013,12.36270046,5,56,161,20
-202114.4574,299680.4697,20.79430008,0,259.6570129,3.911000013,12.36270046,5,56,161,20
-196045.6715,292008.0167,19.03429985,0,200.0350037,3.207700014,13.22430038,6,44,153,16
-207110.4631,291064.56,19.8757,0,217.8139954,3.394000053,13.18830013,5,54,151,20
-202072.6864,290141.2627,20.25169945,0,204.8070068,3.534300089,13.34969997,6,46,151,16
-201055.8607,289354.0021,19.21870041,0,190.9570007,2.984699965,13.43299961,6,46,151,16
-201055.8607,289354.0021,19.21870041,0,190.9570007,2.984699965,13.43299961,6,46,151,16
-182196.5432,280565.7823,18.49130058,0,159.6679993,3.083699942,12.93630028,6,44,163,17
-182196.5432,280565.7823,18.49130058,0,159.6679993,3.083699942,12.93630028,6,44,163,17
-211782.016,278119.9032,19.15970039,0,181.7299957,2.994699955,13.08329964,6,43,145,15
-198577.0907,277764.3659,18.19799995,0,158.9810028,2.540699959,13.07470036,6,43,146,16
-192272.1671,275202.3005,18.15970039,0,149.7949982,2.450000048,13.02270031,6,43,147,16
-192272.1671,275202.3005,18.15970039,0,149.7949982,2.450000048,13.02270031,6,43,147,16
-157909.942,274992.4556,10.95670033,0,164.3079987,-0.473699987,9.319999695,7,59,147,19
-192236.5846,274753.5796,18.06369972,0,148.3970032,2.444999933,13.01200008,6,43,147,16
-192236.5846,274753.5796,18.06369972,0,148.3970032,2.444999933,13.01200008,6,43,147,16
-194569.607,270664.042,18.09770012,0,157.1569977,2.681999922,13.04699993,6,44,146,15
-169353.7459,269973.1115,18.98600006,0,144.4539948,3.133699894,12.40229988,6,47,169,18
-169353.7459,269973.1115,18.98600006,0,144.4539948,3.133699894,12.40229988,6,47,169,18
-340439.5461,266843.6398,21.77869987,0,251.4980011,3.504300117,11.64700031,2,57,151,15
-88693.77112,211834.0405,1.733299971,0,183.723999,-3.246999979,7.203000069,7,63,118,13
-310637.5162,207856.131,16.40800095,0,334.2260132,1.395300031,11.7652998,8,54,147,18
-150104.3065,207406.8671,23.50099945,0.182699993,243.6260071,3.832700014,12.57970047,2,48,170,17
