"","fvegHW90mask","bird90","mammal90","reptile90","aetmay_90m","cwdmay_90m","pptmay_90m","pptdjf_90m","pptjja_90m","tmnmay_90m","tmxmay_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",11,166,37,9,33.9790000915527,135.254302978516,16.047700881958,60.0727996826172,0.875199973583221,11.4119997024536,27.8003005981445,33.2160987854004,4.02120018005371,-122492.728985066,-26154.5462699709
"2",15,190,47,17,40.4547004699707,106.291999816895,25.8712997436523,138.324401855469,3.47300004959106,9.28929996490479,19.7959995269775,24.8241004943848,6.63180017471313,-194169.893814081,-15978.8995068269
"3",15,190,48,17,32.2327003479004,113.397300720215,25.8243007659912,139.139801025391,3.24219989776611,9.06330013275146,19.7070007324219,24.5503997802734,6.50899982452393,-192999.041555954,-16999.1007623272
"4",2,142,55,21,145.011703491211,17.125,47.8042984008789,164.4208984375,4.93499994277954,9.85599994659424,23.8703002929688,31.8910007476807,2.99090003967285,-56006.8873390229,45626.7598213479
"5",7,133,58,17,108.091003417969,43.8256988525391,51.7027015686035,194.489807128906,5.4556999206543,7.58430004119873,23.3859996795654,30.8628997802734,1.19719994068146,-43650.9229338401,47849.6928405045
"6",15,173,50,18,66.765998840332,96.713996887207,44.5497016906738,194.39289855957,6.54040002822876,11.2087001800537,25.4542999267578,32.7186012268066,4.39989995956421,-124569.594484184,168214.505113899
"7",7,134,58,16,122.263999938965,25.2609996795654,61.8252983093262,228.681900024414,7.11990022659302,6.56869983673096,19.9207000732422,27.6527996063232,-0.272700011730194,-24246.1889031507,27252.8889835472
"8",15,166,47,18,77.7809982299805,84.3057022094727,36.109001159668,141.093307495117,3.60689997673035,9.33899974822998,25.0699996948242,33.0152015686035,2.45359992980957,-41591.8014066358,4176.63448273437
"9",15,166,47,18,45.068000793457,121.012001037598,31.9162998199463,129.08869934082,3.05369997024536,9.88329982757568,26.1966991424561,33.6417999267578,2.77239990234375,-48344.0911905866,1945.34581969911
"10",15,166,47,18,34.8462982177734,130.837005615234,32.190299987793,129.99560546875,3.08089995384216,9.86569976806641,26.1352996826172,33.5635986328125,2.82189989089966,-48386.8847552126,2123.46428091452
