,fvegHW90mask,aet_90m,cwd_90m,ppt_90m,pptdjf_90m,pptjja_90m,tmn_90m,tmx_90m,tmxjja_90m,tmndjf_90m,longitude,latitude,long same,latt same,Both Same?
466,5,660.583313,253.8800049,1131.630005,192.4783936,14.13969994,7.590000153,16.52330017,18.91690063,4.911200047,-360948.4842,292548.9914,0,0,0
463,2,597.4232788,391.1733093,1526.290039,265.3721924,10.57499981,6.903299809,19.67670059,27.63159943,3.693200111,-342786.8997,265054.1534,0,0,0
454,2,602.833313,417.5,1480.953247,258.196106,10.17380047,6.929999828,19.56329918,27.22439957,3.627099991,-340440.6921,266844.2456,0,0,0
465,7,614.5767212,392.7333069,1652.079956,286.387085,12.3991003,6.826700211,19.57670021,27.40209961,3.780999899,-340434.0304,243021.034,0,0,0
316,7,594.5200195,405.3266907,2397.226807,389.4952087,25.27099991,6.263299942,18.44330025,25.41040039,2.732199907,-334771.5806,432998.9522,0,0,0
462,7,531.3666992,502.4700012,1554.626709,277.7905884,10.02400017,6.690000057,19.60000038,27.8416996,3.453299999,-332206.2793,239287.4032,0,0,0
452,7,471.626709,522.0300293,1460.573242,257.9379883,8.91740036,6.816699982,20.47999954,29.39360046,3.614799976,-330807.0677,250935.9091,0,0,0
314,7,586.1467285,414.2732849,2381.833252,387.300415,25.10289955,6.606699944,19.01670074,26.56509972,3.176000118,-329592.5594,432965.9558,0,0,0
315,7,536.6467285,347.5100098,2594.689941,423.4130859,27.28300095,5.603300095,17.94000053,26.04590034,1.587700009,-327495.8371,433895.0615,0,0,0
469,7,516.8366699,511.5433044,1398.323242,246.9261017,7.839600086,6.803299904,20.59329987,29.50419998,3.349600077,-323979.7448,254026.7514,0,0,0
473,7,524.8032837,501.0533142,1742.243286,316.5263977,9.295000076,6.756700039,19.44000053,28.0272007,3.293900013,-323614.4615,229056.9858,0,0,0
458,9,528.123291,500.4132996,1551.97998,283.7290955,9.359000206,6.923299789,19.59000015,28.20459938,3.639400005,-323075.2124,234281.0937,0,0,0
467,15,571.4000244,508.3132935,1709.023315,297.7041016,10.59869957,7.593299866,20.13669968,28.81509972,3.428100109,-320858.2982,239384.2734,0,0,0
468,7,565.2399902,504.2799988,1913.92334,342.5520935,11.18669987,7.706699848,19.76000023,29.22839928,3.032799959,-312037.0159,235925.9712,0,0,0
783,8,493.8933105,484.8599854,1866.426758,341.1211853,9.621299744,5.036699772,19.18670082,26.45359993,1.543900013,-310638.6621,207856.7318,0,0,0
460,2,557.710022,506.8067017,1514.896729,262.8720093,9.7645998,6.316699982,20.5366993,29.47610092,2.8204,-309093.8339,257043.2548,0,0,0
455,15,506.7767029,535.833313,1293.31665,232.0856934,8.625300407,6.809999943,21.26670074,30.59230042,3.344199896,-307450.8525,245898.7619,0,0,0
1816,7,432.416687,568.9832764,1406.680054,250.9992065,11.45580006,5.929999828,21.0366993,31.68829918,1.869099975,-302063.0598,328178.7957,0,0,0
