Record,fvegHW90mask,aet_90m,cwd_90m,ppt_90m,pptdjf_90m,pptjja_90m,tmn_90m,tmx_90m,tmxjja_90m,tmndjf_90m,longitude,latitude
14131,5,163.0099945,1270.930054,172.853302,33.86719894,2.01060009,8.493300438,24.96999931,35.27159882,0.185699999,167486.987,-357939.7974
17239,3,77.13330078,1489.91333,77.08000183,11.76659966,4.006000042,15.82330036,31.08329964,40.5923996,7.017700195,430244.4132,-522121.2044
16446,5,281.5433044,1165.83667,334.4100037,58.62590027,4.400800228,9.710000038,25.29330063,33.09270096,4.852000237,271598.1502,-465810.0149
16211,8,333.7966919,1089.91333,412.4332886,76.38009644,5.328000069,9.409999847,25.84670067,34.44369888,4.13929987,292237.8708,-451536.7139
4887,15,344.6532898,804.5167236,927.6867065,175.1759033,3.103899956,5.376699924,22.34329987,32.11640167,0.6074,-254027.9692,123322.5689
9336,2,363.9032898,885.2966919,400.5400085,76.4552002,0.915199995,6.21999979,22.68330002,29.65570068,2.229700089,-115622.6898,-147192.3953
698,3,207.8632965,667.126709,382.3566895,45.5943985,12.42399979,0.643299997,16.37000084,27.64909935,-5.712100029,-101365.2722,395956.798
574,11,434.9566956,459.166687,506.7399902,57.71300125,17.08289909,1.013299942,16.11330032,27.75779915,-5.827400208,-32199.74224,405291.7148
1635,3,196.4667053,654.7233276,417.9899902,48.92829895,13.24730015,0.430000007,15.35669994,26.48089981,-5.939799786,-69037.04487,333464.8462
13607,3,206.1999969,1141.869995,236.8800049,32.21110153,14.15540028,10.94330025,22.25,32.54869843,3.060400009,407959.9171,-337005.9958
7700,5,395.3200073,821.0432739,568.0032959,110.9291,1.55400002,8.516699791,21.71999931,27.44659996,4.799200058,-196707.4131,-61030.06147
11200,2,287,1196.523315,300.2432861,52.04130173,1.33070004,10.93330002,25.55330086,35.27880096,4.332699776,93824.61589,-235132.1353
2889,15,404.5166931,768.4332886,844.916687,145.0545959,7.944600105,9.433300018,22.64669991,33.07580185,3.203099966,-227621.5861,254693.799
14615,3,135.1199951,1315.119995,146.8666992,26.56780052,3.239799976,8.083299637,25.13669968,35.62440109,0.409700006,203783.3454,-376823.531
6112,8,300.4400024,539.4500122,1152.843262,185.4754028,11.8451004,0.486699998,13.09000015,22.43799973,-5.642199993,8758.312545,40412.34053
17809,11,74.45330048,1486.969971,72.5766983,11.07820034,4.14260006,15.25329971,31.41329956,40.82889938,6.634699821,437973.6414,-570825.4108
12236,2,217.4499969,1152.41333,230.6900024,40.31359863,0.972899973,6.326700211,24.95330048,34.29990005,1.797899961,-18031.05601,-279788.4666
4589,7,503.0667114,602.1066895,1722.156738,289.1473083,10.22480011,6.730000019,17.57329941,26.85540009,0.625400007,-69019.92363,142786.5942
9554,3,162.9232941,1073.223267,211.8800049,39.11759949,5.996099949,6.066699982,20.0366993,30.1772995,-1.1954,164854.1245,-158430.7761
6433,11,550.3867188,664.0767212,716.0599976,140.5505981,1.643000007,8.193300247,21.56999969,27.7241993,4.530099869,-222335.6323,18956.0095
12079,3,143.4700012,1294.18335,152.9766998,27.24489975,5.875999928,10.58670044,24.04999924,35.06639862,2.791300058,304188.639,-273335.6023
13059,2,432.1166992,860.9799805,477.2867126,90.75180054,1.113399982,8.329999924,20.98670006,23.26140022,5.041999817,-55048.81594,-314136.8438
43,11,206.3999939,642.1732788,293.2467041,34.07659912,12.68490028,-0.159999996,16.29000092,27.22809982,-5.669799805,-113505.3841,442503.7568
17177,11,278.6632996,1154.296753,364.333313,72.74469757,1.581900001,11.28670025,24.2166996,28.61389923,6.686800003,262077.7971,-517702.7686
8538,11,272.0232849,1077.983276,273.4700012,49.41590118,0.90259999,9.5333004,24.45999908,34.09669876,3.592000008,-62538.35149,-104649.1032
6196,11,372.2399902,942.6900024,458.5433044,83.5983963,1.577600002,9.170000076,23.6067009,32.42139816,4.039800167,-125174.6396,34724.04804
11386,11,324.6832886,1011.736694,339.5766907,66.42189789,0.575299978,6.690000057,25.29999924,34.18769836,1.822199941,-32347.76254,-243199.0886
2726,7,498.4700012,437.6932983,1547.906738,280.0816956,10.29969978,2.643300056,19.32329941,30.36529922,-1.584699988,-280190.1116,266039.2497
14780,5,152.8466949,1296.77002,163.9532928,31.39819908,2.701800108,9.006699562,24.68670082,34.93389893,1.489599943,190950.1563,-383509.8177
17384,11,71.25330353,1491.560059,69.28330231,10.6552,3.273400068,14.9666996,31.5333004,40.83440018,6.094399929,408825.4042,-534157.1142
4931,15,443.1499939,739.2067261,1247.993286,230.4192963,3.659100056,8.333299637,19.93670082,29.09420013,3.331899881,-237304.9341,119858.249
14267,3,106.1299973,1382.686646,112.4700012,16.49290085,8.352999687,11.04329967,27.36669922,38.04259872,2.432899952,348645.2546,-362747.3848
5674,11,471.4299927,833.7432861,509.6133118,96.22329712,1.992799997,9.476699829,23.71999931,33.1529007,4.438799858,-141147.917,68779.52641
