"","fveg","aet","cwd","ppt","pptdjf","pptjja","tmn","tmx","tmxjja","tmndjf","longitude","latitude"
"1",11,0.318300008773804,0,38.9506988525391,36.2529983520508,10.5531997680664,-5.47730016708374,4.80499982833862,26.5317993164062,-5.19869995117188,-151045.165,441698.9223
"2",3,0,0,64.2182998657227,60.290599822998,15.1512002944946,-5.03399991989136,4.48899984359741,26.3948993682861,-4.77839994430542,-169459.1891,441538.7592
"3",7,2.70700001716614,0,140.32600402832,134.99479675293,15.6247997283936,-1.36199998855591,6.21770000457764,26.07080078125,-1.32299995422363,-228666.3533,439036.4229
"4",11,0.775699973106384,0,32.7027015686035,32.2252006530762,12.5299997329712,-5.96070003509521,4.82730007171631,27.4990005493164,-5.82509994506836,-119663.6737,435226.975
"5",15,3.95729994773865,0,131.044006347656,125.590698242188,14.7076997756958,-1.06599998474121,6.67899990081787,27.3194007873535,-0.988099992275238,-228384.9415,434996.9332
"6",11,0.314999997615814,0,36.9096984863281,35.1535987854004,11.0746002197266,-5.80130004882812,4.77799987792969,26.7844009399414,-5.48890018463135,-148258.7897,435000.8983
"7",8,2.93070006370544,0,71.0530014038086,69.0952987670898,13.7714004516602,-2.35599994659424,7.93730020523071,30.6502990722656,-2.09669995307922,-213515.3918,434645.5714
"8",1,0,0,109.005699157715,115.884803771973,22.6247005462646,-7.4717001914978,1.7146999835968,22.1089992523193,-7.7234001159668,-20411.95462,433095.4937
"9",3,0.384299993515015,0,55.4539985656738,63.5522003173828,8.69769954681396,-6.03130006790161,4.20069980621338,25.67919921875,-5.88469982147217,-67225.53679,431858.4965
"10",7,10.1517000198364,0,154.482299804688,155.193099975586,13.3393001556396,0.254700005054474,9.27330017089844,28.6399993896484,0.0548000000417233,-258787.3125,431361.965
"11",7,18.8409996032715,0,287.309692382812,291.890289306641,24.8628005981445,4.84770011901855,12.3902997970581,19.12619972229,4.83139991760254,-345004.0756,431514.5518
"12",7,0.400299996137619,0,62.391300201416,66.2247009277344,18.4314002990723,-2.78699994087219,3.97169995307922,25.7422008514404,-2.80640006065369,-153359.2993,430360.86
"13",3,0.331299990415573,0,40.5177001953125,45.5096015930176,13.8317003250122,-6.47300004959106,3.97029995918274,27.1023998260498,-6.15140008926392,-78332.89084,429052.2223
"14",3,0.36370000243187,0,53.9457015991211,61.0806007385254,9.04409980773926,-6.19969987869263,4.15030002593994,25.9032001495361,-6.02729988098145,-68031.20523,428212.4882
"15",7,0.324000000953674,0,52.685001373291,57.0961990356445,16.7299995422363,-4.55399990081787,4.65000009536743,26.3666000366211,-4.3786997795105,-153814.0252,427880.7425
"16",2,0,0,89.2210006713867,88.8110961914062,21.4874000549316,-5.23969984054565,1.8157000541687,23.156400680542,-5.28770017623901,-182807.8448,426660.3437
"17",9,NA,NA,52.3186988830566,51.9320983886719,13.6281995773315,-6.12830018997192,4.50930023193359,27.3034000396729,-5.93879985809326,-35376.76282,424627.6596
"18",3,0,0,39.7820014953613,40.850399017334,12.910400390625,-6.43529987335205,4.9556999206543,26.9477005004883,-6.07730007171631,-162103.8347,423642.2299
"19",1,0,0,79.7389984130859,70.6436004638672,25.2893009185791,-4.81470012664795,2.77029991149902,23.9260997772217,-4.75710010528564,-177536.197,422885.9625
"20",7,13.9462995529175,0,333.325714111328,332.433013916016,14.3656997680664,0.544700026512146,10.4357004165649,29.3239002227783,0.378800004720688,-286592.2217,421770.8359
"21",3,0.37169998884201,0,49.6946983337402,54.8470001220703,10.7285995483398,-6.2056999206543,4.09329986572266,26.7518997192383,-5.94059991836548,-65940.26828,419972.6439
"22",11,2.22970008850098,0,56.818000793457,58.753101348877,18.5044002532959,-3.51929998397827,7.52969980239868,30.7070007324219,-3.01060009002686,-207992.6445,419338.5957
"23",2,0.361699998378754,0,33.0470008850098,33.7677001953125,12.9998998641968,-6.03329992294312,4.74900007247925,27.3661003112793,-5.77069997787476,-109815.2856,418949.554
"24",3,0.361699998378754,0,51.1319999694824,50.7280006408691,10.8320999145508,-6.54129981994629,4.3092999458313,26.025899887085,-6.43900012969971,-3465.957803,418382.0577
"25",7,6.84329986572266,0,342.654998779297,336.376708984375,15.0148000717163,0.0742999985814095,8.37800025939941,27.763599395752,-0.0983999967575073,-268997.5157,416147.8804
"26",1,1.31500005722046,0,77.7460021972656,77.7581024169922,21.0074005126953,-2.5550000667572,5.62669992446899,27.0786991119385,-2.45600008964539,-189667.1261,415221.1393
"27",7,1.98430001735687,0,103.436302185059,104.765403747559,17.2017993927002,-1.02730000019073,5.71600008010864,26.1641998291016,-1.06729996204376,-228065.0284,414650.357
"28",7,11.4897003173828,0,314.822692871094,304.226898193359,15.0874004364014,-0.434700012207031,10.0417003631592,30.2835998535156,-0.363900005817413,-292897.3605,414446.0565
"29",1,2.27099990844727,0,366.784698486328,367.6337890625,17.5056991577148,-0.914699971675873,5.59700012207031,24.3798007965088,-1.04289996623993,-270750.1047,413431.236
"30",7,11.4336996078491,0,311.99169921875,300.510894775391,14.492600440979,-0.046000000089407,9.74600028991699,30.2369995117188,-0.0679000020027161,-283456.2118,413044.5218
"31",3,0.305299997329712,0,42.7649993896484,48.0601997375488,13.413800239563,-5.30229997634888,4.7996997833252,26.5722999572754,-5.01030015945435,-153930.584,412602.7947
"32",7,1.62100005149841,0,95.2232971191406,98.5641021728516,13.6802997589111,-2.78200006484985,6.58729982376099,29.7320003509521,-2.55739998817444,-238463.8565,412151.2707
"33",8,18.4860000610352,0,419.092712402344,435.486206054688,30.5970993041992,3.25300002098083,10.2847003936768,22.6835994720459,3.62479996681213,-335264.3734,411083.674
"34",3,0,0,42.5610008239746,43.2383003234863,12.6716995239258,-6.79300022125244,3.67829990386963,25.0342998504639,-7.0661997795105,-663.0835042,410880.4835
"35",7,15.4673004150391,0,350.620300292969,363.890594482422,26.1231002807617,2.9909999370575,11.4933004379272,21.6847991943359,3.07069993019104,-341825.8515,410871.2917
"36",1,0,0,72.9290008544922,70.2337036132812,19.9050998687744,-3.6907000541687,4.47469997406006,26.2469997406006,-3.57920002937317,-170912.3085,409347.2092
"37",7,1.40269994735718,0,64.7477035522461,66.3140029907227,21.8600997924805,-1.54869997501373,4.93529987335205,25.7220993041992,-1.63129997253418,-188431.7541,409535.6187
"38",2,0.425700008869171,0,53.9076995849609,55.4869003295898,13.0980997085571,-5.84770011901855,4.59730005264282,26.796199798584,-5.74119997024536,-44282.47638,409487.3756
"39",15,6.99499988555908,0,276.433288574219,268.871185302734,14.2869997024536,-0.898999989032745,9.13700008392334,31.2021999359131,-0.784699976444244,-285797.3122,406178.1581
"40",7,14.9156999588013,0,459.899688720703,469.637390136719,33.6651992797852,2.19300007820129,9.1427001953125,22.994800567627,2.19099998474121,-329454.6428,405792.0924
"41",2,0.370700001716614,0,46.8322982788086,49.5112991333008,11.8759002685547,-6.15630006790161,4.16569995880127,26.8866996765137,-5.98420000076294,-79053.64923,404700.342
"42",3,0.421700000762939,0,58.4480018615723,56.1077995300293,15.3751001358032,-5.86269998550415,4.75099992752075,27.301700592041,-5.70440006256104,-37339.00067,403007.5035
"43",1,0.360000014305115,0,37.8876991271973,39.9487991333008,12.6127004623413,-6.15929985046387,4.91029977798462,27.5137996673584,-5.86899995803833,-99620.06681,402300.9974
"44",7,0.440299987792969,0,83.3572998046875,81.2201995849609,26.0881004333496,-1.56669998168945,3.38369989395142,23.4288997650146,-2.18770003318787,-179285.1773,401326.3633
"45",7,2.43230009078979,0,128.705307006836,118.702003479004,11.9047002792358,-1.53030002117157,6.38500022888184,29.0671997070312,-1.45469999313354,-250810.0826,401473.7632
"46",1,0.314300000667572,0,83.5466995239258,81.1734008789062,16.2560997009277,-4.86100006103516,4.9689998626709,26.3418006896973,-4.51410007476807,-158820.9283,400163.4317
"47",7,2.32130002975464,0,115.541297912598,104.362197875977,9.65190029144287,-2.63470005989075,7.10500001907349,29.9801998138428,-2.40520000457764,-245512.4893,399386.0393
"48",1,0.60970002412796,0,109.733001708984,97.7348022460938,17.5279006958008,-4.41900014877319,5.05569982528687,26.2350006103516,-4.10790014266968,-164869.2153,398599.4256
"49",1,0.30129998922348,0,105.908996582031,93.9253997802734,17.1147003173828,-4.58970022201538,5.02930021286011,26.3101997375488,-4.25540018081665,-163451.3662,398555.6368
"50",7,14.2959995269775,0,411.474700927734,413.415588378906,30.1868991851807,0.42969998717308,10.7650003433228,29.0237998962402,0.351700007915497,-320673.2773,396713.6945
"51",7,10.5087003707886,0,407.611694335938,411.720611572266,31.8026008605957,-0.30799999833107,11.1547002792358,29.1184005737305,-0.335900008678436,-318173.4096,396388.7189
"52",7,0.421000003814697,0,39.0750007629395,39.4751014709473,10.503399848938,-5.45499992370605,4.92500019073486,27.3743991851807,-5.35169982910156,-63743.58592,395457.318
"53",7,0,0,160.158996582031,164.309906005859,16.5020999908447,-4.42500019073486,3.51300001144409,23.7318992614746,-4.32840013504028,-151031.3356,394817.9444
"54",3,0.465299993753433,0,37.9329986572266,38.1278991699219,11.1821002960205,-5.85869979858398,4.98729991912842,27.7908000946045,-5.59490013122559,-2121.127756,394246.0816
"55",3,0.466699987649918,0,37.617000579834,37.812801361084,11.1316995620728,-5.80630016326904,5.08599996566772,27.9678993225098,-5.54540014266968,-2076.514893,392646.5384
"56",7,13.7447004318237,0,347.626312255859,328.512603759766,15.2186002731323,1.16700005531311,9.18970012664795,29.1061000823975,0.736699998378754,-284751.3332,386949.8428
"57",7,1.3289999961853,0,193.893707275391,196.935302734375,15.1772003173828,-2.40899991989136,6.51800012588501,27.7931003570557,-2.23160004615784,-207889.4673,381806.1341
"58",7,0.389999985694885,0,104.495697021484,105.990699768066,13.1436004638672,-5.01230001449585,5.27069997787476,27.3267002105713,-4.79160022735596,-120135.0969,381724.3634
"59",7,0,0,78.0532989501953,80.3490982055664,16.5284004211426,-7.89130020141602,3.5922999382019,24.7056999206543,-7.97700023651123,-16502.56053,380896.8461
"60",5,0,0,300.702697753906,359.510406494141,21.2758007049561,-13.9072999954224,-6.51599979400635,7.86359977722168,-14.0752000808716,-183912.1388,380153.7915
"61",15,16.5767002105713,0,269.005706787109,259.769287109375,12.6918001174927,1.57529997825623,10.2806997299194,32.1169013977051,1.7166999578476,-287475.4769,379003.1742
"62",2,0.874700009822845,0,33.7733001708984,34.4690017700195,11.1056003570557,-6.22629976272583,5.97429990768433,28.5741004943848,-5.95039987564087,-40038.21345,378961.0544
"63",7,0.788699984550476,0,200.172698974609,206.863098144531,13.2421998977661,-1.9543000459671,4.74329996109009,24.7700004577637,-2.28080010414124,-208834.4759,376779.5796
"64",7,2.22469997406006,0,98.2543029785156,95.1192016601562,11.4885997772217,-2.80130004882812,7.15670013427734,29.1450996398926,-2.49210000038147,-239917.4579,376511.0584
"65",8,0.41100001335144,0,440.144287109375,405.566009521484,18.4575996398926,-3.67470002174377,3.92199993133545,22.4393005371094,-3.72720003128052,-275172.7385,375960.771
